index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,164,济源,3.139,361,56,57,44,193,126,中度污染,,71,2017-01
1,107,济源,2.05,318,54,48,76,129,74,轻度污染,,69,2017-02
2,96,济源,1.387,163,50,41,74,116,67,良,,43,2017-03
3,89,济源,1.197,168,42,32,96,118,53,良,,49,2017-04
4,111,济源,1.0,385,53,29,141,141,54,轻度污染,,49,2017-05
5,103,济源,1.113,187,28,26,150,100,54,轻度污染,,25,2017-06
6,102,济源,1.203,153,38,21,157,82,49,轻度污染,,17,2017-07
7,90,济源,1.274,148,30,26,135,80,51,良,,29,2017-08
8,80,济源,1.45,110,44,41,107,89,54,良,,47,2017-09
9,71,济源,1.41,166,25,41,52,84,48,良,,38,2017-10
10,102,济源,1.51,185,59,57,55,121,70,轻度污染,,51,2017-11
11,122,济源,1.929,307,53,56,55,125,88,轻度污染,,43,2017-12
12,158,济源,2.026,406,55,56,51,161,121,中度污染,,44,2018-01
13,131,济源,1.686,276,52,43,78,145,94,轻度污染,,47,2018-02
14,123,济源,1.416,240,49,46,100,157,85,轻度污染,,31,2018-03
15,113,济源,1.1,219,40,39,118,165,57,轻度污染,,29,2018-04
16,93,济源,1.155,166,45,33,135,115,46,良,,25,2018-05
17,119,济源,1.113,181,59,30,180,76,40,轻度污染,,16,2018-06
18,101,济源,1.006,195,35,22,157,64,38,轻度污染,,7,2018-07
19,110,济源,1.055,161,43,23,169,67,40,轻度污染,,12,2018-08
20,69,济源,1.23,110,36,35,104,68,34,良,,23,2018-09
21,90,济源,1.255,160,50,49,101,108,58,良,249.0000,30,2018-10
22,139,济源,1.569,315,38,54,62,155,99,轻度污染,304.0800,27,2018-11
23,131,济源,1.665,290,58,56,48,154,94,轻度污染,301.4583,41,2018-12
24,233,济源,2.05,307,165,72,47,204,185,重度污染,346.0000,35,2019-01
