index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,104,海东地区,1.9,104,104,85,83,157,55,轻度污染,250.0000,48,2014-12
1,101,海东地区,1.839,159,68,44,62,131,62,轻度污染,191.5161,41,2015-01
2,96,海东地区,1.214,187,64,26,92,97,69,良,211.2143,41,2015-02
3,112,海东地区,1.29,400,74,34,110,160,67,轻度污染,275.5806,32,2015-03
4,97,海东地区,1.07,163,71,39,125,120,66,良,266.5000,23,2015-04
5,109,海东地区,1.31,500,71,38,142,133,61,轻度污染,272.2581,29,2015-05
6,100,海东地区,1.107,144,77,46,129,115,66,良,300.7667,36,2015-06
7,77,海东地区,0.932,107,55,35,109,78,55,良,233.7097,24,2015-07
8,66,海东地区,0.848,90,50,34,99,53,42,良,196.0000,25,2015-08
9,54,海东地区,0.92,67,45,35,80,47,36,良,143.7333,34,2015-09
10,60,海东地区,1.123,87,41,38,68,57,37,良,126.4516,29,2015-10
11,100,海东地区,1.81,216,47,50,49,118,62,轻度污染,256.6667,38,2015-11
12,105,海东地区,2.155,169,57,52,49,136,66,轻度污染,222.2903,43,2015-12
13,95,海东地区,1.806,176,48,42,53,127,46,良,210.6774,43,2016-01
14,75,海东地区,1.221,120,33,27,63,98,34,良,180.5862,31,2016-02
15,107,海东地区,1.113,293,51,30,105,153,52,轻度污染,199.9355,22,2016-03
16,76,海东地区,0.966,118,55,31,110,94,38,良,213.1379,16,2016-04
17,93,海东地区,0.871,197,55,30,107,134,55,良,255.5161,16,2016-05
18,79,海东地区,0.943,92,62,55,120,88,41,良,240.5333,19,2016-06
19,80,海东地区,1.229,106,50,42,113,91,42,良,258.7419,15,2016-07
20,72,海东地区,1.123,104,44,47,99,83,35,良,235.3871,16,2016-08
21,67,海东地区,1.373,95,0,49,60,60,36,良,195.5667,16,2016-09
22,74,海东地区,1.648,131,0,34,60,99,44,良,253.7742,16,2016-10
23,122,海东地区,1.89,389,0,53,51,190,66,轻度污染,273.6667,27,2016-11
24,0,海东地区,0.0,0,0,0,0,0,0,无,1.1935,0,2016-12
25,95,海东地区,1.394,500,0,27,51,25,13,良,168.7097,23,2017-01
26,96,海东地区,1.893,135,57,42,93,80,42,良,217.9643,30,2017-02
27,86,海东地区,1.819,311,57,36,112,90,44,良,206.9677,21,2017-03
28,91,海东地区,2.017,500,50,35,116,71,30,良,192.7333,17,2017-04
29,87,海东地区,1.016,152,54,32,134,75,31,良,192.0000,14,2017-05
30,66,海东地区,1.11,85,49,32,113,68,31,良,220.7667,14,2017-06
31,91,海东地区,0.945,138,44,30,145,75,33,良,232.7419,13,2017-07
32,75,海东地区,1.31,115,49,32,124,58,34,良,244.9032,10,2017-08
33,65,海东地区,1.013,88,47,32,107,51,29,良,201.9000,11,2017-09
34,66,海东地区,1.565,94,42,35,93,78,44,良,214.0323,18,2017-10
35,78,海东地区,1.55,106,61,35,79,102,52,良,206.1667,26,2017-11
36,120,海东地区,1.652,683,70,48,40,101,61,轻度污染,211.9355,34,2017-12
37,77,海东地区,1.368,190,0,44,70,100,56,良,181.0323,30,2018-01
38,72,海东地区,1.411,104,0,32,90,92,47,良,182.8214,22,2018-02
39,60,海东地区,1.445,133,0,43,105,79,32,良,143.6452,17,2018-03
40,54,海东地区,1.117,98,0,37,111,62,27,良,137.8000,14,2018-04
41,88,海东地区,0.945,142,53,37,133,102,39,良,244.3871,14,2018-05
42,100,海东地区,1.16,207,56,35,159,63,29,良,211.7000,13,2018-06
43,89,海东地区,1.361,131,43,32,141,59,36,良,279.0968,11,2018-07
44,74,海东地区,1.397,102,43,37,123,52,37,良,221.0323,9,2018-08
45,57,海东地区,0.897,75,43,37,100,42,25,良,165.3333,9,2018-09
46,56,海东地区,0.7,118,0,34,81,56,31,良,148.6452,15,2018-10
47,91,海东地区,0.807,500,36,41,71,117,47,良,197.6667,23,2018-11
48,100,海东地区,1.074,312,60,43,61,118,65,轻度污染,266.5556,24,2018-12
49,87,海东地区,1.475,125,58,50,62,86,64,良,180.5000,25,2019-01
