index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,59,海南州,0.4,59,59,20,88,69,38,良,86.0000,19,2014-12
1,75,海南州,0.452,190,39,16,87,93,46,良,116.5806,13,2015-01
2,74,海南州,1.311,113,48,11,106,89,44,良,145.5000,11,2015-02
3,110,海南州,0.4,333,68,12,117,160,57,轻度污染,267.2667,13,2015-03
4,93,海南州,0.32,183,64,13,135,104,47,良,241.8333,15,2015-04
5,92,海南州,0.252,176,74,11,141,96,40,良,257.4516,16,2015-05
6,92,海南州,0.273,110,72,13,147,67,47,良,291.1000,14,2015-06
7,93,海南州,0.316,110,71,9,151,59,35,良,292.9677,13,2015-07
8,89,海南州,0.373,100,73,9,145,69,43,良,287.1000,14,2015-08
9,71,海南州,0.42,151,49,12,118,64,37,良,224.5000,15,2015-09
10,70,海南州,0.45,98,52,16,106,85,39,良,175.9667,15,2015-10
11,63,海南州,0.507,112,48,17,91,67,40,良,152.0333,12,2015-11
12,59,海南州,0.555,115,43,15,87,63,39,良,105.6129,14,2015-12
13,64,海南州,0.577,242,44,14,89,74,36,良,112.9677,16,2016-01
14,68,海南州,0.521,148,48,13,94,83,34,良,151.0000,13,2016-02
15,98,海南州,0.484,327,54,18,109,133,45,良,193.6774,15,2016-03
16,86,海南州,0.43,143,64,12,132,94,36,良,249.9000,11,2016-04
17,98,海南州,0.414,347,69,11,137,91,35,良,256.1071,13,2016-05
18,83,海南州,0.347,110,0,9,135,41,23,良,258.2000,10,2016-06
19,79,海南州,0.461,120,42,13,133,49,24,良,248.7419,6,2016-07
20,63,海南州,0.629,104,40,12,113,47,27,良,188.6452,6,2016-08
21,55,海南州,0.53,74,44,15,105,33,18,良,130.6667,9,2016-09
22,58,海南州,0.552,99,44,19,94,64,27,良,186.0968,13,2016-10
23,66,海南州,0.677,134,0,25,80,83,32,良,148.4667,19,2016-11
24,53,海南州,0.674,75,42,26,74,57,28,良,63.7097,23,2016-12
25,69,海南州,0.884,330,0,21,77,85,36,良,96.5806,18,2017-01
26,69,海南州,0.879,265,43,18,92,63,28,良,118.0357,23,2017-02
27,66,海南州,0.948,95,52,17,113,67,29,良,131.0000,30,2017-03
28,72,海南州,0.453,166,44,20,115,63,25,良,116.3000,26,2017-04
29,85,海南州,0.477,130,25,18,135,50,22,良,126.2903,25,2017-05
30,53,海南州,0.573,71,31,19,101,40,22,良,150.5000,16,2017-06
31,73,海南州,0.642,311,35,16,117,38,24,良,186.6129,14,2017-07
32,54,海南州,0.626,96,34,15,101,27,17,良,140.4516,12,2017-08
33,44,海南州,0.61,55,37,19,89,28,17,优,98.8333,11,2017-09
34,46,海南州,0.706,62,32,27,83,45,23,优,139.6774,10,2017-10
35,53,海南州,0.833,78,38,26,82,57,30,良,108.0333,14,2017-11
36,61,海南州,1.003,127,30,24,46,76,35,良,108.7742,12,2017-12
37,62,海南州,0.916,153,0,20,79,77,35,良,118.2903,10,2018-01
38,54,海南州,1.014,115,0,14,79,70,30,良,107.0000,10,2018-02
39,48,海南州,0.642,116,0,14,82,53,24,优,87.5806,10,2018-03
40,49,海南州,0.557,74,0,17,104,47,21,优,97.8000,8,2018-04
41,53,海南州,0.661,108,0,16,94,63,26,良,112.3871,7,2018-05
42,61,海南州,1.083,76,45,18,111,36,23,良,127.9000,8,2018-06
43,67,海南州,0.965,104,42,18,119,30,17,良,187.6452,7,2018-07
44,60,海南州,0.955,98,37,18,110,23,16,良,118.7097,7,2018-08
45,47,海南州,0.81,60,34,18,93,23,13,优,78.6000,8,2018-09
46,46,海南州,0.752,53,34,26,86,32,16,优,61.9355,8,2018-10
47,42,海南州,0.98,51,36,24,78,33,17,优,75.8667,10,2018-11
48,50,海南州,0.958,123,35,23,85,49,20,良,102.4516,11,2018-12
49,42,海南州,1.0,48,35,24,83,33,20,优,59.0000,13,2019-01
