index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,86,海口,0.963,173,17,20,92,86,63,良,30.7667,15,2013-12
1,78,海口,0.916,152,41,19,95,79,55,良,38.9032,9,2014-01
2,36,海口,0.7,60,21,13,38,34,21,优,9.7857,5,2014-02
3,40,海口,0.7,57,19,15,38,40,20,优,7.2581,4,2014-03
4,37,海口,0.677,61,27,11,45,35,17,优,5.3667,4,2014-04
5,32,海口,0.635,43,25,13,58,29,13,优,7.2903,4,2014-05
6,33,海口,0.623,78,14,15,59,30,14,优,9.8667,5,2014-06
7,26,海口,0.574,38,18,14,40,25,10,优,4.3226,5,2014-07
8,25,海口,0.568,37,13,14,33,25,11,优,6.1290,4,2014-08
9,30,海口,0.633,66,14,14,50,30,16,优,12.5667,5,2014-09
10,59,海口,0.713,104,31,17,100,57,34,良,40.7419,6,2014-10
11,44,海口,0.747,90,25,15,68,42,23,优,17.1000,5,2014-11
12,53,海口,0.839,93,16,13,71,56,35,良,34.0323,8,2014-12
13,58,海口,0.835,112,30,13,79,59,38,良,70.3871,7,2015-01
14,57,海口,0.771,147,22,7,58,57,38,良,81.8571,5,2015-02
15,34,海口,0.639,51,18,10,46,34,17,优,20.7097,4,2015-03
16,40,海口,0.713,76,16,13,62,39,20,优,31.3333,4,2015-04
17,31,海口,0.571,46,21,14,52,30,13,优,13.1613,3,2015-05
18,27,海口,0.51,42,18,13,52,25,10,优,19.7667,4,2015-06
19,34,海口,0.584,55,22,14,63,31,15,优,40.1613,6,2015-07
20,40,海口,0.603,75,23,16,77,34,17,优,63.8065,6,2015-08
21,40,海口,0.627,80,21,13,76,33,16,优,73.8333,5,2015-09
22,66,海口,0.713,140,23,17,112,54,34,良,138.0645,7,2015-10
23,42,海口,0.637,89,24,10,80,35,17,优,63.2667,5,2015-11
24,45,海口,0.813,83,25,17,78,40,23,优,50.2258,6,2015-12
25,42,海口,0.797,62,23,19,74,38,21,优,39.0000,5,2016-01
26,52,海口,0.783,160,25,14,85,48,31,良,78.3103,6,2016-02
27,49,海口,0.668,110,23,18,83,45,24,优,60.9032,6,2016-03
28,48,海口,0.63,63,35,20,82,46,24,优,57.1333,6,2016-04
29,45,海口,0.597,102,22,17,78,36,18,优,56.4516,6,2016-05
30,33,海口,0.517,48,21,18,64,29,12,优,32.1333,5,2016-06
31,32,海口,0.49,52,20,16,58,31,12,优,46.2581,4,2016-07
32,33,海口,0.555,52,19,18,58,30,14,优,33.2581,5,2016-08
33,41,海口,0.613,61,15,17,72,37,20,优,74.7000,6,2016-09
34,43,海口,0.61,69,22,13,80,38,23,优,96.2903,7,2016-10
35,38,海口,0.6,67,13,12,69,34,18,优,37.7333,6,2016-11
36,61,海口,0.739,111,41,13,105,60,36,良,83.2581,8,2016-12
37,54,海口,0.758,98,25,10,95,46,28,良,75.3871,6,2017-01
38,49,海口,0.721,95,22,12,90,41,26,优,49.2143,6,2017-02
39,47,海口,0.7,95,28,15,79,45,24,优,69.1613,5,2017-03
40,49,海口,0.663,102,29,14,88,40,20,优,47.8667,7,2017-04
41,45,海口,0.635,103,24,11,87,30,15,优,24.3226,7,2017-05
42,33,海口,0.583,46,22,12,64,28,12,优,53.8333,6,2017-06
43,26,海口,0.584,36,17,12,50,22,10,优,33.6452,6,2017-07
44,31,海口,0.635,65,18,12,61,25,11,优,45.4516,6,2017-08
45,30,海口,0.61,44,18,11,59,26,13,优,33.4000,5,2017-09
46,57,海口,0.774,150,16,10,98,41,24,良,85.7419,7,2017-10
47,55,海口,0.77,139,24,12,93,46,28,良,55.0333,7,2017-11
48,55,海口,0.69,86,32,12,58,55,34,良,68.0645,9,2017-12
49,44,海口,0.6,78,20,15,71,40,23,优,52.8065,5,2018-01
50,54,海口,0.607,82,23,14,76,53,35,良,80.5000,7,2018-02
51,42,海口,0.571,85,20,13,70,38,19,优,40.8065,5,2018-03
52,40,海口,0.6,83,18,12,61,41,20,优,53.1333,5,2018-04
53,35,海口,0.552,48,21,16,68,27,13,优,40.5484,5,2018-05
54,36,海口,0.563,60,23,15,67,27,13,优,13.3667,5,2018-06
55,25,海口,0.542,42,16,11,50,20,8,优,28.8065,4,2018-07
56,34,海口,0.571,55,20,15,67,23,11,优,39.9677,4,2018-08
57,40,海口,0.553,85,18,12,75,28,15,优,87.9333,5,2018-09
58,64,海口,0.665,130,31,10,111,40,21,良,98.7742,6,2018-10
59,47,海口,0.637,99,24,11,86,34,18,优,90.4000,5,2018-11
60,38,海口,0.719,74,23,14,56,35,19,优,53.4516,6,2018-12
61,41,海口,0.95,50,26,17,58,37,24,优,55.5000,7,2019-01
