index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,95,海西州,1.6,95,95,42,114,139,65,良,217.0000,51,2014-12
1,77,海西州,0.771,229,51,12,113,92,40,良,120.1613,22,2015-01
2,79,海西州,0.818,185,51,12,118,87,45,良,157.3571,15,2015-02
3,107,海西州,0.673,244,63,11,130,153,52,轻度污染,260.6000,17,2015-03
4,122,海西州,0.477,426,83,11,156,118,50,轻度污染,296.9667,14,2015-04
5,99,海西州,0.468,188,68,9,149,99,37,良,269.9677,13,2015-05
6,78,海西州,0.927,100,57,10,131,62,33,良,250.8667,20,2015-06
7,65,海西州,0.713,104,51,9,115,43,30,良,181.8710,20,2015-07
8,70,海西州,0.923,355,50,10,105,76,40,良,174.9677,21,2015-08
9,60,海西州,0.77,128,46,14,92,67,38,良,170.0333,12,2015-09
10,71,海西州,1.028,145,46,13,82,91,35,良,174.8276,13,2015-10
11,60,海西州,1.115,76,40,16,87,69,34,良,158.4074,27,2015-11
12,61,海西州,1.194,97,48,16,87,66,34,良,110.2258,34,2015-12
13,55,海西州,1.203,128,37,13,77,60,26,良,90.2903,33,2016-01
14,61,海西州,1.245,148,34,9,5,73,28,良,125.6897,33,2016-02
15,85,海西州,1.142,216,39,9,62,119,38,良,167.3548,27,2016-03
16,69,海西州,0.697,126,40,12,69,88,32,良,162.7000,22,2016-04
17,70,海西州,0.484,151,38,14,69,91,37,良,157.7419,14,2016-05
18,49,海西州,0.497,118,0,8,79,41,20,优,107.5667,14,2016-06
19,69,海西州,0.387,115,49,5,107,62,27,良,223.6129,14,2016-07
20,58,海西州,0.416,111,41,15,104,43,18,良,162.2581,14,2016-08
21,48,海西州,0.353,71,0,11,87,26,12,优,121.3000,14,2016-09
22,58,海西州,0.574,95,43,18,90,63,23,良,186.6774,22,2016-10
23,63,海西州,0.69,163,41,21,74,77,28,良,128.9000,22,2016-11
24,51,海西州,0.91,90,38,24,66,55,23,良,59.4194,26,2016-12
25,57,海西州,1.042,157,37,19,81,56,22,良,84.7742,35,2017-01
26,108,海西州,0.889,500,44,14,91,45,18,轻度污染,113.4643,30,2017-02
27,62,海西州,0.861,130,45,10,110,51,20,良,96.0323,22,2017-03
28,98,海西州,0.753,500,51,14,112,54,20,良,176.9000,20,2017-04
29,72,海西州,0.648,124,48,13,122,53,19,良,141.8065,18,2017-05
30,64,海西州,0.653,95,46,22,117,34,19,良,138.1333,19,2017-06
31,70,海西州,0.645,95,49,11,122,38,21,良,156.2903,12,2017-07
32,66,海西州,0.648,94,41,11,119,32,18,良,163.4194,12,2017-08
33,55,海西州,0.643,75,43,11,105,34,20,良,106.4000,16,2017-09
34,54,海西州,0.735,131,39,14,90,57,26,良,159.3548,18,2017-10
35,45,海西州,0.85,69,37,16,85,40,19,优,84.0333,19,2017-11
36,67,海西州,0.926,395,24,20,49,75,28,良,80.6129,22,2017-12
37,56,海西州,0.89,176,38,16,83,53,24,良,87.7742,22,2018-01
38,57,海西州,1.061,158,39,14,91,43,21,良,85.6786,22,2018-02
39,55,海西州,0.89,200,0,13,94,45,21,良,93.5484,20,2018-03
40,69,海西州,0.77,500,0,12,92,57,24,良,118.7000,21,2018-04
41,55,海西州,0.623,117,0,10,110,57,25,良,135.2258,19,2018-05
42,58,海西州,0.647,84,46,9,108,27,18,良,119.5000,18,2018-06
43,71,海西州,0.671,99,42,10,121,30,21,良,220.0645,18,2018-07
44,64,海西州,0.71,85,45,9,115,27,11,良,116.0968,17,2018-08
45,56,海西州,0.653,74,45,11,106,29,10,良,118.5000,11,2018-09
46,58,海西州,0.835,189,44,14,99,46,13,良,94.8387,8,2018-10
47,48,海西州,0.803,65,40,14,95,30,10,优,114.4000,12,2018-11
48,53,海西州,0.832,114,37,15,93,38,11,良,119.0645,12,2018-12
49,38,海西州,0.8,41,35,11,72,32,11,优,45.5000,9,2019-01
