index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,148,海门,1.3,148,148,70,53,228,113,轻度污染,140.0000,41,2013-12
1,114,海门,0.79,262,44,33,73,124,84,轻度污染,67.6129,20,2014-01
2,77,海门,0.621,210,34,16,84,71,53,良,63.3214,10,2014-02
3,84,海门,0.697,180,45,29,105,93,58,良,75.3871,22,2014-03
4,79,海门,0.623,117,45,23,128,69,44,良,84.3000,15,2014-04
5,108,海门,0.673,201,52,31,160,114,62,轻度污染,122.8333,25,2014-05
6,87,海门,0.38,193,43,18,134,63,53,良,98.6667,15,2014-06
7,79,海门,0.4,151,32,18,122,56,40,良,92.6129,13,2014-07
8,70,海门,0.603,176,32,13,120,48,34,良,86.8065,14,2014-08
9,69,海门,0.544,105,42,13,119,46,32,良,95.8519,14,2014-09
10,84,海门,0.548,154,50,25,126,76,45,良,90.3226,17,2014-10
11,83,海门,0.632,170,40,24,96,89,58,良,80.2143,19,2014-11
12,104,海门,0.903,218,45,31,57,128,75,轻度污染,117.9355,34,2014-12
13,119,海门,0.984,300,31,41,62,129,89,轻度污染,202.3226,31,2015-01
14,94,海门,0.85,234,37,20,85,101,67,良,185.2857,19,2015-02
15,79,海门,0.739,176,41,28,105,82,52,良,175.7419,20,2015-03
16,84,海门,0.817,161,46,31,130,84,50,良,216.5667,22,2015-04
17,76,海门,0.555,157,39,20,126,61,35,良,192.3548,19,2015-05
18,76,海门,0.743,165,29,21,97,68,40,良,205.3667,17,2015-06
19,81,海门,0.558,190,32,19,130,60,38,良,194.0000,24,2015-07
20,81,海门,0.545,193,25,15,131,49,33,良,196.7742,14,2015-08
21,76,海门,0.593,153,43,12,130,46,31,良,222.1000,14,2015-09
22,89,海门,0.758,147,46,16,136,81,53,良,239.9677,22,2015-10
23,74,海门,0.973,170,32,21,81,63,53,良,171.6000,17,2015-11
24,111,海门,1.281,258,48,32,64,103,83,轻度污染,208.3548,27,2015-12
25,100,海门,0.929,226,30,31,64,92,73,良,187.0357,25,2016-01
26,89,海门,0.909,201,45,22,81,86,66,良,193.5652,16,2016-02
27,79,海门,0.687,130,33,26,99,77,56,良,165.9355,21,2016-03
28,89,海门,0.633,161,46,24,129,81,58,良,237.6667,18,2016-04
29,93,海门,0.555,157,43,19,141,69,49,良,247.3226,17,2016-05
30,78,海门,0.62,175,44,19,130,46,37,良,210.8667,18,2016-06
31,105,海门,0.732,202,24,17,158,47,36,轻度污染,253.3871,20,2016-07
32,59,海门,0.442,161,26,9,105,33,19,良,150.4516,16,2016-08
33,72,海门,0.577,168,27,13,121,47,34,良,178.2333,18,2016-09
34,49,海门,0.529,72,37,12,94,34,21,优,127.7742,13,2016-10
35,65,海门,0.737,118,32,26,78,68,43,良,133.3667,19,2016-11
36,76,海门,0.826,155,30,29,72,82,54,良,115.9677,21,2016-12
37,66,海门,0.774,147,32,19,73,66,46,良,103.2903,15,2017-01
38,69,海门,0.832,130,30,23,84,69,48,良,131.9643,16,2017-02
39,63,海门,0.681,102,37,21,95,65,42,良,130.5806,17,2017-03
40,76,海门,0.69,125,45,25,119,73,40,良,187.6000,17,2017-04
41,83,海门,0.51,142,38,18,129,60,33,良,166.1290,15,2017-05
42,73,海门,0.577,150,34,15,123,43,32,良,177.6000,14,2017-06
43,99,海门,0.665,204,26,26,154,47,32,良,241.5484,19,2017-07
44,84,海门,0.687,183,24,17,136,45,28,良,232.6452,18,2017-08
45,71,海门,0.593,191,36,14,122,42,23,良,197.4333,16,2017-09
46,55,海门,0.516,82,41,15,102,42,22,良,163.5484,15,2017-10
47,69,海门,0.643,114,38,37,86,75,42,良,149.5667,18,2017-11
48,87,海门,0.787,243,35,43,41,93,61,良,156.3548,17,2017-12
49,85,海门,0.897,242,33,33,71,81,57,良,159.1613,13,2018-01
50,71,海门,0.879,155,38,28,85,78,46,良,140.6429,12,2018-02
51,63,海门,0.826,117,39,30,93,60,39,良,110.6667,11,2018-03
52,81,海门,0.833,169,41,30,124,81,40,良,159.7000,13,2018-04
53,80,海门,0.684,148,39,25,128,62,37,良,190.7000,11,2018-05
54,83,海门,0.627,183,38,19,135,46,31,良,188.5333,12,2018-06
55,61,海门,0.552,163,22,14,103,33,20,良,152.1935,11,2018-07
56,53,海门,0.584,110,23,13,90,27,17,良,117.9677,13,2018-08
57,66,海门,0.683,201,24,16,98,39,25,良,207.7778,21,2018-09
58,75,海门,0.694,108,46,21,126,55,32,良,237.8710,25,2018-10
59,71,海门,0.867,129,32,25,104,63,43,良,191.1667,9,2018-11
60,64,海门,0.861,160,37,30,72,66,38,良,155.4800,9,2018-12
61,65,海门,0.95,97,36,20,85,65,45,良,157.0000,10,2019-01
