index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,60,淮北,0.4,60,60,34,58,70,9,良,89.0000,15,2014-12
1,126,淮北,1.265,234,51,49,47,123,91,轻度污染,229.1613,27,2015-01
2,116,淮北,1.214,232,37,40,72,128,85,轻度污染,232.6429,25,2015-02
3,82,淮北,1.697,132,46,35,85,86,55,良,200.9032,21,2015-03
4,85,淮北,1.883,177,39,36,119,91,54,良,204.7667,30,2015-04
5,90,淮北,0.913,150,57,24,141,92,49,良,241.7742,26,2015-05
6,99,淮北,0.943,203,35,21,145,71,53,良,261.2000,23,2015-06
7,80,淮北,0.803,163,46,22,129,64,40,良,230.7097,20,2015-07
8,89,淮北,0.994,161,30,22,144,64,40,良,254.6129,28,2015-08
9,86,淮北,1.013,134,43,28,135,84,46,良,276.0667,28,2015-09
10,105,淮北,1.158,205,47,49,128,121,69,轻度污染,267.0323,33,2015-10
11,79,淮北,1.273,138,37,48,56,81,54,良,206.8667,31,2015-11
12,100,淮北,1.587,182,49,63,52,110,68,轻度污染,207.2258,48,2015-12
13,121,淮北,1.503,234,47,66,49,113,89,轻度污染,242.2581,41,2016-01
14,97,淮北,1.241,158,34,54,82,98,71,良,228.5862,35,2016-02
15,101,淮北,1.152,198,52,47,115,105,70,轻度污染,231.5161,34,2016-03
16,95,淮北,1.293,152,45,32,140,107,56,良,264.2333,25,2016-04
17,96,淮北,0.813,139,48,31,150,87,42,良,268.3226,15,2016-05
18,81,淮北,0.75,130,40,33,135,50,25,良,237.3667,14,2016-06
19,54,淮北,0.752,115,29,29,91,49,26,良,145.7097,16,2016-07
20,58,淮北,0.829,88,35,22,93,55,30,良,159.6452,14,2016-08
21,81,淮北,0.98,130,36,30,126,75,39,良,240.4000,19,2016-09
22,76,淮北,0.997,176,40,40,69,77,52,良,252.3871,17,2016-10
23,105,淮北,1.167,240,35,50,63,116,77,轻度污染,247.3667,23,2016-11
24,150,淮北,1.555,290,52,60,52,155,114,轻度污染,268.3871,37,2016-12
25,139,淮北,1.584,301,55,52,60,139,107,轻度污染,256.6452,26,2017-01
26,128,淮北,1.164,182,60,46,91,132,98,轻度污染,272.3571,32,2017-02
27,101,淮北,1.042,201,48,43,110,118,74,轻度污染,246.3226,23,2017-03
28,101,淮北,1.047,151,53,33,136,108,59,轻度污染,247.9000,20,2017-04
29,143,淮北,0.865,500,50,27,173,83,41,轻度污染,244.2258,18,2017-05
30,127,淮北,0.9,201,49,28,187,92,54,轻度污染,273.7000,17,2017-06
31,80,淮北,0.806,137,32,22,124,56,37,良,197.3871,15,2017-07
32,77,淮北,0.89,150,28,21,129,57,36,良,224.5806,14,2017-08
33,79,淮北,0.883,122,31,26,124,62,47,良,221.2667,19,2017-09
34,84,淮北,0.942,215,32,42,92,85,60,良,226.0323,21,2017-10
35,105,淮北,0.917,204,55,53,71,122,76,轻度污染,225.8667,26,2017-11
36,138,淮北,1.216,324,53,61,32,147,104,轻度污染,234.9032,27,2017-12
37,149,淮北,1.158,255,52,54,62,145,114,轻度污染,261.6452,26,2018-01
38,97,淮北,0.871,182,49,39,83,114,69,良,221.6429,21,2018-02
39,93,淮北,0.919,180,54,36,111,96,65,良,246.2903,19,2018-03
40,90,淮北,0.85,152,0,31,134,102,48,良,231.2667,16,2018-04
41,75,淮北,0.835,131,0,26,141,61,38,良,193.4194,15,2018-05
42,128,淮北,0.84,201,58,22,189,74,38,轻度污染,273.6000,19,2018-06
43,75,淮北,0.794,146,24,16,123,48,26,良,217.4516,13,2018-07
44,83,淮北,0.816,137,30,17,135,52,32,良,205.0645,14,2018-08
45,75,淮北,0.75,110,39,26,121,59,33,良,234.0000,14,2018-09
46,88,淮北,0.71,192,45,42,119,91,52,良,238.0323,18,2018-10
47,122,淮北,0.98,301,38,41,71,125,92,轻度污染,286.7667,12,2018-11
48,112,淮北,0.935,211,51,48,41,121,81,轻度污染,268.0323,14,2018-12
49,189,淮北,1.3,230,129,57,41,177,145,中度污染,310.0000,20,2019-01
