index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,42,淮南,0.6,42,42,21,49,42,10,优,24.0000,22,2014-12
1,88,淮南,1.016,169,43,27,49,102,62,良,150.3548,29,2015-01
2,94,淮南,0.879,205,42,29,70,111,66,良,189.5000,29,2015-02
3,67,淮南,0.719,107,45,23,66,78,44,良,143.5484,21,2015-03
4,65,淮南,0.723,95,41,26,81,73,43,良,131.2000,22,2015-04
5,78,淮南,0.852,145,52,30,102,91,53,良,202.4516,18,2015-05
6,67,淮南,0.747,123,32,20,102,72,37,良,187.1333,15,2015-06
7,57,淮南,0.752,134,32,18,87,57,29,良,135.5161,13,2015-07
8,57,淮南,0.768,88,33,21,87,65,30,良,142.9032,11,2015-08
9,66,淮南,0.81,110,36,24,82,72,40,良,199.9667,13,2015-09
10,97,淮南,0.971,222,45,37,82,112,69,良,249.4194,17,2015-10
11,79,淮南,1.053,202,35,35,44,84,54,良,193.7000,20,2015-11
12,99,淮南,1.406,206,52,42,37,112,71,良,205.8387,21,2015-12
13,100,淮南,1.265,225,44,40,43,102,74,轻度污染,204.2903,20,2016-01
14,101,淮南,1.372,206,40,32,75,92,75,轻度污染,248.6552,17,2016-02
15,98,淮南,1.077,206,38,32,96,96,66,良,210.7419,17,2016-03
16,76,淮南,0.847,123,38,32,124,72,37,良,202.3333,16,2016-04
17,77,淮南,0.752,147,42,29,118,83,45,良,191.6129,24,2016-05
18,63,淮南,0.74,109,39,27,102,59,32,良,166.4667,16,2016-06
19,52,淮南,0.758,79,32,26,72,57,29,良,147.9677,16,2016-07
20,66,淮南,0.723,113,40,32,101,68,30,良,200.5161,18,2016-08
21,84,淮南,0.85,139,33,34,130,79,44,良,248.9000,17,2016-09
22,61,淮南,0.861,93,40,32,57,68,39,良,199.1290,18,2016-10
23,88,淮南,0.96,211,38,41,58,106,63,良,210.8000,17,2016-11
24,133,淮南,1.316,239,47,50,49,144,100,轻度污染,251.7742,22,2016-12
25,127,淮南,1.374,251,45,43,57,135,96,轻度污染,245.9355,22,2017-01
26,113,淮南,1.018,181,54,37,92,121,85,轻度污染,236.6786,21,2017-02
27,94,淮南,0.858,155,48,38,104,118,69,良,247.3548,21,2017-03
28,94,淮南,0.857,144,42,27,131,114,54,良,249.5333,14,2017-04
29,133,淮南,0.716,500,56,27,165,88,39,轻度污染,221.6774,18,2017-05
30,116,淮南,0.773,184,42,17,177,95,48,轻度污染,264.7333,13,2017-06
31,70,淮南,0.652,143,35,15,118,69,31,良,222.0323,9,2017-07
32,72,淮南,0.681,130,32,18,121,69,34,良,250.2581,12,2017-08
33,78,淮南,0.74,140,38,25,119,79,38,良,217.6333,16,2017-09
34,80,淮南,0.794,184,33,28,104,100,54,良,223.0323,19,2017-10
35,109,淮南,0.887,239,51,43,79,137,82,轻度污染,242.7333,22,2017-11
36,149,淮南,1.126,331,57,52,35,149,109,轻度污染,251.8065,27,2017-12
37,138,淮南,1.081,233,54,40,64,128,104,轻度污染,255.1290,21,2018-01
38,102,淮南,0.768,185,50,30,75,94,68,轻度污染,245.7143,17,2018-02
39,86,淮南,0.755,189,42,30,104,88,60,良,221.2903,17,2018-03
40,86,淮南,0.677,146,0,26,134,89,50,良,222.0667,16,2018-04
41,81,淮南,0.694,149,0,21,140,65,41,良,211.7742,14,2018-05
42,117,淮南,0.67,201,55,20,176,68,42,轻度污染,265.7333,13,2018-06
43,74,淮南,0.616,119,25,18,122,49,31,良,211.3226,12,2018-07
44,81,淮南,0.706,164,31,18,134,52,32,良,213.4516,12,2018-08
45,71,淮南,0.673,112,34,22,117,66,32,良,230.8333,16,2018-09
46,82,淮南,0.674,156,52,31,121,90,44,良,231.7097,16,2018-10
47,103,淮南,0.89,236,25,38,77,117,76,轻度污染,253.1667,15,2018-11
48,101,淮南,0.91,219,52,38,45,111,73,轻度污染,258.0968,14,2018-12
49,152,淮南,1.025,176,124,47,46,150,115,中度污染,284.0000,19,2019-01
