index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,225,淮安,1.981,432,75,57,62,163,183,重度污染,89.3462,45,2013-12
1,157,淮安,1.635,299,62,37,73,141,122,中度污染,113.0323,42,2014-01
2,118,淮安,1.314,414,40,15,92,111,90,轻度污染,109.6429,27,2014-02
3,120,淮安,1.471,311,65,28,117,131,84,轻度污染,128.1935,36,2014-03
4,90,淮安,1.14,166,49,20,137,96,56,良,109.4333,26,2014-04
5,125,淮安,1.223,201,73,21,182,137,63,轻度污染,151.8065,41,2014-05
6,114,淮安,0.88,257,56,17,159,99,69,轻度污染,140.9000,23,2014-06
7,87,淮安,0.797,169,30,16,140,70,49,良,104.4194,18,2014-07
8,83,淮安,0.732,170,24,18,128,66,49,良,113.5806,21,2014-08
9,63,淮安,0.72,95,34,15,107,50,34,良,81.5000,22,2014-09
10,74,淮安,0.777,129,43,24,95,80,50,良,68.2258,23,2014-10
11,98,淮安,1.05,192,33,32,67,108,71,良,103.7333,19,2014-11
12,119,淮安,1.168,246,59,37,43,132,88,轻度污染,134.8387,36,2014-12
13,127,淮安,1.348,270,41,29,53,149,93,轻度污染,224.8065,30,2015-01
14,115,淮安,1.343,225,33,19,70,126,86,轻度污染,234.5357,20,2015-02
15,93,淮安,1.29,295,39,19,91,108,59,良,221.1613,19,2015-03
16,85,淮安,1.1,150,41,24,125,92,50,良,221.1000,23,2015-04
17,83,淮安,0.874,122,44,23,133,81,42,良,221.6452,20,2015-05
18,105,淮安,0.997,198,46,17,163,81,44,轻度污染,288.8000,20,2015-06
19,73,淮安,0.784,143,28,13,120,60,37,良,190.9355,20,2015-07
20,77,淮安,0.755,159,24,14,126,64,38,良,217.6452,18,2015-08
21,76,淮安,0.727,105,42,16,130,58,32,良,249.4000,15,2015-09
22,95,淮安,0.884,192,49,23,138,102,56,良,256.2581,21,2015-10
23,81,淮安,1.047,196,29,28,73,89,59,良,208.5000,19,2015-11
24,132,淮安,1.5,288,63,39,53,145,99,轻度污染,255.1290,27,2015-12
25,117,淮安,1.484,242,41,33,66,126,87,轻度污染,240.2581,33,2016-01
26,114,淮安,1.262,206,36,29,79,127,84,轻度污染,263.3448,26,2016-02
27,105,淮安,1.277,218,46,30,100,130,74,轻度污染,239.0645,23,2016-03
28,89,淮安,1.46,145,37,32,125,115,59,良,245.2000,21,2016-04
29,88,淮安,1.277,148,45,24,134,90,44,良,237.3871,18,2016-05
30,85,淮安,0.777,148,41,16,138,65,38,良,238.5333,16,2016-06
31,77,淮安,0.571,162,30,10,125,56,34,良,230.6452,14,2016-07
32,69,淮安,0.458,150,35,8,119,46,22,良,189.7419,12,2016-08
33,89,淮安,0.7,164,31,14,143,72,37,良,243.7333,14,2016-09
34,52,淮安,0.69,85,26,22,72,56,29,良,147.0645,8,2016-10
35,81,淮安,0.897,202,33,35,69,100,53,良,184.2333,16,2016-11
36,109,淮安,1.184,256,36,42,66,132,79,轻度污染,191.6452,20,2016-12
37,98,淮安,1.065,257,30,31,74,114,69,良,179.3226,18,2017-01
38,97,淮安,1.011,175,50,36,94,119,69,良,201.5000,20,2017-02
39,80,淮安,0.835,144,46,35,114,100,52,良,179.1613,17,2017-03
40,105,淮安,1.037,156,57,34,149,107,55,轻度污染,245.2000,17,2017-04
41,119,淮安,0.935,218,45,30,169,80,40,轻度污染,218.8065,15,2017-05
42,110,淮安,0.647,186,48,23,168,75,46,轻度污染,229.5667,11,2017-06
43,65,淮安,0.661,152,28,21,111,52,30,良,181.7419,11,2017-07
44,62,淮安,0.674,122,31,21,111,49,28,良,188.9355,11,2017-08
45,70,淮安,0.683,120,32,28,114,59,40,良,177.6000,10,2017-09
46,66,淮安,0.677,157,29,36,88,70,43,良,198.0968,10,2017-10
47,87,淮安,0.813,147,50,48,76,109,58,良,187.5000,15,2017-11
48,115,淮安,1.187,283,55,55,28,120,71,轻度污染,203.1613,18,2017-12
49,124,淮安,1.245,261,0,48,60,123,90,轻度污染,215.9355,14,2018-01
50,87,淮安,0.975,204,0,33,79,96,59,良,198.7857,13,2018-02
51,87,淮安,0.845,166,39,38,104,97,62,良,216.8065,13,2018-03
52,87,淮安,0.82,189,0,36,142,100,50,良,221.5333,13,2018-04
53,69,淮安,0.713,136,0,25,134,54,35,良,175.0968,10,2018-05
54,113,淮安,0.66,196,54,20,172,61,42,轻度污染,87.4667,11,2018-06
55,74,淮安,0.535,147,26,15,119,46,30,良,200.6129,9,2018-07
56,70,淮安,0.503,130,27,14,120,42,25,良,143.2903,6,2018-08
57,64,淮安,0.61,108,39,23,112,54,32,良,204.9667,7,2018-09
58,76,淮安,0.606,134,47,33,111,82,43,良,214.2903,9,2018-10
59,86,淮安,0.9,189,24,35,73,103,61,良,214.8667,7,2018-11
60,84,淮安,0.877,166,40,39,49,102,56,良,226.5806,10,2018-12
61,146,淮安,1.1,203,83,48,53,149,109,轻度污染,291.7500,11,2019-01
