index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,103,深圳,1.433,173,21,51,87,109,77,轻度污染,40.9667,19,2013-12
1,82,深圳,1.248,130,43,42,96,90,60,良,45.4194,14,2014-01
2,47,深圳,1.157,66,20,30,63,45,31,优,28.3929,7,2014-02
3,56,深圳,0.919,90,27,37,64,61,37,良,28.0968,8,2014-03
4,52,深圳,0.92,71,29,34,81,53,32,良,23.9000,8,2014-04
5,34,深圳,0.874,51,22,28,51,32,17,优,7.7742,6,2014-05
6,42,深圳,0.943,82,23,26,61,42,20,优,20.3667,6,2014-06
7,44,深圳,1.097,105,26,27,70,43,20,优,35.6129,7,2014-07
8,36,深圳,0.929,73,24,27,57,36,15,优,20.8065,6,2014-08
9,52,深圳,1.13,125,27,30,83,51,26,良,54.5000,7,2014-09
10,73,深圳,1.213,116,52,32,122,76,45,良,68.0000,9,2014-10
11,62,深圳,1.187,93,38,37,87,66,43,良,51.5000,9,2014-11
12,70,深圳,1.223,99,26,44,72,77,50,良,60.9032,11,2014-12
13,70,深圳,1.226,131,30,45,91,80,49,良,106.7742,10,2015-01
14,67,深圳,1.082,131,25,33,85,72,47,良,116.3214,9,2015-02
15,49,深圳,0.977,70,32,33,65,52,31,优,73.7097,7,2015-03
16,52,深圳,0.853,95,25,34,79,52,27,良,72.3333,8,2015-04
17,36,深圳,0.829,76,24,29,58,33,16,优,26.4516,7,2015-05
18,28,深圳,0.743,37,23,25,49,26,11,优,15.6000,8,2015-06
19,43,深圳,0.835,83,29,27,73,34,19,优,69.7097,8,2015-07
20,56,深圳,0.829,109,29,36,84,43,25,良,137.1935,10,2015-08
21,61,深圳,0.743,114,30,30,101,46,30,良,166.5000,8,2015-09
22,68,深圳,0.758,137,25,34,115,59,38,良,151.4839,9,2015-10
23,54,深圳,0.82,94,30,32,97,52,32,良,116.2000,8,2015-11
24,53,深圳,0.977,82,29,37,67,50,32,良,79.7419,8,2015-12
25,54,深圳,0.981,99,33,38,67,44,30,良,78.4516,7,2016-01
26,51,深圳,0.821,88,30,30,79,46,30,良,76.2759,8,2016-02
27,62,深圳,0.855,119,31,43,86,53,35,良,105.8065,10,2016-03
28,55,深圳,0.757,85,32,36,77,40,26,良,89.3333,10,2016-04
29,53,深圳,0.81,112,29,26,91,36,22,良,86.4194,9,2016-05
30,38,深圳,0.627,59,26,27,66,25,13,优,49.7333,8,2016-06
31,51,深圳,0.668,167,24,27,84,30,17,良,113.2903,9,2016-07
32,62,深圳,0.768,132,29,32,103,38,24,良,170.0645,8,2016-08
33,64,深圳,0.783,134,35,30,102,42,27,良,170.4333,8,2016-09
34,46,深圳,0.771,68,23,27,82,38,24,优,114.3548,6,2016-10
35,55,深圳,0.85,111,33,36,85,49,31,良,98.0667,7,2016-11
36,67,深圳,0.974,95,33,43,103,71,45,良,99.7097,9,2016-12
37,61,深圳,0.997,85,37,33,92,55,38,良,97.5161,8,2017-01
38,59,深圳,0.875,89,35,30,101,45,32,良,70.1786,7,2017-02
39,54,深圳,0.832,87,36,34,90,51,31,良,88.6452,7,2017-03
40,58,深圳,0.797,112,32,33,88,44,27,良,63.0000,8,2017-04
41,67,深圳,0.848,149,30,31,110,42,27,良,68.7742,8,2017-05
42,32,深圳,0.69,48,21,25,47,22,12,优,38.5333,7,2017-06
43,39,深圳,0.671,151,21,23,62,24,14,优,32.5484,7,2017-07
44,49,深圳,0.713,168,23,28,81,30,18,优,71.6774,8,2017-08
45,64,深圳,0.76,187,23,29,104,39,25,良,88.5667,7,2017-09
46,64,深圳,0.823,121,24,22,111,49,30,良,125.0000,7,2017-10
47,59,深圳,0.85,102,32,33,91,58,37,良,105.0333,8,2017-11
48,70,深圳,0.842,114,36,34,63,75,46,良,114.7097,11,2017-12
49,62,深圳,0.839,135,30,37,87,61,39,良,108.7097,8,2018-01
50,56,深圳,0.671,88,24,27,91,54,36,良,83.6429,8,2018-02
51,59,深圳,0.616,85,25,30,101,47,28,良,116.7097,7,2018-03
52,54,深圳,0.623,85,30,28,89,53,29,良,87.3000,8,2018-04
53,50,深圳,0.49,139,0,26,90,31,18,良,87.4516,7,2018-05
54,50,深圳,0.59,143,28,25,87,29,17,良,21.9000,7,2018-06
55,34,深圳,0.506,72,21,23,59,25,13,优,60.0968,7,2018-07
56,58,深圳,0.623,174,25,29,94,33,20,良,83.3548,7,2018-08
57,52,深圳,0.54,90,22,27,89,36,22,良,123.4000,7,2018-09
58,68,深圳,0.603,114,34,27,115,51,29,良,140.1613,8,2018-10
59,50,深圳,0.62,87,35,29,84,48,28,优,109.9667,7,2018-11
60,48,深圳,0.729,70,31,32,58,47,27,优,96.6774,6,2018-12
61,57,深圳,0.988,97,39,41,30,61,37,良,123.6250,7,2019-01
