index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,195,湖州,1.603,422,16,80,38,200,157,中度污染,73.9667,55,2013-12
1,152,湖州,1.248,304,55,67,52,140,117,中度污染,109.7742,36,2014-01
2,95,湖州,0.954,305,24,35,67,73,71,良,86.0000,18,2014-02
3,92,湖州,0.935,172,53,56,105,98,68,良,96.3871,29,2014-03
4,83,湖州,0.863,152,40,48,110,79,57,良,88.6000,24,2014-04
5,97,湖州,0.916,160,40,47,130,108,66,良,110.9677,28,2014-05
6,95,湖州,0.91,207,36,39,147,73,52,良,111.0000,17,2014-06
7,88,湖州,0.932,180,26,34,136,67,46,良,107.5484,11,2014-07
8,66,湖州,0.961,124,21,35,105,60,40,良,83.7097,12,2014-08
9,73,湖州,0.87,140,36,34,121,58,39,良,103.5000,15,2014-09
10,88,湖州,0.906,130,50,51,125,82,53,良,100.4194,17,2014-10
11,97,湖州,1.187,185,41,62,66,93,72,良,104.7667,23,2014-11
12,104,湖州,1.084,160,56,70,42,108,77,轻度污染,123.2581,38,2014-12
13,132,湖州,1.252,280,41,66,48,106,100,轻度污染,232.4516,27,2015-01
14,96,湖州,1.021,186,28,37,75,80,70,良,190.3214,11,2015-02
15,79,湖州,1.006,159,35,41,88,64,56,良,184.9032,14,2015-03
16,91,湖州,1.01,203,40,50,134,81,54,良,233.4333,20,2015-04
17,94,湖州,0.768,143,36,36,150,71,46,良,253.0968,17,2015-05
18,84,湖州,0.787,153,36,34,128,71,43,良,240.5667,10,2015-06
19,77,湖州,0.606,179,24,28,124,53,35,良,205.5161,8,2015-07
20,94,湖州,0.716,169,29,28,148,56,38,良,251.7097,12,2015-08
21,105,湖州,0.767,183,37,31,163,55,37,轻度污染,288.5333,14,2015-09
22,89,湖州,0.829,165,42,40,133,82,50,良,230.5161,21,2015-10
23,68,湖州,1.057,139,32,42,61,66,48,良,159.2333,21,2015-11
24,115,湖州,1.2,329,53,51,53,117,86,轻度污染,225.0968,30,2015-12
25,101,湖州,1.116,193,43,46,59,93,73,轻度污染,205.3548,23,2016-01
26,87,湖州,0.931,144,46,34,100,91,62,良,213.0000,20,2016-02
27,98,湖州,0.952,176,43,47,111,101,68,良,229.2581,25,2016-03
28,88,湖州,0.857,148,45,38,135,72,48,良,232.1333,23,2016-04
29,92,湖州,0.852,152,41,36,139,71,40,良,236.2581,18,2016-05
30,87,湖州,0.743,187,33,27,138,47,31,良,237.0000,12,2016-06
31,93,湖州,0.719,194,32,26,147,50,31,良,260.5806,11,2016-07
32,105,湖州,0.623,167,44,22,163,41,24,轻度污染,294.0000,14,2016-08
33,91,湖州,0.617,185,20,26,143,46,31,良,237.1333,14,2016-09
34,55,湖州,0.739,100,27,34,78,44,26,良,158.7097,11,2016-10
35,76,湖州,0.87,166,33,49,62,77,50,良,169.5667,18,2016-11
36,94,湖州,1.019,150,38,53,64,98,69,良,172.5806,22,2016-12
37,84,湖州,1.065,217,39,38,68,72,60,良,148.2581,15,2017-01
38,87,湖州,0.954,158,38,40,96,75,64,良,162.5357,17,2017-02
39,78,湖州,0.79,139,40,44,108,72,52,良,173.0645,16,2017-03
40,104,湖州,0.92,166,47,50,153,77,47,轻度污染,181.3667,19,2017-04
41,116,湖州,0.787,205,34,39,175,65,37,轻度污染,135.8387,17,2017-05
42,90,湖州,0.833,202,35,30,142,47,31,良,149.4000,12,2017-06
43,96,湖州,0.735,188,33,28,152,44,25,良,129.8710,9,2017-07
44,81,湖州,0.826,173,36,23,135,38,23,良,102.9032,9,2017-08
45,82,湖州,0.923,195,33,27,127,44,27,良,100.2333,10,2017-09
46,64,湖州,0.9,157,28,31,109,49,27,良,119.8387,12,2017-10
47,70,湖州,0.947,113,30,48,75,77,42,良,121.3333,16,2017-11
48,104,湖州,1.284,283,46,60,30,107,71,轻度污染,165.5161,23,2017-12
49,95,湖州,1.139,232,29,48,52,87,68,良,165.0323,17,2018-01
50,79,湖州,0.932,192,35,35,80,75,54,良,153.9286,13,2018-02
51,70,湖州,1.052,110,37,46,94,69,43,良,151.0323,16,2018-03
52,93,湖州,1.077,203,43,47,134,92,42,良,223.8333,17,2018-04
53,90,湖州,0.981,161,36,35,137,64,36,良,218.4194,11,2018-05
54,97,湖州,0.833,179,39,28,153,44,27,良,67.8667,11,2018-06
55,81,湖州,0.694,193,24,24,132,38,22,良,191.0645,10,2018-07
56,84,湖州,0.703,160,29,19,136,33,19,良,80.0968,10,2018-08
57,81,湖州,0.82,180,29,32,130,42,23,良,133.9000,12,2018-09
58,71,湖州,0.797,150,37,41,115,52,26,良,122.0000,14,2018-10
59,59,湖州,0.793,106,30,44,66,55,34,良,136.4000,12,2018-11
60,67,湖州,0.984,125,30,45,40,65,40,良,147.9677,12,2018-12
61,93,湖州,1.25,137,60,54,56,84,69,良,212.7500,15,2019-01
