index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,108,湘西州,0.871,179,27,29,44,118,81,轻度污染,202.0357,29,2015-01
1,91,湘西州,0.743,156,22,18,58,92,68,良,183.9286,18,2015-02
2,69,湘西州,0.713,141,34,19,57,74,49,良,151.2258,16,2015-03
3,60,湘西州,0.567,109,32,16,73,65,41,良,100.9333,9,2015-04
4,60,湘西州,0.452,115,35,13,79,62,38,良,116.8710,9,2015-05
5,48,湘西州,0.47,76,27,12,73,46,27,优,103.3000,11,2015-06
6,51,湘西州,0.774,75,29,12,83,47,28,良,113.0000,10,2015-07
7,52,湘西州,0.558,82,34,13,79,51,30,良,116.4516,10,2015-08
8,65,湘西州,0.413,102,26,15,85,66,45,良,183.3000,9,2015-09
9,76,湘西州,0.332,122,37,21,85,87,54,良,185.0968,11,2015-10
10,53,湘西州,0.487,94,23,22,36,55,36,良,100.2000,10,2015-11
11,78,湘西州,0.439,137,28,27,52,88,56,良,157.8387,18,2015-12
12,95,湘西州,0.442,173,46,27,63,103,70,良,215.0000,19,2016-01
13,89,湘西州,0.338,206,43,21,73,104,63,良,219.5862,19,2016-02
14,86,湘西州,0.481,128,44,26,78,99,61,良,197.8387,13,2016-03
15,62,湘西州,0.483,103,32,19,77,70,36,良,127.2333,11,2016-04
16,57,湘西州,0.519,87,31,13,86,63,32,良,109.1290,11,2016-05
17,49,湘西州,0.507,77,27,11,70,49,22,优,104.4333,8,2016-06
18,48,湘西州,0.894,68,27,11,67,51,24,优,125.5806,6,2016-07
19,57,湘西州,0.619,83,28,17,86,64,29,良,158.6129,5,2016-08
20,76,湘西州,0.573,98,35,21,115,92,45,良,227.8000,7,2016-09
21,52,湘西州,0.729,84,25,16,74,59,31,良,141.8065,5,2016-10
22,64,湘西州,0.787,113,29,18,39,75,43,良,132.6000,7,2016-11
23,93,湘西州,0.887,155,32,27,51,112,67,良,176.1935,5,2016-12
24,108,湘西州,0.932,250,34,21,62,126,82,轻度污染,217.1613,6,2017-01
25,77,湘西州,0.789,174,35,19,57,84,56,良,156.4286,3,2017-02
26,61,湘西州,0.748,98,27,20,66,69,40,良,151.2903,4,2017-03
27,63,湘西州,0.81,91,24,18,71,78,37,良,206.1000,4,2017-04
28,63,湘西州,0.8,112,21,15,87,70,26,良,185.8710,3,2017-05
29,47,湘西州,1.337,66,30,15,69,42,17,优,162.6000,3,2017-06
30,56,湘西州,1.732,76,35,14,75,61,24,良,263.9355,3,2017-07
31,51,湘西州,1.261,73,30,13,77,51,24,良,221.9677,3,2017-08
32,57,湘西州,0.733,106,31,17,86,58,29,良,184.8000,2,2017-09
33,48,湘西州,0.542,102,19,15,70,51,29,优,134.5161,2,2017-10
34,72,湘西州,0.487,111,39,28,65,88,47,良,162.7333,6,2017-11
35,92,湘西州,0.529,142,52,39,30,119,66,良,176.5806,10,2017-12
36,81,湘西州,0.619,140,24,24,47,92,60,良,170.3548,6,2018-01
37,94,湘西州,0.754,162,36,24,70,113,69,良,224.5357,8,2018-02
38,58,湘西州,0.574,97,24,23,61,65,39,良,110.3871,6,2018-03
39,61,湘西州,0.533,85,32,26,77,70,37,良,117.4000,5,2018-04
40,55,湘西州,1.019,99,25,15,72,62,31,良,108.2903,5,2018-05
41,47,湘西州,0.88,79,30,13,75,45,25,优,71.7000,3,2018-06
42,36,湘西州,0.777,48,24,9,62,34,19,优,97.4194,2,2018-07
43,43,湘西州,1.042,72,28,11,82,35,20,优,146.5484,3,2018-08
44,37,湘西州,1.017,58,20,13,65,30,18,优,108.8667,3,2018-09
45,46,湘西州,0.81,82,25,15,76,40,24,优,103.7097,3,2018-10
46,45,湘西州,0.737,84,15,19,44,44,29,优,81.0333,3,2018-11
47,68,湘西州,0.613,155,23,25,39,72,48,良,166.0968,4,2018-12
48,65,湘西州,0.45,89,28,24,33,64,47,良,148.2500,3,2019-01
