index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,153,溧阳,0.707,296,67,65,42,178,119,中度污染,111.6429,38,2014-01
1,102,溧阳,0.746,262,27,37,78,105,76,轻度污染,99.8929,26,2014-02
2,103,溧阳,0.706,181,53,52,124,123,75,轻度污染,114.3871,31,2014-03
3,105,溧阳,0.537,203,52,40,143,90,60,轻度污染,129.0000,25,2014-04
4,128,溧阳,0.673,323,50,42,175,134,76,轻度污染,140.6000,30,2014-05
5,108,溧阳,0.9,201,48,38,152,99,68,轻度污染,132.7000,16,2014-06
6,94,溧阳,0.861,159,28,31,141,74,52,良,121.0000,18,2014-07
7,67,溧阳,1.377,140,33,32,106,66,40,良,83.0645,25,2014-08
8,63,溧阳,0.7,125,38,35,104,61,32,良,84.2333,15,2014-09
9,74,溧阳,1.042,106,31,51,114,75,41,良,69.8387,19,2014-10
10,93,溧阳,1.13,217,44,63,63,112,68,良,97.7667,33,2014-11
11,78,溧阳,0.945,144,54,59,55,95,51,良,72.1935,39,2014-12
12,125,溧阳,0.839,221,53,58,57,153,93,轻度污染,238.3226,30,2015-01
13,100,溧阳,0.739,180,37,37,87,116,72,良,203.5357,19,2015-02
14,89,溧阳,0.674,203,41,42,102,98,58,良,227.4839,21,2015-03
15,94,溧阳,0.647,158,51,44,130,100,55,良,257.6000,35,2015-04
16,103,溧阳,0.719,187,47,36,152,89,54,轻度污染,259.7742,20,2015-05
17,68,溧阳,0.843,168,25,34,81,73,46,良,187.6333,23,2015-06
18,58,溧阳,0.661,125,24,26,73,56,38,良,136.1290,17,2015-07
19,68,溧阳,0.71,147,21,25,114,58,36,良,178.2903,28,2015-08
20,70,溧阳,0.793,112,34,33,118,63,38,良,205.1000,21,2015-09
21,84,溧阳,0.839,158,38,51,107,102,58,良,224.1935,17,2015-10
22,82,溧阳,1.077,147,38,52,58,88,60,良,223.7333,18,2015-11
23,131,溧阳,1.061,268,66,59,41,150,98,轻度污染,262.0645,26,2015-12
24,106,溧阳,0.781,226,43,49,52,116,77,轻度污染,221.4516,23,2016-01
25,86,溧阳,0.628,142,34,30,75,100,61,良,200.2759,16,2016-02
26,87,溧阳,0.777,175,34,44,74,100,62,良,173.9355,24,2016-03
27,69,溧阳,0.653,113,40,38,103,69,40,良,166.8667,14,2016-04
28,78,溧阳,1.039,185,32,29,109,83,44,良,187.9032,12,2016-05
29,54,溧阳,0.86,105,25,23,81,56,35,良,125.1333,10,2016-06
30,78,溧阳,0.845,162,28,19,131,44,29,良,233.6774,12,2016-07
31,79,溧阳,0.916,128,39,19,132,42,27,良,249.3226,14,2016-08
32,65,溧阳,1.023,110,22,25,110,53,36,良,164.7333,11,2016-09
33,50,溧阳,1.013,84,31,32,70,45,30,良,133.0968,15,2016-10
34,74,溧阳,1.217,158,31,40,61,77,52,良,159.2333,27,2016-11
35,100,溧阳,1.171,208,36,47,62,105,74,轻度污染,186.1290,18,2016-12
36,91,溧阳,1.213,180,42,37,62,88,67,良,168.0323,13,2017-01
37,94,溧阳,1.336,156,40,37,85,89,69,良,218.3929,16,2017-02
38,73,溧阳,1.023,124,40,39,93,75,51,良,179.3548,16,2017-03
39,80,溧阳,1.05,117,38,36,120,75,46,良,206.2667,26,2017-04
40,86,溧阳,0.99,157,38,28,134,66,42,良,183.7742,15,2017-05
41,69,溧阳,0.81,115,28,23,113,47,36,良,170.5000,12,2017-06
42,56,溧阳,0.687,140,26,21,96,33,23,良,127.0000,12,2017-07
43,59,溧阳,0.729,131,28,17,105,34,23,良,165.5806,10,2017-08
44,63,溧阳,0.8,140,28,22,103,42,31,良,160.1333,17,2017-09
45,59,溧阳,0.9,115,29,32,93,51,35,良,155.3871,18,2017-10
46,72,溧阳,0.863,129,32,44,73,76,46,良,166.4667,20,2017-11
47,114,溧阳,1.032,252,52,58,33,114,83,轻度污染,216.3548,25,2017-12
48,114,溧阳,1.068,253,40,51,63,105,84,轻度污染,224.4839,17,2018-01
49,90,溧阳,1.171,236,35,35,77,86,65,良,196.0357,14,2018-02
50,74,溧阳,1.139,140,43,32,101,67,51,良,155.6667,13,2018-03
51,91,溧阳,1.22,188,39,31,138,80,47,良,208.5333,17,2018-04
52,93,溧阳,1.123,155,34,25,141,59,42,良,230.3333,16,2018-05
53,108,溧阳,0.883,203,39,23,167,41,31,轻度污染,248.3000,13,2018-06
54,87,溧阳,0.852,148,28,21,141,33,24,良,257.3871,11,2018-07
55,85,溧阳,1.084,165,37,19,139,31,23,良,246.5806,11,2018-08
56,87,溧阳,1.02,145,34,30,141,43,29,良,281.4444,9,2018-09
57,81,溧阳,0.955,183,44,41,130,62,36,良,251.0645,8,2018-10
58,77,溧阳,1.203,205,29,47,78,76,52,良,191.9667,7,2018-11
59,79,溧阳,1.177,155,34,46,42,84,55,良,202.2400,7,2018-12
60,107,溧阳,1.2,135,72,51,36,108,80,轻度污染,236.3333,10,2019-01
