index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,73,滁州,0.6,73,73,13,36,96,30,良,136.0000,11,2014-12
1,106,滁州,1.171,214,41,22,38,128,78,轻度污染,186.9677,14,2015-01
2,91,滁州,1.093,196,21,21,39,89,68,良,175.9286,11,2015-02
3,61,滁州,1.323,102,22,20,36,58,43,良,119.1935,10,2015-03
4,74,滁州,1.273,172,29,22,45,79,54,良,160.7000,10,2015-04
5,95,滁州,0.781,151,54,33,46,98,71,良,251.2903,20,2015-05
6,82,滁州,0.73,156,25,30,39,90,60,良,228.9000,16,2015-06
7,68,滁州,0.548,142,38,28,39,71,48,良,177.2258,14,2015-07
8,67,滁州,0.597,108,24,28,43,73,47,良,184.7742,16,2015-08
9,71,滁州,0.72,118,50,22,44,79,49,良,219.0667,12,2015-09
10,101,滁州,0.916,258,33,32,44,115,74,轻度污染,257.3871,14,2015-10
11,81,滁州,1.097,173,28,33,40,74,59,良,213.0333,14,2015-11
12,127,滁州,1.248,252,59,53,61,115,95,轻度污染,249.8065,22,2015-12
13,129,滁州,1.152,232,38,51,52,118,97,轻度污染,264.2903,26,2016-01
14,108,滁州,1.086,203,26,38,58,104,80,轻度污染,235.9655,15,2016-02
15,105,滁州,0.971,220,31,43,74,102,78,轻度污染,223.1935,16,2016-03
16,86,滁州,0.867,129,46,41,120,88,62,良,240.2667,15,2016-04
17,88,滁州,0.8,223,49,32,121,84,63,良,228.2581,21,2016-05
18,74,滁州,0.737,133,44,27,114,62,46,良,209.6000,22,2016-06
19,69,滁州,0.665,121,38,25,114,56,36,良,215.6774,14,2016-07
20,91,滁州,0.7,151,42,27,148,53,34,良,288.0645,20,2016-08
21,90,滁州,0.73,155,36,38,143,62,37,良,249.1333,19,2016-09
22,58,滁州,0.613,105,30,35,79,53,38,良,182.5484,14,2016-10
23,83,滁州,0.86,156,40,52,88,88,57,良,208.4333,19,2016-11
24,110,滁州,1.11,169,38,61,81,115,82,轻度污染,213.6774,17,2016-12
25,107,滁州,1.142,215,41,49,83,96,79,轻度污染,202.7097,14,2017-01
26,105,滁州,1.05,148,51,50,106,108,80,轻度污染,231.7857,14,2017-02
27,86,滁州,0.861,134,48,49,118,90,62,良,216.9032,15,2017-03
28,98,滁州,0.837,124,44,39,143,86,56,良,199.4667,13,2017-04
29,119,滁州,0.761,203,42,34,173,68,44,轻度污染,193.6129,12,2017-05
30,112,滁州,0.8,200,37,29,168,76,54,轻度污染,250.7000,12,2017-06
31,71,滁州,0.629,158,35,22,121,56,35,良,194.7742,11,2017-07
32,67,滁州,0.645,128,35,25,120,49,28,良,202.0645,9,2017-08
33,80,滁州,0.823,154,37,36,122,61,36,良,179.1000,11,2017-09
34,68,滁州,0.748,152,33,36,103,70,42,良,175.7097,14,2017-10
35,89,滁州,0.863,168,29,53,88,105,63,良,185.8667,12,2017-11
36,117,滁州,1.129,231,42,64,35,118,83,轻度污染,190.5806,18,2017-12
37,125,滁州,1.0,274,40,52,66,119,93,轻度污染,226.5484,14,2018-01
38,90,滁州,0.8,188,38,47,82,88,58,良,205.2500,12,2018-02
39,83,滁州,0.79,130,37,47,105,93,59,良,215.1613,11,2018-03
40,90,滁州,0.76,159,0,44,134,110,51,良,233.7667,12,2018-04
41,76,滁州,0.71,150,0,35,135,65,34,良,202.1935,10,2018-05
42,117,滁州,0.71,196,51,34,175,71,36,轻度污染,251.7000,11,2018-06
43,82,滁州,0.597,159,32,26,128,55,29,良,227.9355,12,2018-07
44,77,滁州,0.571,182,32,22,129,44,25,良,147.4516,11,2018-08
45,68,滁州,0.597,110,35,25,118,49,27,良,183.9000,8,2018-09
46,75,滁州,0.623,139,48,39,119,70,40,良,188.1935,10,2018-10
47,95,滁州,0.93,238,28,51,76,88,68,良,239.3333,9,2018-11
48,92,滁州,0.819,208,35,46,48,88,65,良,222.7419,10,2018-12
49,119,滁州,0.975,166,84,56,51,119,90,轻度污染,256.7500,14,2019-01
