index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,151,滨州,1.673,324,62,85,30,180,116,中度污染,59.6538,147,2013-12
1,173,滨州,2.874,316,44,66,31,195,135,中度污染,122.6452,133,2014-01
2,125,滨州,1.907,264,35,43,46,114,94,轻度污染,109.6786,87,2014-02
3,145,滨州,1.777,307,61,63,66,167,103,轻度污染,142.4839,89,2014-03
4,116,滨州,1.39,227,38,51,100,136,83,轻度污染,137.2667,74,2014-04
5,103,滨州,1.743,189,42,38,99,122,70,轻度污染,110.2143,65,2014-05
6,91,滨州,1.447,192,50,29,116,88,64,良,108.1667,51,2014-06
7,96,滨州,1.548,152,28,32,117,122,64,良,127.6452,43,2014-07
8,98,滨州,1.458,158,39,30,90,113,71,良,136.5484,44,2014-08
9,97,滨州,2.21,190,29,38,62,109,71,良,132.9000,44,2014-09
10,113,滨州,2.652,218,49,46,44,132,83,轻度污染,116.5484,46,2014-10
11,121,滨州,2.353,237,51,54,26,161,88,轻度污染,130.3333,53,2014-11
12,129,滨州,3.01,315,46,59,34,155,93,轻度污染,127.9355,99,2014-12
13,136,滨州,2.661,300,42,61,42,148,102,轻度污染,233.1935,106,2015-01
14,124,滨州,2.661,210,41,47,52,131,90,轻度污染,255.3571,87,2015-02
15,129,滨州,2.503,383,48,49,72,161,87,轻度污染,287.5806,77,2015-03
16,106,滨州,2.117,211,50,45,98,121,76,轻度污染,270.8667,56,2015-04
17,84,滨州,1.665,146,26,37,120,98,56,良,215.6129,52,2015-05
18,96,滨州,1.74,152,47,33,144,101,63,良,273.7333,47,2015-06
19,93,滨州,1.252,132,44,25,128,103,66,良,272.3226,36,2015-07
20,71,滨州,1.616,124,36,29,111,78,46,良,203.5161,30,2015-08
21,75,滨州,1.447,189,27,34,99,84,50,良,211.5667,36,2015-09
22,123,滨州,2.068,260,45,48,61,134,90,轻度污染,267.1935,44,2015-10
23,113,滨州,2.447,313,39,44,33,124,82,轻度污染,253.5333,47,2015-11
24,178,滨州,2.99,396,50,52,26,217,139,中度污染,281.0645,69,2015-12
25,124,滨州,2.752,258,55,42,31,144,91,轻度污染,248.1290,53,2016-01
26,100,滨州,2.676,189,55,30,41,109,69,良,241.0345,37,2016-02
27,121,滨州,2.013,246,56,38,61,161,84,轻度污染,285.4516,44,2016-03
28,113,滨州,1.13,176,54,30,81,169,71,轻度污染,298.8667,41,2016-04
29,93,滨州,1.216,162,54,28,100,123,63,良,250.9677,38,2016-05
30,84,滨州,1.227,140,44,23,126,93,55,良,241.1667,27,2016-06
31,86,滨州,1.355,163,46,18,121,89,60,良,268.5806,19,2016-07
32,70,滨州,1.284,128,39,23,98,75,45,良,217.3548,24,2016-08
33,101,滨州,1.213,173,45,39,128,113,71,轻度污染,268.0333,37,2016-09
34,93,滨州,1.361,215,38,40,76,107,67,良,274.3871,27,2016-10
35,122,滨州,1.813,222,42,58,49,153,90,轻度污染,276.8667,38,2016-11
36,159,滨州,2.687,269,37,69,38,176,122,中度污染,275.1935,56,2016-12
37,152,滨州,2.842,375,44,56,46,161,117,中度污染,256.3548,52,2017-01
38,126,滨州,2.475,246,46,48,67,132,93,轻度污染,219.2143,51,2017-02
39,103,滨州,1.368,194,48,41,85,118,76,轻度污染,235.8065,39,2017-03
40,100,滨州,1.073,181,48,31,99,120,73,良,259.3000,21,2017-04
41,124,滨州,1.184,386,54,34,143,91,44,轻度污染,242.4839,29,2017-05
42,112,滨州,1.307,184,51,31,170,87,58,轻度污染,248.8333,24,2017-06
43,103,滨州,1.284,189,47,25,151,68,52,轻度污染,218.4839,11,2017-07
44,90,滨州,1.148,194,37,26,145,58,37,良,177.8065,11,2017-08
45,109,滨州,1.287,162,46,35,168,84,49,轻度污染,246.8667,21,2017-09
46,89,滨州,1.39,165,31,44,100,76,60,良,207.2903,24,2017-10
47,87,滨州,1.4,192,35,56,61,101,56,良,190.2667,33,2017-11
48,116,滨州,1.61,269,43,63,27,118,77,轻度污染,168.1613,41,2017-12
49,111,滨州,1.416,302,33,55,45,118,81,轻度污染,202.2258,39,2018-01
50,105,滨州,1.296,200,48,40,78,110,74,轻度污染,214.0714,36,2018-02
51,103,滨州,1.055,207,42,44,112,104,72,轻度污染,247.7742,28,2018-03
52,100,滨州,1.053,177,39,37,133,120,55,良,242.3667,22,2018-04
53,117,滨州,1.087,201,49,33,174,94,49,轻度污染,277.6774,19,2018-05
54,148,滨州,0.957,206,76,28,213,84,44,轻度污染,301.4667,19,2018-06
55,113,滨州,0.81,190,34,21,171,61,39,轻度污染,285.7742,8,2018-07
56,101,滨州,0.919,189,38,18,158,46,28,轻度污染,172.1935,10,2018-08
57,78,滨州,1.007,140,39,32,127,58,31,良,199.6333,17,2018-09
58,79,滨州,1.116,143,38,50,111,81,46,良,198.3548,22,2018-10
59,121,滨州,1.307,298,33,55,72,140,84,轻度污染,279.6333,26,2018-11
60,98,滨州,1.252,182,38,53,50,111,67,良,235.0968,26,2018-12
61,176,滨州,1.95,247,110,78,45,163,136,中度污染,311.2500,41,2019-01
