index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,79,漯河,0.0,166,32,22,0,110,0,良,,22,2013-05
1,82,漯河,0.0,286,38,35,0,110,0,良,,20,2013-06
2,71,漯河,0.0,147,30,27,0,92,0,良,,12,2013-07
3,72,漯河,0.0,197,27,29,0,95,0,良,,17,2013-08
4,79,漯河,0.0,194,38,36,0,108,0,良,,24,2013-09
5,127,漯河,0.0,330,48,56,0,198,0,轻度污染,,40,2013-10
6,89,漯河,0.023,155,56,53,1,126,2,良,,48,2013-11
7,217,漯河,1.406,440,84,57,12,191,171,重度污染,,82,2013-12
8,190,漯河,0.352,328,92,20,18,193,140,中度污染,,82,2014-01
9,137,漯河,1.064,256,54,32,85,129,102,轻度污染,,79,2014-02
10,115,漯河,1.116,348,66,37,104,148,78,轻度污染,,55,2014-03
11,104,漯河,0.95,196,61,31,123,127,63,轻度污染,,75,2014-04
12,104,漯河,0.719,155,56,23,131,147,61,轻度污染,,40,2014-05
13,135,漯河,0.84,212,50,16,187,116,69,轻度污染,,29,2014-06
14,102,漯河,0.673,168,46,15,155,52,35,轻度污染,,26,2014-07
15,88,漯河,0.832,127,44,17,135,83,50,良,,48,2014-08
16,82,漯河,1.0,185,21,15,96,77,54,良,,32,2014-09
17,151,漯河,1.29,276,61,21,111,172,113,中度污染,,39,2014-10
18,128,漯河,1.487,395,61,33,58,149,95,轻度污染,,45,2014-11
19,98,漯河,1.168,186,57,50,55,125,66,良,127.0000,45,2014-12
20,139,漯河,1.865,259,71,59,44,154,106,轻度污染,256.5161,51,2015-01
21,123,漯河,1.511,208,67,39,79,147,92,轻度污染,261.3214,42,2015-02
22,110,漯河,0.984,216,61,34,87,138,78,轻度污染,279.0968,30,2015-03
23,102,漯河,0.857,185,43,29,119,129,68,轻度污染,267.3667,29,2015-04
24,114,漯河,0.887,169,64,25,148,139,76,轻度污染,296.9355,33,2015-05
25,115,漯河,0.763,187,45,25,154,134,63,轻度污染,299.5000,33,2015-06
26,99,漯河,0.706,168,51,23,149,95,56,良,284.9677,25,2015-07
27,92,漯河,0.7,139,47,21,143,90,51,良,280.6129,15,2015-08
28,119,漯河,0.813,248,70,30,148,137,81,轻度污染,331.8000,28,2015-09
29,123,漯河,1.013,229,54,47,114,135,87,轻度污染,299.4839,44,2015-10
30,95,漯河,1.15,185,37,38,47,105,69,良,243.5333,26,2015-11
31,176,漯河,1.506,448,55,52,54,195,136,中度污染,293.3226,48,2015-12
32,195,漯河,1.79,407,64,46,56,214,153,中度污染,323.8065,58,2016-01
33,119,漯河,1.6,199,47,40,96,163,78,轻度污染,270.5862,56,2016-02
34,135,漯河,1.581,273,64,47,109,178,90,轻度污染,293.6129,36,2016-03
35,109,漯河,1.38,186,63,45,123,148,76,轻度污染,290.5667,38,2016-04
36,95,漯河,1.261,153,46,37,139,98,51,良,262.0968,29,2016-05
37,96,漯河,1.13,144,52,30,150,78,45,良,285.1667,23,2016-06
38,68,漯河,1.165,118,44,26,111,59,36,良,216.9355,18,2016-07
39,82,漯河,1.023,130,46,21,128,73,43,良,262.5806,19,2016-08
40,108,漯河,0.74,153,63,33,151,114,58,轻度污染,319.6667,22,2016-09
41,72,漯河,0.765,123,36,38,67,79,51,良,252.1935,17,2016-10
42,127,漯河,1.03,251,31,43,55,154,94,轻度污染,272.7333,13,2016-11
43,185,漯河,1.416,500,74,58,52,214,147,中度污染,308.4516,18,2016-12
44,122,漯河,1.316,289,0,50,44,149,91,轻度污染,286.8710,18,2017-01
45,105,漯河,1.082,277,0,45,61,122,79,轻度污染,276.5000,17,2017-02
46,77,漯河,0.884,143,0,42,71,96,51,良,259.1613,19,2017-03
47,75,漯河,1.113,120,0,30,109,86,42,良,246.5667,16,2017-04
48,65,漯河,1.048,150,0,32,145,62,27,良,222.8387,16,2017-05
49,89,漯河,0.767,167,0,33,157,68,37,良,235.7667,11,2017-06
50,66,漯河,0.752,146,26,20,105,50,30,良,146.6452,7,2017-07
51,76,漯河,0.742,122,27,17,128,57,33,良,205.3226,11,2017-08
52,75,漯河,0.823,124,26,22,120,66,37,良,198.7667,14,2017-09
53,73,漯河,0.9,150,23,35,80,85,50,良,204.8065,13,2017-10
54,67,漯河,0.957,220,0,55,73,87,46,良,260.3333,17,2017-11
55,129,漯河,1.087,316,0,54,61,154,95,轻度污染,229.5161,17,2017-12
56,147,漯河,1.197,333,0,47,67,157,111,轻度污染,254.9677,13,2018-01
57,101,漯河,1.046,199,0,37,79,117,71,轻度污染,222.8214,16,2018-02
58,86,漯河,0.79,155,0,34,104,93,60,良,225.9677,11,2018-03
59,57,漯河,0.817,113,0,30,119,61,27,良,153.2667,12,2018-04
60,77,漯河,0.887,163,0,25,138,72,36,良,197.8065,12,2018-05
61,124,漯河,0.71,179,49,24,184,72,31,轻度污染,270.1667,10,2018-06
62,73,漯河,0.616,131,30,19,123,52,28,良,207.7419,9,2018-07
63,80,漯河,0.635,140,0,20,137,61,34,良,217.2581,10,2018-08
64,80,漯河,0.617,132,33,34,127,82,34,良,248.5000,12,2018-09
65,98,漯河,0.684,163,57,53,130,123,59,良,265.2581,18,2018-10
66,139,漯河,1.087,409,46,51,77,159,101,轻度污染,299.1667,14,2018-11
67,150,漯河,1.242,416,0,53,39,182,127,中度污染,301.3871,15,2018-12
68,209,漯河,1.25,295,178,60,62,194,163,重度污染,314.2500,18,2019-01
