index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,164,潮州,1.7,164,164,80,141,191,125,中度污染,159.0000,42,2013-12
1,93,潮州,1.206,171,43,34,103,102,70,良,59.1290,18,2014-01
2,68,潮州,1.457,142,14,23,60,55,50,良,57.7857,10,2014-02
3,82,潮州,1.706,156,39,31,81,75,60,良,77.9677,17,2014-03
4,83,潮州,1.73,143,53,24,104,74,58,良,91.0667,15,2014-04
5,56,潮州,0.874,119,32,18,80,51,37,良,41.3226,13,2014-05
6,56,潮州,1.133,99,30,14,92,41,32,良,51.4333,11,2014-06
7,64,潮州,1.313,363,29,10,98,42,40,良,58.5484,15,2014-07
8,61,潮州,1.29,128,33,12,107,42,35,良,75.1613,18,2014-08
9,73,潮州,1.017,135,25,9,123,39,40,良,101.0333,13,2014-09
10,109,潮州,1.303,175,53,15,167,74,59,轻度污染,134.6774,15,2014-10
11,87,潮州,1.143,150,26,17,128,63,57,良,95.8333,16,2014-11
12,69,潮州,1.119,109,32,23,105,69,45,良,61.2903,14,2014-12
13,95,潮州,1.261,156,43,33,125,89,66,良,178.6452,14,2015-01
14,85,潮州,1.086,132,47,19,126,75,58,良,183.0000,9,2015-02
15,87,潮州,1.216,152,40,23,120,66,57,良,213.1290,13,2015-03
16,84,潮州,1.04,158,24,24,129,53,41,良,206.4667,14,2015-04
17,67,潮州,1.216,168,37,16,116,44,32,良,151.4516,12,2015-05
18,55,潮州,1.033,93,29,11,101,37,21,良,142.4667,12,2015-06
19,55,潮州,0.994,135,26,13,93,44,26,良,125.3548,11,2015-07
20,60,潮州,1.023,105,35,16,103,50,29,良,159.1613,15,2015-08
21,79,潮州,1.127,129,34,14,132,53,32,良,236.8333,13,2015-09
22,75,潮州,1.126,157,31,18,125,63,39,良,172.8710,16,2015-10
23,64,潮州,1.027,109,32,20,111,57,33,良,170.7333,15,2015-11
24,52,潮州,1.187,112,24,24,67,51,33,良,74.8710,12,2015-12
25,55,潮州,1.319,95,23,27,64,52,35,良,79.8065,11,2016-01
26,54,潮州,1.017,100,26,16,76,56,35,良,88.3793,9,2016-02
27,79,潮州,1.416,152,32,33,94,76,54,良,166.0323,16,2016-03
28,69,潮州,1.12,126,28,22,97,64,42,良,161.7333,17,2016-04
29,64,潮州,1.035,110,31,15,111,52,32,良,143.3548,16,2016-05
30,46,潮州,1.177,70,30,17,83,41,20,优,96.1667,15,2016-06
31,65,潮州,1.11,153,26,15,106,51,27,良,181.0968,18,2016-07
32,54,潮州,1.119,100,29,15,96,41,25,良,134.4839,11,2016-08
33,59,潮州,0.957,112,32,15,104,45,28,良,148.4667,11,2016-09
34,50,潮州,1.029,97,20,17,82,44,27,良,139.0323,11,2016-10
35,58,潮州,1.073,111,22,22,86,56,37,良,108.0000,14,2016-11
36,62,潮州,1.123,109,31,27,93,66,42,良,82.4194,17,2016-12
37,59,潮州,1.052,92,23,20,91,58,39,良,91.1935,14,2017-01
38,60,潮州,0.954,96,20,17,101,53,36,良,95.1786,12,2017-02
39,70,潮州,1.135,102,30,29,97,71,44,良,148.1613,15,2017-03
40,70,潮州,1.013,151,23,20,114,55,31,良,103.3667,15,2017-04
41,70,潮州,0.929,126,34,15,116,50,30,良,109.7419,14,2017-05
42,42,潮州,1.003,79,25,14,78,34,18,优,79.9333,13,2017-06
43,39,潮州,0.816,72,19,11,72,30,19,优,90.8710,11,2017-07
44,61,潮州,0.89,121,23,15,107,43,21,良,135.6129,13,2017-08
45,71,潮州,0.907,121,26,14,123,48,27,良,118.6667,14,2017-09
46,62,潮州,0.903,114,25,14,108,47,26,良,121.2581,13,2017-10
47,55,潮州,0.97,101,21,19,92,49,29,良,77.3000,14,2017-11
48,60,潮州,0.981,98,25,26,62,65,38,良,81.5806,17,2017-12
49,60,潮州,0.961,102,20,27,90,54,36,良,104.5484,15,2018-01
50,61,潮州,0.904,84,31,16,99,55,38,良,112.8929,10,2018-02
51,86,潮州,0.919,125,27,22,132,61,40,良,229.3226,17,2018-03
52,85,潮州,0.893,139,28,17,136,65,35,良,217.9667,16,2018-04
53,91,潮州,0.884,158,28,15,146,50,27,良,238.2258,15,2018-05
54,66,潮州,0.967,143,26,13,115,34,19,良,139.2667,12,2018-06
55,58,潮州,0.9,106,30,13,104,38,19,良,148.2581,13,2018-07
56,56,潮州,0.958,82,25,12,104,31,18,良,95.8065,11,2018-08
57,59,潮州,0.933,108,24,12,104,36,20,良,138.6667,9,2018-09
58,76,潮州,0.89,117,30,16,129,48,29,良,135.2258,12,2018-10
59,49,潮州,0.937,74,22,17,88,43,27,优,122.2667,12,2018-11
60,45,潮州,0.952,90,18,20,70,44,28,优,84.4516,11,2018-12
61,36,潮州,1.05,54,29,21,40,37,24,优,35.0000,12,2019-01
