index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,63,濮阳,0.0,92,42,30,0,76,0,良,,21,2013-05
1,71,濮阳,0.0,169,33,34,0,92,0,良,,23,2013-06
2,75,濮阳,0.0,124,44,29,0,99,0,良,,17,2013-07
3,65,濮阳,0.0,136,34,31,0,79,0,良,,29,2013-08
4,77,濮阳,0.0,137,40,41,0,102,0,良,,32,2013-09
5,121,濮阳,0.0,367,42,56,0,184,0,轻度污染,,47,2013-10
6,95,濮阳,0.0,155,54,67,0,138,0,良,,81,2013-11
7,209,濮阳,1.523,469,92,94,27,228,154,重度污染,,68,2013-12
8,183,濮阳,2.326,304,67,63,43,202,142,中度污染,,62,2014-01
9,131,濮阳,3.221,282,63,38,70,127,96,轻度污染,,64,2014-02
10,133,濮阳,3.003,320,71,38,95,155,93,轻度污染,,48,2014-03
11,138,濮阳,1.24,284,54,36,112,125,102,轻度污染,,32,2014-04
12,104,濮阳,1.513,180,49,28,144,115,65,轻度污染,,35,2014-05
13,112,濮阳,2.097,216,63,25,145,68,52,轻度污染,,21,2014-06
14,81,濮阳,1.657,144,41,22,131,66,43,良,,14,2014-07
15,82,濮阳,1.523,145,38,25,74,77,51,良,,22,2014-08
16,81,濮阳,1.193,195,30,32,47,88,52,良,,23,2014-09
17,100,濮阳,1.655,232,52,49,53,109,62,良,,38,2014-10
18,147,濮阳,2.733,336,66,61,37,159,111,轻度污染,,43,2014-11
19,108,濮阳,1.681,268,49,63,35,115,71,轻度污染,88.0000,60,2014-12
20,148,濮阳,2.045,362,58,66,47,155,113,轻度污染,237.7742,57,2015-01
21,141,濮阳,1.65,315,68,42,76,175,105,轻度污染,289.0000,40,2015-02
22,118,濮阳,1.287,209,66,40,100,152,82,轻度污染,295.5484,30,2015-03
23,100,濮阳,1.327,159,44,33,115,107,70,良,277.7667,23,2015-04
24,105,濮阳,1.168,151,52,35,140,117,69,轻度污染,286.4839,23,2015-05
25,98,濮阳,1.053,153,40,32,115,116,65,良,279.7000,17,2015-06
26,77,濮阳,1.113,122,51,35,98,95,48,良,233.7742,11,2015-07
27,87,濮阳,1.332,155,53,28,125,94,54,良,251.2258,12,2015-08
28,88,濮阳,1.537,182,39,32,98,102,60,良,251.9000,24,2015-09
29,105,濮阳,1.8,235,51,41,76,135,71,轻度污染,271.0968,30,2015-10
30,126,濮阳,1.95,270,32,43,53,144,94,轻度污染,277.0000,33,2015-11
31,193,濮阳,2.929,500,60,71,51,270,143,中度污染,297.6774,54,2015-12
32,158,濮阳,2.565,500,71,63,52,216,120,中度污染,292.8710,57,2016-01
33,126,濮阳,2.39,256,49,45,72,174,87,轻度污染,289.4828,52,2016-02
34,124,濮阳,1.474,220,63,50,85,192,75,轻度污染,299.4516,48,2016-03
35,120,濮阳,1.11,240,61,42,120,183,65,轻度污染,313.1000,28,2016-04
36,86,濮阳,0.855,142,51,32,130,101,35,良,237.4839,20,2016-05
37,102,濮阳,0.863,173,59,33,160,89,33,轻度污染,291.4333,15,2016-06
38,92,濮阳,0.858,169,38,26,144,76,33,良,276.3871,8,2016-07
39,84,濮阳,0.997,161,44,24,137,67,28,良,266.3226,14,2016-08
40,115,濮阳,1.207,168,60,37,166,107,55,轻度污染,321.5000,29,2016-09
41,72,濮阳,1.171,127,39,44,75,82,45,良,247.3548,21,2016-10
42,126,濮阳,1.583,244,37,50,51,149,93,轻度污染,275.3000,23,2016-11
43,194,濮阳,2.335,426,82,55,45,210,153,中度污染,315.6452,33,2016-12
