index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,109,焦作,1.6,177,42,56,0,128,0,轻度污染,,21,2013-05
1,147,焦作,82.613,500,39,47,0,147,0,轻度污染,,52,2013-06
2,98,焦作,3.7,167,42,29,0,60,0,良,,19,2013-07
3,231,焦作,1.468,370,119,28,295,61,0,重度污染,,34,2013-08
4,252,焦作,3449.621,500,19,33,112,99,0,重度污染,,49,2013-09
5,131,焦作,648.016,500,68,43,94,129,19,轻度污染,,61,2013-10
6,97,焦作,2.527,252,49,49,57,103,61,良,,60,2013-11
7,151,焦作,3.597,500,54,54,49,155,110,中度污染,19.0000,77,2013-12
8,154,焦作,3.49,315,54,61,31,191,115,中度污染,106.7742,112,2014-01
9,151,焦作,2.661,263,64,48,49,153,115,中度污染,143.8214,109,2014-02
10,129,焦作,1.723,286,72,53,75,168,92,轻度污染,127.4516,80,2014-03
11,103,焦作,1.69,158,64,39,97,123,72,轻度污染,126.1000,44,2014-04
12,107,焦作,1.142,184,66,38,115,141,61,轻度污染,122.2258,47,2014-05
13,127,焦作,1.17,210,58,36,169,120,82,轻度污染,155.6667,40,2014-06
14,116,焦作,1.145,209,58,31,155,106,66,轻度污染,149.3871,27,2014-07
15,77,焦作,1.129,122,38,32,93,94,52,良,111.4839,31,2014-08
16,72,焦作,1.103,166,25,34,69,73,46,良,98.7667,22,2014-09
17,103,焦作,1.384,204,51,52,62,114,69,轻度污染,91.4194,49,2014-10
18,148,焦作,1.967,347,37,64,46,169,113,轻度污染,124.1333,72,2014-11
19,109,焦作,1.848,247,52,57,56,139,73,轻度污染,95.7419,106,2014-12
20,173,焦作,3.029,442,79,61,44,216,135,中度污染,279.5484,97,2015-01
21,161,焦作,2.15,343,81,56,76,198,123,中度污染,299.7857,80,2015-02
22,155,焦作,1.516,309,69,57,88,195,115,中度污染,329.0000,68,2015-03
23,138,焦作,1.28,226,68,48,110,177,100,轻度污染,330.3000,48,2015-04
24,125,焦作,1.142,225,63,36,129,154,89,轻度污染,315.0323,40,2015-05
25,114,焦作,1.317,184,51,35,143,131,69,轻度污染,312.0667,35,2015-06
26,101,焦作,1.365,154,64,33,123,125,68,轻度污染,296.9355,17,2015-07
27,74,焦作,1.419,111,40,36,108,84,38,良,223.9355,23,2015-08
28,66,焦作,1.553,98,37,42,89,66,37,良,201.7667,28,2015-09
29,88,焦作,1.735,145,39,59,67,107,49,良,234.7097,44,2015-10
30,98,焦作,2.457,231,30,58,37,118,68,良,243.0667,41,2015-11
31,195,焦作,3.652,469,47,71,35,249,146,中度污染,289.5484,72,2015-12
32,194,焦作,3.577,500,51,69,38,232,152,中度污染,284.3226,77,2016-01
33,100,焦作,1.903,212,39,46,79,120,69,轻度污染,221.2069,70,2016-02
34,127,焦作,1.816,240,54,62,101,175,89,轻度污染,288.2903,63,2016-03
35,121,焦作,1.653,201,52,54,114,165,85,轻度污染,310.2000,54,2016-04
36,81,焦作,1.284,135,55,41,128,89,39,良,216.8065,35,2016-05
37,123,焦作,1.527,197,70,35,171,124,65,轻度污染,325.0667,29,2016-06
38,112,焦作,1.484,176,47,24,142,107,71,轻度污染,311.9355,15,2016-07
39,64,焦作,1.452,95,42,24,98,65,41,良,196.8710,13,2016-08
40,85,焦作,1.7,169,41,43,117,101,54,良,244.8667,21,2016-09
41,72,焦作,1.484,114,42,48,59,72,42,良,248.2903,21,2016-10
42,168,焦作,2.197,313,65,63,42,209,129,中度污染,332.5000,40,2016-11
