index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,67,牡丹江,0.9,67,67,40,40,83,43,良,5.0000,53,2013-12
1,141,牡丹江,1.503,238,50,47,49,141,107,轻度污染,103.8065,46,2014-01
2,113,牡丹江,1.218,239,50,47,71,121,85,轻度污染,115.3571,41,2014-02
3,76,牡丹江,0.858,154,43,36,88,82,55,良,62.9355,39,2014-03
4,75,牡丹江,0.637,110,49,30,115,92,49,良,76.1000,23,2014-04
5,59,牡丹江,0.626,115,34,23,103,58,31,良,46.5806,10,2014-05
6,65,牡丹江,0.453,150,33,26,98,67,35,良,68.6333,11,2014-06
7,74,牡丹江,0.435,209,37,24,101,75,49,良,79.7419,11,2014-07
8,57,牡丹江,0.377,98,36,23,89,60,29,良,64.9677,14,2014-08
9,54,牡丹江,0.377,73,33,25,62,61,27,良,67.8667,11,2014-09
10,93,牡丹江,0.703,249,35,35,69,112,65,良,80.7419,20,2014-10
11,129,牡丹江,0.987,294,43,33,51,132,98,轻度污染,127.5667,30,2014-11
12,94,牡丹江,1.042,177,43,31,47,95,67,良,95.3226,40,2014-12
13,105,牡丹江,1.329,230,40,34,59,109,78,轻度污染,182.0968,42,2015-01
14,89,牡丹江,1.096,165,48,32,75,96,62,良,182.5000,36,2015-02
15,68,牡丹江,0.832,124,42,23,101,76,46,良,146.9355,23,2015-03
16,71,牡丹江,0.727,130,45,19,108,83,44,良,158.6000,27,2015-04
17,63,牡丹江,0.432,147,35,16,102,61,27,良,129.9355,10,2015-05
18,62,牡丹江,0.4,104,39,19,111,47,28,良,162.9333,8,2015-06
19,63,牡丹江,0.51,122,31,21,109,50,28,良,160.3871,7,2015-07
20,45,牡丹江,0.435,78,32,23,78,41,21,优,88.2258,8,2015-08
21,52,牡丹江,0.443,71,35,21,73,56,25,良,129.6000,7,2015-09
22,70,牡丹江,0.687,172,29,29,69,84,45,良,153.9677,14,2015-10
23,126,牡丹江,1.103,318,49,27,48,135,96,轻度污染,270.0667,29,2015-11
24,100,牡丹江,1.532,178,45,27,33,108,73,良,198.4516,37,2015-12
25,78,牡丹江,1.058,130,44,23,47,87,55,良,175.7097,36,2016-01
26,79,牡丹江,1.131,169,41,26,71,88,57,良,179.1724,33,2016-02
27,68,牡丹江,0.881,152,40,24,87,82,42,良,122.2581,20,2016-03
28,73,牡丹江,0.683,176,45,22,91,88,41,良,174.9000,12,2016-04
29,55,牡丹江,0.432,90,30,20,92,57,24,良,97.2258,10,2016-05
30,45,牡丹江,0.41,73,26,20,82,39,18,优,87.6667,9,2016-06
31,45,牡丹江,0.448,75,23,26,81,41,15,优,113.8065,11,2016-07
32,44,牡丹江,0.419,70,12,23,73,43,13,优,99.0645,6,2016-08
33,44,牡丹江,0.397,67,18,18,56,44,15,优,81.0000,11,2016-09
34,54,牡丹江,0.565,94,25,29,52,63,30,良,167.0323,13,2016-10
35,90,牡丹江,1.027,175,39,41,41,99,66,良,214.6000,30,2016-11
36,88,牡丹江,1.181,218,41,39,41,99,64,良,144.7419,35,2016-12
37,89,牡丹江,1.094,195,40,33,54,94,65,良,160.8065,31,2017-01
38,66,牡丹江,0.893,185,39,25,80,68,46,良,127.6071,22,2017-02
39,56,牡丹江,0.69,93,35,25,88,58,36,良,123.4839,12,2017-03
40,71,牡丹江,0.63,172,33,28,101,81,47,良,170.1000,6,2017-04
41,62,牡丹江,0.403,134,35,21,101,57,19,良,124.0645,4,2017-05
42,48,牡丹江,0.43,88,23,24,88,43,19,优,140.3333,4,2017-06
43,50,牡丹江,0.49,75,27,23,89,46,20,良,143.9032,4,2017-07
44,38,牡丹江,0.484,56,21,18,65,36,18,优,152.8387,6,2017-08
45,45,牡丹江,0.527,66,26,24,64,48,18,优,130.9333,4,2017-09
46,75,牡丹江,0.723,184,30,34,63,93,47,良,218.1935,6,2017-10
47,74,牡丹江,0.653,190,31,26,55,77,49,良,130.4000,9,2017-11
48,70,牡丹江,0.977,147,22,28,34,75,49,良,109.8387,16,2017-12
49,70,牡丹江,0.965,158,34,30,56,75,50,良,127.4194,16,2018-01
50,70,牡丹江,0.8,112,39,25,76,77,48,良,140.3214,17,2018-02
51,71,牡丹江,0.684,142,45,33,101,73,44,良,153.0645,13,2018-03
52,70,牡丹江,0.567,122,40,27,115,74,35,良,156.5667,5,2018-04
53,63,牡丹江,0.429,96,33,21,113,55,22,良,141.4839,4,2018-05
54,58,牡丹江,0.433,125,31,18,104,33,14,良,108.8333,2,2018-06
55,49,牡丹江,0.442,86,22,18,87,39,16,优,129.3226,3,2018-07
56,37,牡丹江,0.461,73,20,18,63,34,15,优,114.4194,4,2018-08
57,39,牡丹江,0.42,58,21,20,58,39,16,优,131.3667,3,2018-09
58,46,牡丹江,0.513,88,22,26,54,51,21,优,115.4194,4,2018-10
59,59,牡丹江,0.72,110,28,31,45,67,35,良,156.0667,6,2018-11
60,63,牡丹江,0.755,139,34,25,49,69,41,良,137.0000,7,2018-12
61,60,牡丹江,0.825,68,52,26,52,67,42,良,138.5000,7,2019-01
