index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,80,甘南州,2.2,80,80,32,82,111,55,良,157.0000,45,2014-12
1,118,甘南州,2.739,166,63,34,78,143,84,轻度污染,237.8065,67,2015-01
2,100,甘南州,1.993,226,75,19,85,137,63,良,220.2857,44,2015-02
3,101,甘南州,1.85,172,63,17,117,137,53,轻度污染,261.7667,28,2015-03
4,87,甘南州,1.07,138,49,18,127,96,37,良,204.2333,20,2015-04
5,70,甘南州,0.516,160,40,18,108,74,28,良,169.9032,13,2015-05
6,67,甘南州,0.91,124,40,15,114,55,23,良,194.7667,9,2015-06
7,69,甘南州,0.639,116,31,15,114,50,21,良,194.5806,7,2015-07
8,76,甘南州,0.61,119,46,14,122,57,23,良,232.5000,8,2015-08
9,51,甘南州,0.763,90,32,15,88,40,21,良,126.3000,7,2015-09
10,54,甘南州,0.877,87,21,19,84,47,24,良,109.3548,20,2015-10
11,63,甘南州,1.46,91,46,30,80,69,40,良,169.5000,35,2015-11
12,61,甘南州,1.465,97,44,34,80,67,37,良,110.9677,45,2015-12
13,84,甘南州,1.274,112,63,28,83,101,59,良,194.8065,41,2016-01
14,70,甘南州,1.155,123,51,21,79,88,43,良,166.3103,35,2016-02
15,79,甘南州,1.081,171,55,24,110,82,42,良,163.2903,25,2016-03
16,77,甘南州,0.83,99,48,17,132,57,22,良,215.8333,19,2016-04
17,76,甘南州,0.771,162,39,18,125,72,25,良,199.0968,16,2016-05
18,88,甘南州,0.867,130,62,16,144,59,24,良,270.4000,5,2016-06
19,76,甘南州,0.89,116,47,13,130,55,26,良,244.4839,5,2016-07
20,69,甘南州,0.623,116,44,15,119,52,33,良,213.1613,4,2016-08
21,55,甘南州,0.703,69,42,21,103,40,21,良,133.3000,9,2016-09
22,70,甘南州,1.29,182,39,28,98,58,38,良,208.1935,17,2016-10
23,84,甘南州,1.883,136,64,27,86,110,59,良,218.9667,22,2016-11
24,84,甘南州,1.729,124,0,33,82,104,61,良,167.8710,30,2016-12
25,93,甘南州,0.968,288,56,22,91,119,66,良,195.8065,27,2017-01
26,85,甘南州,1.1,112,68,18,123,108,58,良,212.6429,23,2017-02
27,79,甘南州,0.919,124,53,19,122,68,32,良,189.0968,14,2017-03
28,64,甘南州,0.793,121,28,16,95,71,31,良,139.2667,12,2017-04
29,72,甘南州,0.597,121,53,15,119,60,32,良,176.7097,6,2017-05
30,71,甘南州,0.947,95,54,13,125,53,31,良,187.9000,6,2017-06
31,74,甘南州,0.526,102,39,13,128,56,25,良,204.9677,6,2017-07
32,50,甘南州,0.639,75,24,11,94,28,19,良,154.8710,6,2017-08
33,44,甘南州,0.787,55,32,16,84,32,21,优,121.7667,8,2017-09
34,43,甘南州,0.877,62,31,19,69,38,21,优,125.7742,12,2017-10
35,66,甘南州,1.37,101,51,36,76,74,41,良,180.2000,19,2017-11
36,87,甘南州,1.684,384,54,39,45,82,35,良,167.9677,23,2017-12
37,68,甘南州,1.094,102,0,35,88,84,43,良,149.6129,19,2018-01
38,70,甘南州,1.107,225,0,28,97,86,44,良,158.3214,18,2018-02
39,53,甘南州,1.129,79,0,28,103,61,31,良,110.2581,10,2018-03
40,49,甘南州,0.76,89,0,28,107,47,23,优,111.5333,12,2018-04
41,61,甘南州,0.616,95,0,16,126,50,19,良,162.4516,9,2018-05
42,79,甘南州,0.65,103,46,19,134,54,23,良,182.6333,9,2018-06
43,67,甘南州,0.648,104,45,16,119,30,20,良,218.9355,9,2018-07
44,58,甘南州,0.648,89,31,14,107,31,21,良,135.1935,9,2018-08
45,47,甘南州,0.567,69,27,14,90,27,14,优,109.2667,8,2018-09
46,47,甘南州,0.687,55,36,20,90,37,19,优,103.5806,14,2018-10
47,56,甘南州,1.073,102,34,29,82,59,29,良,135.7667,23,2018-11
48,65,甘南州,1.206,89,48,23,82,77,40,良,181.7097,23,2018-12
49,45,甘南州,1.15,55,30,25,56,47,28,优,90.0000,22,2019-01
