index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,70,白城,0.8,70,70,24,44,75,51,良,121.0000,53,2014-12
1,91,白城,0.71,196,52,25,44,94,66,良,158.7097,48,2015-01
2,87,白城,0.586,157,45,21,60,91,63,良,174.9643,36,2015-02
3,77,白城,0.729,159,46,23,94,88,51,良,177.6452,27,2015-03
4,81,白城,0.373,175,46,19,99,104,50,良,192.0333,8,2015-04
5,67,白城,0.339,112,43,16,105,72,41,良,156.7419,5,2015-05
6,75,白城,0.403,146,38,12,120,72,46,良,209.1333,4,2015-06
7,76,白城,0.426,110,40,14,116,71,49,良,225.5484,5,2015-07
8,64,白城,0.365,90,52,12,86,61,45,良,188.6129,7,2015-08
9,56,白城,0.377,87,36,12,66,58,37,良,145.8667,12,2015-09
10,89,白城,0.561,305,42,18,64,98,62,良,189.9355,15,2015-10
11,132,白城,0.747,355,53,24,44,133,101,轻度污染,276.6333,31,2015-11
12,122,白城,0.923,224,49,29,47,109,91,轻度污染,234.1935,34,2015-12
13,85,白城,0.742,250,43,24,55,81,62,良,172.5484,29,2016-01
14,65,白城,0.548,178,32,18,68,65,46,良,117.6552,22,2016-02
15,79,白城,0.706,245,41,19,76,94,53,良,150.4516,16,2016-03
16,76,白城,0.593,154,46,19,88,95,40,良,182.3333,8,2016-04
17,78,白城,0.616,163,46,18,114,89,45,良,191.6452,7,2016-05
18,71,白城,0.637,128,44,16,118,57,43,良,193.2667,7,2016-06
19,80,白城,0.729,131,46,18,121,78,51,良,245.3226,8,2016-07
20,60,白城,0.555,117,33,16,89,67,34,良,181.2258,6,2016-08
21,60,白城,0.62,114,40,15,81,61,38,良,148.4000,6,2016-09
22,56,白城,0.465,109,32,19,65,58,36,良,168.9355,6,2016-10
23,90,白城,0.873,332,34,31,58,87,67,良,187.6667,17,2016-11
24,75,白城,0.919,158,39,23,44,75,53,良,116.7742,16,2016-12
25,76,白城,0.9,185,31,22,48,80,57,良,118.6452,18,2017-01
26,49,白城,0.746,124,32,17,63,51,32,优,80.6429,13,2017-02
27,63,白城,0.69,140,39,23,95,65,44,良,173.0645,13,2017-03
28,57,白城,0.553,114,37,21,95,51,24,良,111.9667,8,2017-04
29,83,白城,0.526,500,34,23,105,51,19,良,130.6129,8,2017-05
30,63,白城,0.493,107,33,34,109,44,22,良,152.3333,8,2017-06
31,79,白城,0.529,151,37,24,133,40,21,良,130.5484,7,2017-07
32,50,白城,0.432,81,33,19,92,35,16,良,128.9032,6,2017-08
33,46,白城,0.647,84,29,18,82,38,17,优,125.7667,8,2017-09
34,65,白城,0.894,155,32,25,79,74,39,良,187.2581,11,2017-10
35,55,白城,0.827,143,27,19,60,61,33,良,93.6667,12,2017-11
36,62,白城,0.816,137,34,24,32,61,42,良,85.4839,18,2017-12
37,57,白城,0.729,144,34,24,68,54,39,良,90.8065,17,2018-01
38,58,白城,0.707,144,38,19,79,57,36,良,92.9286,14,2018-02
39,74,白城,0.481,252,47,16,111,57,37,良,157.5161,13,2018-03
40,58,白城,0.413,110,0,16,114,58,26,良,129.5667,10,2018-04
41,71,白城,0.413,127,0,14,127,55,22,良,178.9355,8,2018-05
42,72,白城,0.447,117,35,10,122,39,19,良,141.5000,6,2018-06
43,58,白城,0.348,106,38,9,105,40,22,良,163.1290,6,2018-07
44,40,白城,0.365,65,27,10,77,28,14,优,71.4516,4,2018-08
45,41,白城,0.473,82,22,11,76,33,21,优,97.5000,5,2018-09
46,45,白城,0.597,93,23,18,68,47,22,优,109.6452,8,2018-10
47,50,白城,0.73,109,26,19,55,53,28,优,110.2333,10,2018-11
48,62,白城,0.79,158,31,18,60,66,38,良,124.2581,13,2018-12
49,49,白城,0.425,61,38,18,67,52,28,优,95.2500,9,2019-01
