index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,37,白山,0.7,37,37,12,60,37,22,优,13.0000,5,2014-12
1,119,白山,2.142,203,57,49,45,127,89,轻度污染,224.7419,45,2015-01
2,110,白山,2.129,229,38,36,65,129,74,轻度污染,223.6786,24,2015-02
3,80,白山,2.219,133,43,29,98,100,55,良,194.5484,13,2015-03
4,86,白山,0.987,126,50,26,122,101,56,良,233.8000,7,2015-04
5,84,白山,0.706,143,44,18,132,76,43,良,211.6774,8,2015-05
6,69,白山,0.787,126,39,21,119,47,32,良,195.6000,14,2015-06
7,58,白山,0.806,111,33,16,99,51,28,良,143.2258,12,2015-07
8,48,白山,0.777,73,31,16,74,46,28,优,101.2581,10,2015-08
9,54,白山,0.897,71,36,21,67,59,30,良,139.0345,16,2015-09
10,68,白山,1.09,138,29,28,67,78,46,良,147.2258,25,2015-10
11,96,白山,1.057,317,48,31,54,98,71,良,251.4000,36,2015-11
12,118,白山,1.729,198,38,44,39,121,87,轻度污染,231.2258,92,2015-12
13,98,白山,1.377,137,48,36,58,100,73,良,234.8710,82,2016-01
14,92,白山,1.621,272,38,30,75,88,68,良,208.7931,60,2016-02
15,86,白山,1.242,192,42,26,102,100,58,良,192.7097,34,2016-03
16,71,白山,1.053,117,46,19,113,80,37,良,172.7667,18,2016-04
17,86,白山,1.2,131,48,19,139,70,37,良,235.3226,14,2016-05
18,72,白山,0.81,156,46,23,115,57,34,良,205.4000,12,2016-06
19,60,白山,1.074,89,30,21,89,64,33,良,185.5806,8,2016-07
20,55,白山,0.926,86,30,22,85,52,24,良,155.0968,13,2016-08
21,60,白山,1.563,87,31,23,83,69,35,良,159.9000,15,2016-09
22,68,白山,1.603,117,33,30,65,85,43,良,227.3871,19,2016-10
23,83,白山,1.367,124,38,29,57,94,60,良,203.6333,46,2016-11
24,117,白山,1.635,221,51,42,50,119,88,轻度污染,230.8387,91,2016-12
25,111,白山,1.561,285,41,40,62,107,83,轻度污染,225.1935,87,2017-01
26,93,白山,1.364,167,47,38,89,89,69,良,202.1786,67,2017-02
27,83,白山,1.21,157,51,31,107,89,61,良,208.3226,44,2017-03
28,71,白山,1.093,127,40,26,115,79,42,良,171.3000,24,2017-04
29,84,白山,1.006,191,43,21,127,67,32,良,175.3871,12,2017-05
30,67,白山,0.967,137,31,21,117,54,27,良,163.1333,9,2017-06
31,56,白山,1.058,82,38,14,103,43,24,良,138.6774,7,2017-07
32,42,白山,0.955,78,23,14,76,37,18,优,123.6129,9,2017-08
33,55,白山,1.0,80,34,20,88,59,28,良,175.8333,11,2017-09
34,63,白山,0.984,104,25,29,73,75,41,良,209.8387,18,2017-10
35,65,白山,1.017,154,33,25,63,69,44,良,144.6000,23,2017-11
36,81,白山,1.335,138,46,33,32,83,58,良,148.3226,43,2017-12
37,73,白山,1.261,109,38,34,61,78,52,良,149.9355,46,2018-01
38,74,白山,1.193,225,53,27,81,76,52,良,159.9286,45,2018-02
39,70,白山,1.165,129,46,23,118,67,42,良,150.4839,24,2018-03
40,74,白山,0.84,128,0,18,127,70,35,良,178.6333,15,2018-04
41,63,白山,0.823,108,28,17,110,59,28,良,137.9032,11,2018-05
42,65,白山,0.97,128,31,16,113,46,26,良,129.2667,11,2018-06
43,44,白山,0.894,92,18,11,77,35,19,优,102.2258,9,2018-07
44,44,白山,0.971,79,25,14,81,36,16,优,121.9032,9,2018-08
45,40,白山,0.913,54,22,18,61,39,14,优,142.8000,12,2018-09
46,48,白山,0.968,73,20,23,61,52,21,优,132.8387,15,2018-10
47,57,白山,1.247,75,24,29,50,65,32,良,152.8333,22,2018-11
48,64,白山,1.216,85,34,25,48,74,42,良,173.6452,28,2018-12
49,84,白山,1.575,92,70,29,45,96,62,良,202.2500,30,2019-01
