index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,111,白银,1.0,111,111,26,27,172,63,轻度污染,269.0000,180,2014-12
1,120,白银,1.729,199,67,30,31,190,69,轻度污染,235.7742,107,2015-01
2,102,白银,1.421,226,53,20,93,152,52,轻度污染,218.1786,78,2015-02
3,104,白银,2.129,201,74,24,117,155,47,轻度污染,270.2258,52,2015-03
4,105,白银,1.693,377,65,15,128,137,30,轻度污染,254.9000,56,2015-04
5,98,白银,1.1,280,40,18,106,127,36,良,229.3548,30,2015-05
6,74,白银,0.823,168,31,26,61,97,34,良,209.1000,36,2015-06
7,54,白银,0.665,83,34,25,97,46,17,良,127.6774,28,2015-07
8,65,白银,0.723,149,32,28,86,75,27,良,170.8710,39,2015-08
9,65,白银,0.9,128,38,21,74,74,26,良,188.7667,44,2015-09
10,70,白银,0.803,114,43,28,68,89,34,良,171.4839,36,2015-10
11,89,白银,1.107,160,44,37,47,108,61,良,251.2667,59,2015-11
12,112,白银,1.452,186,34,38,36,126,82,轻度污染,235.2258,57,2015-12
13,84,白银,1.11,160,36,32,40,97,56,良,181.9032,61,2016-01
14,106,白银,0.79,328,40,20,46,150,50,轻度污染,226.1379,37,2016-02
15,94,白银,0.806,194,37,20,57,138,46,良,195.1935,40,2016-03
16,66,白银,0.553,101,49,23,92,77,31,良,157.2333,27,2016-04
17,73,白银,0.613,169,36,18,93,90,34,良,169.8065,34,2016-05
18,62,白银,0.683,90,43,22,104,64,29,良,170.8667,27,2016-06
19,56,白银,0.955,87,36,19,98,49,22,良,160.3226,23,2016-07
20,53,白银,0.926,77,36,16,94,46,21,良,143.6774,22,2016-08
21,59,白银,1.127,89,36,29,94,61,25,良,150.6667,19,2016-09
22,69,白银,0.706,165,38,30,61,87,33,良,234.0000,43,2016-10
23,116,白银,1.207,282,0,44,81,172,68,轻度污染,276.8333,94,2016-11
24,93,白银,1.11,151,55,45,72,120,61,良,180.6129,76,2016-12
25,112,白银,1.11,500,42,33,84,79,41,轻度污染,183.4194,85,2017-01
26,90,白银,1.025,150,46,29,90,82,40,良,177.7143,89,2017-02
27,70,白银,0.906,109,47,24,102,67,31,良,149.0000,54,2017-03
28,82,白银,0.75,391,37,23,106,64,23,良,188.2000,35,2017-04
29,116,白银,0.774,500,53,24,117,61,18,轻度污染,240.7097,34,2017-05
30,78,白银,0.817,102,48,26,124,89,28,良,250.4000,27,2017-06
31,77,白银,0.623,117,46,22,124,74,24,良,231.1935,27,2017-07
32,63,白银,0.826,137,41,26,104,56,20,良,210.7097,29,2017-08
33,67,白银,0.89,99,48,31,101,83,25,良,229.1333,31,2017-09
34,64,白银,1.055,96,32,30,81,77,29,良,191.4839,37,2017-10
35,79,白银,0.927,124,52,35,79,99,39,良,178.5667,58,2017-11
36,143,白银,1.081,898,35,34,39,88,39,轻度污染,141.4194,60,2017-12
37,71,白银,1.087,119,0,28,64,90,42,良,175.9677,73,2018-01
38,63,白银,1.093,105,0,22,82,81,30,良,146.9286,51,2018-02
39,40,白银,1.01,153,0,26,100,45,16,优,104.0000,37,2018-03
40,40,白银,0.887,94,0,25,102,54,17,优,110.2333,29,2018-04
41,45,白银,0.655,93,0,23,122,53,18,优,128.7742,27,2018-05
42,85,白银,0.747,105,57,22,139,61,21,良,198.9333,39,2018-06
43,71,白银,0.935,130,43,20,117,50,19,良,236.8710,31,2018-07
44,60,白银,1.019,98,35,18,107,51,20,良,173.2903,39,2018-08
45,54,白银,0.917,100,31,23,89,45,18,良,178.2000,37,2018-09
46,62,白银,0.945,107,33,28,83,69,26,良,148.8387,42,2018-10
47,117,白银,1.13,500,40,34,66,163,60,轻度污染,231.2000,53,2018-11
48,89,白银,1.271,383,49,32,61,106,49,良,221.6774,68,2018-12
49,106,白银,1.825,139,79,44,69,104,80,轻度污染,216.0000,91,2019-01
