index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,102,百色,2.1,102,102,42,64,143,77,轻度污染,244.0000,15,2014-12
1,100,百色,1.832,178,30,29,52,117,74,良,188.8710,23,2015-01
2,92,百色,1.089,176,49,27,79,95,68,良,197.9286,25,2015-02
3,74,百色,1.229,126,38,23,75,84,54,良,170.0000,19,2015-03
4,79,百色,1.793,110,50,20,115,96,55,良,200.0000,26,2015-04
5,57,百色,1.719,95,30,10,84,59,34,良,114.3226,14,2015-05
6,49,百色,0.697,78,21,11,88,46,27,优,114.0000,14,2015-06
7,48,百色,0.777,88,18,11,77,45,31,优,100.3226,11,2015-07
8,51,百色,0.826,87,17,12,63,50,33,良,119.3548,10,2015-08
9,51,百色,0.573,79,31,11,66,53,31,良,125.6000,12,2015-09
10,66,百色,0.629,109,23,17,88,72,45,良,149.5161,15,2015-10
11,48,百色,0.733,97,18,15,48,44,33,优,98.8333,15,2015-11
12,58,百色,0.755,117,23,20,35,54,41,良,84.3226,15,2015-12
13,58,百色,0.745,97,21,17,42,59,40,良,97.0968,13,2016-01
14,73,百色,0.693,226,28,14,70,70,53,良,160.3448,11,2016-02
15,71,百色,0.535,107,32,17,75,74,50,良,142.8710,13,2016-03
16,62,百色,0.527,122,35,13,81,67,41,良,128.6667,13,2016-04
17,56,百色,0.455,88,23,10,89,58,34,良,99.0323,10,2016-05
18,44,百色,0.41,63,32,8,78,42,23,优,81.7667,7,2016-06
19,47,百色,0.423,67,28,9,77,48,29,优,119.1613,11,2016-07
20,44,百色,0.535,102,19,10,69,43,26,优,81.4194,6,2016-08
21,67,百色,0.443,99,32,15,98,69,45,良,191.6667,11,2016-09
22,61,百色,0.4,100,26,15,92,60,39,良,202.3548,15,2016-10
23,59,百色,0.48,87,21,17,74,64,41,良,117.2000,20,2016-11
24,95,百色,0.781,188,34,33,79,102,70,良,181.0000,26,2016-12
25,94,百色,0.923,261,23,23,61,87,72,良,168.1935,31,2017-01
26,88,百色,0.857,190,36,26,80,86,65,良,190.5714,31,2017-02
27,64,百色,0.977,123,27,21,73,66,44,良,131.9677,33,2017-03
28,66,百色,0.977,112,32,18,102,70,45,良,162.1000,27,2017-04
29,66,百色,1.003,121,39,22,111,62,38,良,153.2581,18,2017-05
30,52,百色,0.913,98,23,16,84,45,30,良,137.0333,14,2017-06
31,45,百色,1.026,77,28,13,67,42,28,优,129.1290,11,2017-07
32,47,百色,1.003,80,27,13,79,44,25,优,125.1935,11,2017-08
33,51,百色,1.063,69,29,16,82,51,28,良,137.3000,15,2017-09
34,53,百色,1.152,101,23,19,84,52,31,良,138.0645,14,2017-10
35,68,百色,1.317,101,29,24,70,72,48,良,157.5000,15,2017-11
36,78,百色,1.203,123,33,31,35,82,57,良,150.5484,17,2017-12
37,80,百色,1.513,152,30,29,49,78,57,良,163.2258,22,2018-01
38,87,百色,1.104,204,30,25,82,88,63,良,189.1429,24,2018-02
39,71,百色,1.326,119,40,26,93,77,50,良,170.5484,25,2018-03
40,69,百色,1.317,103,35,22,103,82,43,良,165.4000,23,2018-04
41,55,百色,1.168,84,0,18,95,54,27,良,118.7742,19,2018-05
42,49,百色,1.353,74,28,17,85,45,23,优,81.9667,14,2018-06
43,47,百色,0.929,80,22,16,86,40,20,优,132.1613,12,2018-07
44,44,百色,1.026,77,24,16,77,40,23,优,146.6129,12,2018-08
45,45,百色,0.993,70,25,16,78,44,24,优,150.9000,13,2018-09
46,51,百色,0.877,92,22,20,67,53,31,良,118.8710,13,2018-10
47,54,百色,0.89,87,20,23,60,59,35,良,123.7333,12,2018-11
48,51,百色,0.987,93,20,21,45,52,34,良,99.6452,13,2018-12
49,46,百色,0.925,52,38,17,39,41,32,优,67.2500,15,2019-01
