index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,97,盘锦,1.68,232,33,42,43,103,70,良,31.6333,63,2013-12
1,98,盘锦,1.729,208,38,35,49,99,69,良,56.7419,59,2014-01
2,120,盘锦,1.929,237,40,31,61,118,88,轻度污染,116.2500,60,2014-02
3,87,盘锦,2.565,162,42,29,73,93,61,良,80.5484,38,2014-03
4,87,盘锦,1.53,159,50,28,105,102,56,良,99.9667,25,2014-04
5,83,盘锦,1.119,172,43,29,121,80,48,良,80.5484,17,2014-05
6,86,盘锦,1.01,180,30,19,134,63,47,良,104.6333,14,2014-06
7,89,盘锦,0.897,157,48,15,137,69,52,良,118.1613,15,2014-07
8,83,盘锦,1.194,144,28,18,133,63,42,良,122.2258,19,2014-08
9,68,盘锦,1.16,108,37,30,111,64,34,良,95.1667,21,2014-09
10,94,盘锦,1.194,341,40,32,92,94,66,良,87.0000,19,2014-10
11,100,盘锦,1.63,278,39,40,55,104,72,良,95.1667,34,2014-11
12,88,盘锦,1.532,270,38,37,35,93,58,良,79.6129,46,2014-12
13,91,盘锦,1.955,169,45,35,34,93,65,良,151.8387,48,2015-01
14,98,盘锦,1.359,232,45,33,40,100,69,良,186.5556,40,2015-02
15,86,盘锦,1.245,161,39,29,49,100,57,良,210.2258,25,2015-03
16,85,盘锦,1.06,140,44,21,81,94,53,良,222.5000,16,2015-04
17,104,盘锦,0.658,201,43,18,157,61,33,轻度污染,242.9032,17,2015-05
18,98,盘锦,0.773,178,52,15,157,46,30,良,290.9333,14,2015-06
19,78,盘锦,0.661,125,42,15,132,48,30,良,233.9032,11,2015-07
20,79,盘锦,0.8,142,40,18,132,54,33,良,225.0000,15,2015-08
21,67,盘锦,0.773,116,37,28,111,44,26,良,198.8000,19,2015-09
22,76,盘锦,0.884,166,33,37,99,72,44,良,159.7097,22,2015-10
23,124,盘锦,1.357,367,39,41,68,117,94,轻度污染,240.6667,39,2015-11
24,102,盘锦,1.416,277,33,44,54,102,74,轻度污染,183.9355,49,2015-12
25,72,盘锦,1.061,175,38,38,74,81,47,良,150.6452,45,2016-01
26,64,盘锦,0.986,145,38,32,90,66,41,良,123.4483,40,2016-02
27,90,盘锦,0.984,250,46,37,114,99,56,良,183.7419,36,2016-03
28,98,盘锦,0.657,171,62,25,142,101,38,良,270.5333,22,2016-04
29,122,盘锦,0.561,205,61,22,183,62,30,轻度污染,306.5806,21,2016-05
30,120,盘锦,0.707,173,68,17,181,52,33,轻度污染,327.8333,17,2016-06
31,80,盘锦,0.71,133,40,14,133,48,29,良,246.0645,10,2016-07
32,74,盘锦,0.671,137,33,19,123,41,25,良,225.1290,15,2016-08
33,68,盘锦,0.72,117,25,22,117,43,28,良,176.3333,17,2016-09
34,58,盘锦,0.79,116,29,27,86,53,34,良,160.4839,21,2016-10
35,80,盘锦,1.07,283,34,39,60,84,57,良,167.6667,36,2016-11
36,85,盘锦,1.258,219,31,41,56,91,59,良,129.5484,39,2016-12
37,93,盘锦,1.465,250,39,43,67,96,63,良,170.0968,45,2017-01
38,85,盘锦,1.15,178,45,32,94,87,58,良,169.2143,33,2017-02
39,76,盘锦,0.948,162,43,33,114,76,49,良,172.0323,28,2017-03
40,80,盘锦,0.847,132,48,24,128,77,36,良,176.8667,21,2017-04
41,98,盘锦,0.868,188,38,18,148,57,24,良,154.7742,11,2017-05
42,103,盘锦,0.943,210,33,23,161,59,40,轻度污染,202.5333,13,2017-06
43,99,盘锦,0.8,187,41,20,158,52,30,良,175.1935,9,2017-07
44,68,盘锦,0.765,119,30,19,120,39,22,良,138.6774,11,2017-08
45,75,盘锦,0.847,165,40,27,122,53,33,良,168.7333,15,2017-09
46,64,盘锦,0.942,140,28,32,85,54,38,良,172.9355,20,2017-10
47,54,盘锦,0.883,109,32,34,61,57,29,良,102.5667,25,2017-11
48,78,盘锦,1.397,158,37,47,31,73,48,良,108.3226,53,2017-12
49,64,盘锦,1.223,127,34,43,58,64,41,良,120.1935,41,2018-01
50,97,盘锦,1.407,253,42,40,77,94,70,良,190.6429,45,2018-02
51,86,盘锦,1.132,200,0,32,105,77,58,良,195.4839,32,2018-03
52,78,盘锦,0.877,153,0,26,130,73,34,良,184.2667,20,2018-04
53,96,盘锦,0.803,162,58,20,150,67,31,良,246.7097,16,2018-05
54,110,盘锦,0.887,195,55,13,168,43,31,轻度污染,245.2000,13,2018-06
55,67,盘锦,0.642,167,34,12,116,34,19,良,180.1290,7,2018-07
56,67,盘锦,0.713,139,21,18,117,32,17,良,115.7097,12,2018-08
57,55,盘锦,0.717,95,29,24,98,34,21,良,133.6667,14,2018-09
58,51,盘锦,0.794,111,28,28,82,45,26,良,130.3226,16,2018-10
59,72,盘锦,1.04,204,29,37,57,71,48,良,178.2667,18,2018-11
60,64,盘锦,1.065,132,30,34,54,67,37,良,147.0323,21,2018-12
61,81,盘锦,1.45,105,55,44,55,79,60,良,174.7500,27,2019-01
