index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,199,眉山,1.0,199,199,30,68,191,150,中度污染,354.0000,12,2014-12
1,154,眉山,1.055,266,51,40,40,160,117,中度污染,271.0323,22,2015-01
2,108,眉山,0.829,228,37,22,66,108,81,轻度污染,221.5357,14,2015-02
3,96,眉山,0.697,166,55,30,109,102,69,良,240.4839,16,2015-03
4,86,眉山,0.593,154,40,27,131,91,54,良,218.4333,17,2015-04
5,99,眉山,0.523,163,49,22,145,96,62,良,270.0645,13,2015-05
6,85,眉山,0.523,156,49,24,128,77,50,良,262.3667,12,2015-06
7,97,眉山,0.506,143,52,26,149,82,52,良,289.6129,18,2015-07
8,76,眉山,0.519,120,40,26,118,69,42,良,224.7742,18,2015-08
9,60,眉山,0.567,173,30,27,87,54,35,良,143.7667,11,2015-09
10,93,眉山,0.758,203,35,38,91,102,66,良,222.6452,19,2015-10
11,66,眉山,0.96,109,29,37,44,70,45,良,173.5333,13,2015-11
12,110,眉山,0.994,288,42,41,38,116,83,轻度污染,218.7742,18,2015-12
13,110,眉山,1.145,219,52,39,51,116,81,轻度污染,226.1935,17,2016-01
14,98,眉山,0.903,275,40,29,87,104,70,良,237.6897,12,2016-02
15,94,眉山,0.926,140,34,42,92,110,67,良,222.2581,25,2016-03
16,77,眉山,0.643,142,44,29,109,80,51,良,194.6000,19,2016-04
17,91,眉山,0.539,172,43,24,138,93,55,良,253.6129,13,2016-05
18,83,眉山,0.527,118,50,21,132,68,43,良,250.0000,16,2016-06
19,74,眉山,0.439,135,39,23,121,57,38,良,231.4516,10,2016-07
20,86,眉山,0.523,144,50,24,137,74,46,良,276.2258,10,2016-08
21,70,眉山,0.6,112,39,27,102,72,45,良,197.0333,13,2016-09
22,73,眉山,0.665,127,35,37,68,79,50,良,230.6774,11,2016-10
23,108,眉山,0.843,214,47,42,54,123,81,轻度污染,261.7667,18,2016-11
24,136,眉山,0.926,193,63,49,37,149,102,轻度污染,274.3226,19,2016-12
25,156,眉山,1.068,325,46,50,50,165,120,中度污染,277.0645,21,2017-01
26,102,眉山,0.936,206,54,41,70,110,75,轻度污染,217.1429,15,2017-02
27,73,眉山,0.871,101,46,50,82,80,49,良,176.6129,16,2017-03
28,80,眉山,0.79,161,47,45,120,70,37,良,169.9000,17,2017-04
29,94,眉山,0.745,141,43,39,145,72,35,良,174.1935,18,2017-05
30,77,眉山,0.73,120,41,35,124,58,31,良,191.6333,18,2017-06
31,101,眉山,0.503,170,50,33,159,51,28,轻度污染,183.0968,10,2017-07
32,81,眉山,0.358,130,33,27,135,31,17,良,127.3226,6,2017-08
33,60,眉山,0.403,136,37,34,96,44,26,良,129.9333,8,2017-09
34,56,眉山,0.535,103,32,41,62,50,32,良,148.0323,8,2017-10
35,80,眉山,0.63,133,51,51,66,89,55,良,183.8667,8,2017-11
36,124,眉山,0.716,222,62,59,32,117,79,轻度污染,243.4516,11,2017-12
37,91,眉山,1.026,202,0,55,59,103,67,良,197.9677,15,2018-01
38,83,眉山,0.914,217,0,36,88,90,60,良,198.1429,14,2018-02
39,83,眉山,0.726,133,47,48,115,88,52,良,215.9355,11,2018-03
40,94,眉山,0.57,164,43,45,145,83,39,良,227.7667,12,2018-04
41,88,眉山,0.577,183,42,39,136,70,34,良,217.8065,14,2018-05
42,74,眉山,0.62,191,38,32,122,45,25,良,160.9667,10,2018-06
43,73,眉山,0.506,126,34,22,124,31,17,良,193.8710,8,2018-07
44,90,眉山,0.668,144,32,28,146,41,22,良,173.5161,11,2018-08
45,53,眉山,0.557,121,28,24,90,30,17,良,135.7667,7,2018-09
46,55,眉山,0.69,104,35,36,60,53,32,良,147.3226,8,2018-10
47,63,眉山,0.773,118,28,39,52,68,42,良,167.4667,8,2018-11
48,70,眉山,1.013,137,25,41,30,82,46,良,185.9677,9,2018-12
49,81,眉山,1.25,90,78,46,34,87,60,良,189.0000,10,2019-01
