index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,222,石家庄,2.513,469,66,86,33,283,165,重度污染,73.5000,147,2013-12
1,276,石家庄,3.3,489,85,86,32,367,212,重度污染,161.2222,174,2014-01
2,236,石家庄,1.892,499,43,59,43,293,189,重度污染,170.6800,107,2014-02
3,188,石家庄,1.506,398,73,70,69,256,138,中度污染,163.8065,86,2014-03
4,152,石家庄,0.933,234,79,41,96,208,107,中度污染,169.7000,49,2014-04
5,124,石家庄,0.739,228,53,38,137,187,76,轻度污染,143.0323,48,2014-05
6,127,石家庄,0.877,227,63,40,146,150,85,轻度污染,149.4667,42,2014-06
7,132,石家庄,0.91,260,50,37,150,151,93,轻度污染,152.7097,30,2014-07
8,104,石家庄,0.952,206,26,30,132,124,73,轻度污染,140.9355,31,2014-08
9,96,石家庄,0.793,166,34,25,80,113,68,良,138.6333,22,2014-09
10,186,石家庄,1.465,425,40,52,51,236,145,中度污染,146.2258,40,2014-10
11,153,石家庄,1.783,419,44,61,34,191,118,中度污染,127.8667,57,2014-11
12,156,石家庄,2.235,372,59,64,34,203,116,中度污染,143.1290,114,2014-12
13,185,石家庄,2.952,441,66,82,33,224,146,中度污染,295.7742,125,2015-01
14,148,石家庄,1.689,272,52,44,52,172,111,轻度污染,277.2143,76,2015-02
15,134,石家庄,1.239,294,52,55,82,184,93,轻度污染,300.3871,62,2015-03
16,112,石家庄,0.903,198,50,48,102,150,77,轻度污染,284.9667,40,2015-04
17,92,石家庄,0.652,168,35,33,117,108,60,良,231.6452,32,2015-05
18,99,石家庄,0.66,165,44,27,137,113,63,良,276.9667,27,2015-06
19,96,石家庄,0.432,176,36,19,98,113,69,良,276.0968,18,2015-07
20,95,石家庄,0.587,168,39,29,109,115,63,良,253.5806,15,2015-08
21,77,石家庄,0.937,128,22,46,104,86,42,良,232.3000,24,2015-09
22,88,石家庄,1.068,192,43,65,68,104,49,良,220.8387,35,2015-10
23,154,石家庄,2.103,407,42,68,27,167,120,中度污染,295.6000,55,2015-11
24,204,石家庄,3.268,407,37,76,19,237,163,重度污染,283.0968,76,2015-12
25,168,石家庄,2.545,500,52,77,31,194,131,中度污染,290.4194,81,2016-01
26,102,石家庄,1.452,291,34,46,62,111,71,轻度污染,198.4828,58,2016-02
27,123,石家庄,1.332,274,60,67,84,173,82,轻度污染,276.1935,58,2016-03
28,98,石家庄,0.953,195,45,46,104,132,60,良,256.7333,32,2016-04
29,94,石家庄,0.845,195,57,48,134,107,54,良,248.2581,30,2016-05
30,92,石家庄,0.86,141,40,36,136,85,46,良,264.2333,19,2016-06
31,102,石家庄,1.003,200,38,35,128,104,66,轻度污染,289.6774,14,2016-07
32,58,石家庄,0.942,83,37,35,79,57,25,良,169.6129,13,2016-08
33,124,石家庄,1.117,266,48,55,138,146,84,轻度污染,281.6667,26,2016-09
34,151,石家庄,1.394,354,54,66,62,189,116,中度污染,335.9677,30,2016-10
35,215,石家庄,2.42,405,59,81,31,279,169,重度污染,347.6333,57,2016-11
36,301,石家庄,3.974,500,83,96,26,382,276,严重污染,348.6452,73,2016-12
37,253,石家庄,3.477,500,56,78,37,303,200,重度污染,337.3871,76,2017-01
38,173,石家庄,2.211,463,48,62,75,203,139,中度污染,278.1429,72,2017-02
39,113,石家庄,1.345,234,52,47,97,149,79,轻度污染,260.4194,37,2017-03
40,100,石家庄,1.083,238,55,50,104,110,53,轻度污染,283.8667,31,2017-04
41,142,石家庄,0.99,500,70,48,166,139,56,轻度污染,289.6452,29,2017-05
42,132,石家庄,0.98,202,66,44,189,117,55,轻度污染,269.6333,25,2017-06
43,125,石家庄,1.016,204,58,34,176,105,59,轻度污染,268.7419,15,2017-07
44,98,石家庄,0.958,187,38,41,139,96,50,良,284.6129,16,2017-08
45,114,石家庄,1.137,177,63,60,139,148,66,轻度污染,298.4333,23,2017-09
46,108,石家庄,1.203,256,25,52,53,133,80,轻度污染,247.9677,13,2017-10
47,110,石家庄,1.27,242,55,63,45,148,78,轻度污染,255.7667,24,2017-11
48,139,石家庄,1.813,386,63,70,19,153,93,轻度污染,225.2258,39,2017-12
49,147,石家庄,1.948,283,59,66,36,171,111,轻度污染,261.7419,41,2018-01
50,130,石家庄,1.646,319,0,45,79,148,96,轻度污染,233.4643,38,2018-02
51,135,石家庄,1.506,410,0,50,112,164,102,轻度污染,273.5484,25,2018-03
52,100,石家庄,0.903,200,0,47,128,143,62,良,249.6333,24,2018-04
53,106,石家庄,0.784,173,0,40,158,124,52,轻度污染,274.1290,22,2018-05
54,151,石家庄,0.773,208,56,36,216,99,44,中度污染,116.5667,17,2018-06
55,114,石家庄,0.706,194,52,24,171,76,45,轻度污染,291.8065,10,2018-07
56,101,石家庄,0.761,177,39,29,154,66,37,轻度污染,233.0968,11,2018-08
57,80,石家庄,0.9,130,49,47,108,82,40,良,245.3667,16,2018-09
58,103,石家庄,1.106,272,55,68,91,129,64,轻度污染,271.5806,18,2018-10
59,137,石家庄,1.56,315,0,73,48,174,103,轻度污染,323.4333,20,2018-11
60,131,石家庄,1.716,232,57,69,33,177,95,轻度污染,307.3226,28,2018-12
61,234,石家庄,2.988,275,163,96,15,278,185,重度污染,341.6250,43,2019-01
