index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,80,福州,0.8,140,20,51,62,84,58,良,25.2333,18,2013-12
1,81,福州,0.942,224,40,52,59,89,56,良,39.5484,16,2014-01
2,43,福州,0.857,65,16,39,48,46,26,优,19.7143,9,2014-02
3,63,福州,1.165,95,25,48,78,76,39,良,40.6452,11,2014-03
4,64,福州,1.067,88,33,38,105,68,35,良,50.0333,9,2014-04
5,68,福州,1.09,98,35,32,105,67,33,良,61.6452,7,2014-05
6,60,福州,0.897,132,29,26,101,56,26,良,58.2000,6,2014-06
7,54,福州,0.755,92,21,18,96,49,20,良,53.4839,6,2014-07
8,70,福州,0.694,119,31,27,120,58,24,良,96.3226,5,2014-08
9,59,福州,0.66,86,37,21,106,53,23,良,75.5667,4,2014-09
10,78,福州,0.665,150,41,22,130,66,32,良,79.1935,7,2014-10
11,58,福州,0.74,107,34,31,82,61,31,良,45.9333,6,2014-11
12,58,福州,0.732,84,26,34,74,65,37,良,36.2903,10,2014-12
13,72,福州,0.765,131,29,39,85,77,49,良,111.8462,8,2015-01
14,60,福州,0.775,90,26,31,86,61,38,良,98.7857,6,2015-02
15,58,福州,0.735,98,25,36,91,59,32,良,112.4516,6,2015-03
16,73,福州,0.7,122,30,35,115,74,35,良,169.6333,7,2015-04
17,66,福州,0.752,133,35,35,102,61,30,良,162.0645,5,2015-05
18,53,福州,0.663,80,31,26,87,50,21,良,138.3667,5,2015-06
19,42,福州,0.577,68,20,20,67,42,19,优,77.0000,5,2015-07
20,43,福州,0.584,70,21,23,67,44,21,优,80.0968,6,2015-08
21,47,福州,0.7,59,33,26,71,44,22,优,98.8000,5,2015-09
22,48,福州,0.674,78,25,27,65,51,26,优,79.4194,6,2015-10
23,50,福州,0.803,67,33,36,59,46,23,优,95.0333,6,2015-11
24,55,福州,0.826,75,35,38,53,50,28,良,88.6129,7,2015-12
25,62,福州,0.948,115,30,41,49,56,36,良,104.4839,7,2016-01
26,54,福州,0.731,127,27,28,77,54,33,良,79.2759,7,2016-02
27,68,福州,0.845,105,33,47,82,65,41,良,122.2903,9,2016-03
28,61,福州,0.833,108,43,42,81,60,30,良,122.8667,6,2016-04
29,59,福州,0.745,77,41,31,87,61,29,良,122.2258,6,2016-05
30,48,福州,0.68,78,32,24,84,45,20,优,106.0667,6,2016-06
31,50,福州,0.571,94,20,21,88,48,20,优,128.5484,6,2016-07
32,49,福州,0.594,80,21,22,88,44,19,优,120.2258,6,2016-08
33,51,福州,0.65,90,22,17,94,40,20,良,108.3667,5,2016-09
34,41,福州,0.616,73,22,23,65,39,18,优,96.0968,5,2016-10
35,52,福州,0.713,78,24,32,60,55,26,良,89.5667,6,2016-11
36,60,福州,0.684,90,30,36,64,68,35,良,77.7742,6,2016-12
37,57,福州,0.784,92,35,31,71,58,38,良,90.4194,6,2017-01
38,56,福州,0.739,100,34,30,87,52,35,良,80.7500,6,2017-02
39,60,福州,0.774,85,41,40,87,60,31,良,114.3548,6,2017-03
40,73,福州,0.803,121,39,38,107,69,33,良,139.8667,6,2017-04
41,64,福州,0.716,144,39,26,111,49,22,良,98.0968,5,2017-05
42,51,福州,0.78,85,25,24,89,36,18,良,86.2000,5,2017-06
43,63,福州,0.668,137,25,21,112,45,20,良,123.3548,7,2017-07
44,68,福州,0.626,110,19,23,119,48,24,良,157.4839,6,2017-08
45,64,福州,0.697,111,33,23,114,45,22,良,95.8333,6,2017-09
46,53,福州,0.687,96,24,21,98,44,21,良,88.6774,7,2017-10
47,54,福州,0.78,107,28,33,78,52,27,良,71.7000,8,2017-11
48,57,福州,0.803,94,19,33,45,59,35,良,71.8387,10,2017-12
49,51,福州,0.748,88,28,33,64,46,28,良,70.1290,7,2018-01
50,58,福州,0.675,104,37,25,88,56,35,良,96.2500,7,2018-02
51,60,福州,0.713,97,34,33,95,50,31,良,109.9355,7,2018-03
52,79,福州,0.82,138,51,33,123,80,38,良,191.1667,7,2018-04
53,80,福州,0.671,122,0,24,132,56,26,良,206.5161,8,2018-05
54,67,福州,0.657,114,28,20,116,39,20,良,67.8333,7,2018-06
55,56,福州,0.59,120,18,17,96,42,19,良,138.0968,6,2018-07
56,56,福州,0.616,105,22,20,99,36,17,良,102.4194,6,2018-08
57,51,福州,0.537,102,24,17,95,35,16,良,91.4667,6,2018-09
58,66,福州,0.603,115,34,23,114,44,22,良,108.5806,8,2018-10
59,44,福州,0.633,75,28,29,65,36,19,优,80.3333,7,2018-11
60,43,福州,0.655,79,24,30,57,41,21,优,67.1290,5,2018-12
61,42,福州,0.85,55,29,33,43,30,17,优,70.1250,4,2019-01
