index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,240,绵阳,1.4,240,240,55,17,249,190,重度污染,185.0000,13,2013-12
1,169,绵阳,1.306,240,60,60,57,170,129,中度污染,127.1935,25,2014-01
2,116,绵阳,1.139,174,23,46,59,108,88,轻度污染,112.7143,21,2014-02
3,88,绵阳,0.919,156,34,48,83,103,63,良,85.0645,21,2014-03
4,74,绵阳,0.773,124,45,37,109,74,45,良,71.3667,19,2014-04
5,96,绵阳,0.748,162,47,42,125,110,66,良,107.3548,15,2014-05
6,69,绵阳,0.75,146,39,34,100,67,46,良,74.4667,11,2014-06
7,66,绵阳,0.706,109,27,34,102,58,39,良,76.9032,11,2014-07
8,56,绵阳,0.645,82,26,35,90,50,34,良,64.7097,14,2014-08
9,48,绵阳,0.853,84,25,33,71,45,29,优,48.4000,14,2014-09
10,56,绵阳,0.874,115,20,28,70,57,37,良,37.0968,11,2014-10
11,57,绵阳,0.833,121,25,33,50,62,38,良,39.3667,15,2014-11
12,75,绵阳,0.935,121,42,39,48,80,52,良,68.1613,15,2014-12
13,110,绵阳,1.165,186,29,40,38,117,82,轻度污染,198.1613,17,2015-01
14,85,绵阳,0.975,185,30,31,65,91,63,良,165.3214,9,2015-02
15,69,绵阳,0.826,107,33,36,74,78,48,良,154.3226,13,2015-03
16,71,绵阳,0.82,143,37,36,118,69,42,良,151.8667,13,2015-04
17,83,绵阳,0.839,124,48,28,136,68,38,良,221.2258,13,2015-05
18,55,绵阳,0.86,88,17,31,92,52,28,良,141.4000,12,2015-06
19,79,绵阳,0.906,147,29,32,127,60,38,良,229.4516,12,2015-07
20,57,绵阳,0.842,102,33,35,96,49,32,良,150.1613,11,2015-08
21,43,绵阳,0.797,93,25,27,72,38,23,优,79.1667,10,2015-09
22,67,绵阳,0.842,119,29,34,79,73,45,良,152.4839,11,2015-10
23,54,绵阳,1.053,87,24,31,36,55,35,良,113.9000,13,2015-11
24,108,绵阳,1.265,257,36,43,42,115,81,轻度污染,219.1613,13,2015-12
25,110,绵阳,1.442,207,46,42,48,122,82,轻度污染,234.8065,13,2016-01
26,104,绵阳,1.01,255,53,39,69,117,75,轻度污染,261.6897,11,2016-02
27,80,绵阳,1.003,168,37,41,80,99,55,良,168.9355,11,2016-03
28,65,绵阳,0.8,100,39,36,100,68,37,良,151.1333,11,2016-04
29,73,绵阳,0.726,118,37,29,123,64,35,良,184.6129,10,2016-05
30,79,绵阳,0.803,125,43,32,133,55,31,良,229.8667,12,2016-06
31,58,绵阳,0.758,119,30,29,97,37,20,良,153.7097,12,2016-07
32,53,绵阳,0.665,79,35,29,97,44,25,良,141.3871,9,2016-08
33,59,绵阳,0.683,97,36,33,95,53,34,良,146.5667,9,2016-09
34,50,绵阳,0.726,97,28,31,62,47,30,优,125.9032,10,2016-10
35,96,绵阳,1.013,193,28,41,44,104,70,良,223.6667,13,2016-11
36,127,绵阳,1.294,205,38,47,39,136,95,轻度污染,251.5806,14,2016-12
37,132,绵阳,1.319,223,38,46,51,133,100,轻度污染,250.0000,13,2017-01
38,95,绵阳,1.196,148,32,39,61,96,70,良,203.6786,11,2017-02
39,62,绵阳,1.068,117,31,36,75,64,40,良,142.9355,8,2017-03
40,65,绵阳,0.883,109,37,35,108,60,34,良,121.8333,9,2017-04
41,79,绵阳,0.765,129,36,32,125,66,40,良,162.2903,11,2017-05
42,71,绵阳,0.763,106,37,30,112,65,43,良,219.6000,7,2017-06
43,63,绵阳,0.768,104,29,23,112,48,31,良,164.8710,6,2017-07
44,51,绵阳,0.7,90,25,20,95,34,22,良,125.6452,6,2017-08
45,50,绵阳,0.88,90,25,23,80,44,25,优,130.2667,8,2017-09
46,45,绵阳,0.739,97,22,21,55,42,27,优,117.1613,8,2017-10
47,76,绵阳,1.0,135,35,29,61,84,55,良,190.7667,8,2017-11
48,135,绵阳,1.158,327,51,46,35,115,82,轻度污染,250.3226,9,2017-12
49,110,绵阳,1.016,272,29,42,67,116,82,轻度污染,216.7097,8,2018-01
50,68,绵阳,0.839,192,0,35,84,71,50,良,168.6429,7,2018-02
51,86,绵阳,0.726,170,32,40,104,96,61,良,205.9677,7,2018-03
52,89,绵阳,0.587,140,36,34,135,96,47,良,234.1333,7,2018-04
53,78,绵阳,0.594,150,0,27,134,62,35,良,204.5806,6,2018-05
54,66,绵阳,0.677,147,29,28,112,46,27,良,136.5667,6,2018-06
55,54,绵阳,0.639,90,27,22,100,33,18,良,144.8710,5,2018-07
56,80,绵阳,0.681,146,38,26,133,47,25,良,202.6129,7,2018-08
57,45,绵阳,0.567,77,25,20,80,33,19,优,139.8000,5,2018-09
58,57,绵阳,0.652,124,27,30,61,58,37,良,163.0000,5,2018-10
59,70,绵阳,0.747,138,22,34,47,74,49,良,181.5667,6,2018-11
60,83,绵阳,0.832,195,20,30,42,92,57,良,210.8065,6,2018-12
61,68,绵阳,1.0,75,53,32,34,62,49,良,142.0000,5,2019-01
