index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,232,聊城,2.611,455,93,78,17,282,188,重度污染,84.5926,107,2013-12
1,206,聊城,2.761,465,70,68,23,247,163,重度污染,136.5806,93,2014-01
2,134,聊城,1.918,256,59,48,31,156,100,轻度污染,131.3214,91,2014-02
3,138,聊城,1.716,243,69,49,52,184,100,轻度污染,144.1935,58,2014-03
4,132,聊城,1.69,270,68,39,61,183,96,轻度污染,158.2000,43,2014-04
5,108,聊城,1.587,167,47,29,89,160,72,轻度污染,130.0323,26,2014-05
6,109,聊城,1.827,211,53,37,119,142,79,轻度污染,135.2000,24,2014-06
7,102,聊城,1.465,228,57,29,128,137,70,轻度污染,127.3226,14,2014-07
8,105,聊城,1.858,194,54,37,124,135,77,轻度污染,147.4839,34,2014-08
9,106,聊城,1.99,183,55,40,88,136,78,轻度污染,155.9667,52,2014-09
10,143,聊城,2.123,242,67,57,84,185,107,轻度污染,157.7742,57,2014-10
11,163,聊城,2.247,346,73,66,55,201,124,中度污染,162.2333,62,2014-11
12,154,聊城,2.416,260,73,64,34,188,114,中度污染,163.5161,77,2014-12
13,174,聊城,2.494,401,57,65,37,197,137,中度污染,284.2903,75,2015-01
14,145,聊城,2.061,255,64,47,43,167,109,轻度污染,288.9286,63,2015-02
15,125,聊城,1.932,217,60,43,66,166,87,轻度污染,298.4839,48,2015-03
16,104,聊城,1.48,167,50,33,98,131,74,轻度污染,274.5333,37,2015-04
17,109,聊城,1.287,157,51,31,145,127,78,轻度污染,294.2903,38,2015-05
18,112,聊城,1.363,164,60,29,161,131,78,轻度污染,315.9667,25,2015-06
19,114,聊城,1.242,173,64,26,163,135,71,轻度污染,321.2581,18,2015-07
20,98,聊城,1.326,150,48,29,140,128,63,良,292.6452,21,2015-08
21,101,聊城,1.487,160,47,39,125,127,71,轻度污染,298.4000,33,2015-09
22,150,聊城,1.542,309,68,50,99,178,114,轻度污染,324.1290,45,2015-10
23,151,聊城,1.827,311,26,46,40,161,116,中度污染,308.8333,43,2015-11
24,224,聊城,2.674,500,69,68,32,272,182,重度污染,327.6452,59,2015-12
25,179,聊城,2.51,411,59,59,33,205,141,中度污染,312.9677,58,2016-01
26,127,聊城,1.907,280,46,39,53,148,94,轻度污染,279.4828,45,2016-02
27,139,聊城,1.642,263,66,46,90,191,100,轻度污染,318.0968,48,2016-03
28,125,聊城,1.523,253,61,32,122,173,91,轻度污染,319.0333,33,2016-04
29,100,聊城,1.277,242,61,33,131,112,62,良,269.6129,26,2016-05
30,117,聊城,1.2,177,70,29,175,90,53,轻度污染,319.0333,20,2016-06
31,98,聊城,1.123,185,44,27,145,105,61,良,301.3871,9,2016-07
32,89,聊城,1.387,131,53,30,116,107,50,良,291.1290,14,2016-08
33,115,聊城,1.38,186,58,42,158,150,73,轻度污染,319.6667,31,2016-09
34,89,聊城,1.065,176,45,42,78,120,63,良,301.7419,25,2016-10
35,134,聊城,1.39,242,35,52,48,169,100,轻度污染,297.6333,31,2016-11
36,182,聊城,2.013,469,68,69,42,218,141,中度污染,310.7419,37,2016-12
37,174,聊城,2.306,339,51,61,46,217,135,中度污染,292.0645,35,2017-01
38,138,聊城,1.586,266,63,54,73,171,104,轻度污染,278.4643,38,2017-02
39,105,聊城,1.287,201,58,49,107,137,73,轻度污染,250.9677,28,2017-03
40,105,聊城,1.07,208,70,41,114,142,69,轻度污染,250.7333,20,2017-04
41,150,聊城,0.994,500,59,30,172,95,40,中度污染,264.8065,14,2017-05
42,130,聊城,1.087,184,49,29,190,117,53,轻度污染,276.6333,8,2017-06
43,100,聊城,1.032,158,46,20,142,106,48,良,258.6774,4,2017-07
44,92,聊城,1.029,141,40,25,142,81,41,良,267.6452,7,2017-08
45,98,聊城,0.993,165,53,34,151,97,48,良,259.4000,13,2017-09
46,87,聊城,1.055,182,26,40,84,104,61,良,236.1290,14,2017-10
47,96,聊城,1.0,198,48,47,65,126,67,良,221.2667,19,2017-11
48,133,聊城,1.577,289,53,60,26,172,98,轻度污染,223.5161,25,2017-12
49,135,聊城,1.439,315,51,52,54,166,101,轻度污染,243.3871,23,2018-01
50,111,聊城,1.411,208,0,37,90,142,76,轻度污染,252.7143,22,2018-02
51,100,聊城,1.065,215,50,36,118,124,68,良,259.4194,16,2018-03
52,101,聊城,0.84,172,38,34,135,126,54,轻度污染,255.9000,14,2018-04
53,102,聊城,0.968,160,46,30,156,100,47,轻度污染,257.4194,13,2018-05
54,148,聊城,0.68,196,66,23,211,100,43,轻度污染,294.6667,10,2018-06
55,115,聊城,0.877,202,51,21,171,70,43,轻度污染,296.0000,8,2018-07
56,105,聊城,1.061,167,26,24,162,64,36,轻度污染,235.3871,10,2018-08
57,75,聊城,0.747,110,43,37,119,72,30,良,257.1667,12,2018-09
58,85,聊城,0.852,134,53,52,106,109,46,良,263.3871,17,2018-10
59,128,聊城,1.123,283,45,51,64,165,91,轻度污染,312.1333,13,2018-11
60,129,聊城,1.332,260,59,63,42,168,91,轻度污染,298.3871,22,2018-12
61,223,聊城,1.95,244,195,84,49,247,173,重度污染,336.0000,38,2019-01
