index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,130,胶南,1.5,130,130,40,34,210,97,轻度污染,103.0000,101,2013-12
1,157,胶南,1.171,302,51,35,52,156,120,中度污染,109.1613,65,2014-01
2,92,胶南,0.807,204,34,30,77,76,68,良,78.3571,35,2014-02
3,110,胶南,1.074,195,45,38,96,120,78,轻度污染,124.0968,31,2014-03
4,85,胶南,0.592,148,48,26,112,62,51,良,90.5200,17,2014-04
5,96,胶南,0.96,148,59,20,150,82,51,良,120.3500,19,2014-05
6,84,胶南,0.482,132,46,15,138,47,41,良,103.7273,12,2014-06
7,92,胶南,1.097,178,39,15,147,54,43,良,112.7742,11,2014-07
8,102,胶南,0.694,187,47,23,160,68,46,轻度污染,147.5806,19,2014-08
9,82,胶南,0.662,146,34,24,130,59,37,良,127.0690,19,2014-09
10,85,胶南,0.871,143,55,30,133,81,47,良,95.6452,24,2014-10
11,106,胶南,0.834,234,49,33,88,122,76,轻度污染,111.1724,46,2014-11
12,105,胶南,1.084,270,60,38,46,127,76,轻度污染,112.3226,54,2014-12
13,118,胶南,1.39,271,37,40,56,124,88,轻度污染,199.5484,46,2015-01
14,106,胶南,1.018,183,42,33,75,117,76,轻度污染,220.1429,34,2015-02
15,82,胶南,0.845,156,40,24,93,101,53,良,183.1935,21,2015-03
16,79,胶南,0.71,162,50,21,108,85,50,良,199.1000,18,2015-04
17,72,胶南,0.565,111,47,19,122,62,36,良,176.6774,12,2015-05
18,85,胶南,0.57,156,50,19,140,54,39,良,249.1333,10,2015-06
19,85,胶南,0.761,175,36,19,138,59,38,良,233.0323,13,2015-07
20,94,胶南,0.868,201,33,26,149,69,43,良,257.7097,15,2015-08
21,92,胶南,0.72,173,48,29,149,60,35,良,290.0667,20,2015-09
22,94,胶南,0.897,169,55,37,132,92,60,良,253.2258,25,2015-10
23,91,胶南,1.08,209,35,36,75,94,65,良,231.4000,28,2015-11
24,141,胶南,1.817,370,43,55,49,172,106,轻度污染,252.6333,50,2015-12
25,134,胶南,1.484,332,58,59,62,161,99,轻度污染,257.4516,46,2016-01
26,88,胶南,1.155,195,41,34,98,93,61,良,196.7241,26,2016-02
27,93,胶南,0.745,212,44,31,111,114,59,良,220.2903,20,2016-03
28,107,胶南,0.75,352,49,25,135,119,54,轻度污染,265.5000,13,2016-04
29,97,胶南,0.694,156,52,23,149,78,44,良,255.0000,11,2016-05
30,89,胶南,0.63,185,28,13,143,43,28,良,232.7667,7,2016-06
31,86,胶南,0.587,170,24,13,139,44,31,良,240.2258,7,2016-07
32,70,胶南,0.655,164,26,20,117,40,22,良,180.5806,9,2016-08
33,107,胶南,0.717,203,34,26,163,60,37,轻度污染,279.8000,11,2016-09
34,69,胶南,0.677,112,36,30,108,57,36,良,236.2903,12,2016-10
35,83,胶南,0.773,152,34,42,79,96,57,良,198.0333,19,2016-11
36,128,胶南,1.229,280,53,51,67,140,96,轻度污染,228.8065,24,2016-12
37,123,胶南,1.281,304,45,45,78,133,92,轻度污染,217.0323,24,2017-01
38,100,胶南,1.007,225,48,36,101,106,71,良,221.0357,20,2017-02
39,84,胶南,0.803,139,57,39,117,91,53,良,244.4194,16,2017-03
40,100,胶南,0.67,176,62,34,155,91,41,良,288.4667,14,2017-04
41,115,胶南,0.565,229,45,26,159,106,37,轻度污染,250.6452,11,2017-05
42,95,胶南,0.477,204,46,20,152,52,27,良,238.0667,6,2017-06
43,87,胶南,0.745,153,27,23,142,51,32,良,235.1290,7,2017-07
44,77,胶南,0.7,163,29,21,129,42,22,良,228.7419,6,2017-08
45,96,胶南,0.73,177,42,27,153,53,27,良,284.8333,8,2017-09
46,71,胶南,0.697,139,34,39,110,65,37,良,214.9032,10,2017-10
47,80,胶南,0.677,144,48,45,81,98,46,良,196.4333,14,2017-11
48,97,胶南,1.052,169,52,56,35,116,65,良,196.1935,19,2017-12
49,108,胶南,1.097,275,50,46,64,127,76,轻度污染,218.1935,19,2018-01
50,74,胶南,0.939,134,44,25,82,84,47,良,159.3214,13,2018-02
51,78,胶南,0.79,173,31,30,104,89,50,良,175.9667,12,2018-03
52,91,胶南,0.507,158,42,33,127,109,38,良,214.8667,12,2018-04
53,79,胶南,0.552,138,49,25,130,61,29,良,192.3333,7,2018-05
54,90,胶南,0.527,185,44,16,146,42,27,良,209.9333,7,2018-06
55,45,胶南,0.39,102,20,13,81,29,15,优,106.1935,5,2018-07
56,69,胶南,0.519,164,30,14,118,36,17,良,187.7419,5,2018-08
57,81,胶南,0.587,130,43,26,134,48,23,良,268.7778,8,2018-09
58,79,胶南,0.526,144,39,31,126,65,25,良,237.0968,10,2018-10
59,96,胶南,0.957,295,30,43,89,120,60,良,246.7333,14,2018-11
60,82,胶南,0.887,218,46,45,56,104,51,良,218.5200,15,2018-12
61,171,胶南,1.75,212,124,73,59,185,130,中度污染,300.6667,26,2019-01
