index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,179,胶州,1.5,179,179,68,37,307,92,中度污染,170.0000,161,2013-12
1,161,胶州,0.957,306,56,45,33,178,125,中度污染,114.7619,73,2014-01
2,86,胶州,0.896,161,28,36,63,89,63,良,74.9643,39,2014-02
3,98,胶州,0.804,173,57,47,105,125,69,良,105.9565,45,2014-03
4,86,胶州,0.696,166,41,46,111,106,54,良,92.2143,27,2014-04
5,103,胶州,0.566,207,35,35,142,112,56,轻度污染,118.5172,24,2014-05
6,94,胶州,0.497,151,51,24,146,73,51,良,115.4828,13,2014-06
7,101,胶州,0.455,200,36,28,151,76,57,轻度污染,122.6774,13,2014-07
8,93,胶州,0.558,187,35,29,150,66,40,良,132.1613,14,2014-08
9,71,胶州,0.563,115,36,32,119,60,33,良,105.9000,16,2014-09
10,73,胶州,0.587,131,35,45,112,76,41,良,64.9032,18,2014-10
11,101,胶州,1.03,208,41,56,64,117,73,轻度污染,106.9000,49,2014-11
12,87,胶州,1.129,207,48,56,43,96,61,良,80.0968,89,2014-12
13,92,胶州,1.31,201,32,54,57,92,66,良,144.1935,79,2015-01
14,84,胶州,1.164,157,41,40,78,87,59,良,166.3571,67,2015-02
15,71,胶州,0.813,141,39,49,98,79,45,良,154.1613,42,2015-03
16,85,胶州,0.697,188,49,39,133,80,48,良,218.9333,26,2015-04
17,75,胶州,0.613,124,41,40,122,66,36,良,186.1935,16,2015-05
18,80,胶州,0.567,142,44,27,135,52,29,良,235.1333,14,2015-06
19,75,胶州,0.561,183,27,21,127,45,27,良,195.4516,11,2015-07
20,78,胶州,0.59,148,28,30,129,48,27,良,219.5806,15,2015-08
21,82,胶州,0.53,130,48,50,132,61,25,良,268.3333,14,2015-09
22,90,胶州,0.697,157,55,47,125,97,48,良,244.0000,20,2015-10
23,86,胶州,1.083,220,30,40,65,91,61,良,205.7667,26,2015-11
24,150,胶州,1.855,344,35,55,42,168,115,中度污染,259.3226,63,2015-12
25,114,胶州,1.658,304,42,47,57,132,84,轻度污染,220.9032,63,2016-01
26,79,胶州,1.252,160,42,37,95,80,52,良,178.2759,28,2016-02
27,77,胶州,0.773,142,40,37,101,92,46,良,155.1667,20,2016-03
28,95,胶州,0.687,239,44,36,129,107,47,良,237.5333,15,2016-04
29,96,胶州,0.661,150,43,32,146,74,38,良,247.4839,13,2016-05
30,99,胶州,0.52,173,33,24,156,48,26,良,270.8667,10,2016-06
31,84,胶州,0.526,140,25,23,138,58,39,良,250.1935,11,2016-07
32,71,胶州,0.532,152,26,27,120,49,25,良,205.1935,11,2016-08
33,99,胶州,0.63,196,30,35,156,67,39,良,270.6000,16,2016-09
34,60,胶州,0.619,97,33,37,94,48,31,良,189.5161,15,2016-10
35,94,胶州,1.117,212,34,50,67,104,67,良,221.0333,28,2016-11
36,128,胶州,1.448,284,48,55,57,130,96,轻度污染,237.9355,40,2016-12
37,113,胶州,1.552,249,41,49,67,115,83,轻度污染,202.2903,36,2017-01
38,84,胶州,1.032,203,42,41,87,87,57,良,176.5000,31,2017-02
39,72,胶州,0.842,110,53,41,108,79,43,良,183.7419,24,2017-03
40,86,胶州,0.653,135,48,38,136,88,37,良,237.2667,18,2017-04
41,99,胶州,0.594,181,40,34,141,105,35,良,214.5161,14,2017-05
42,97,胶州,0.593,207,45,30,154,59,25,良,241.2333,10,2017-06
43,92,胶州,0.745,151,34,24,145,58,28,良,250.5161,7,2017-07
44,83,胶州,0.594,173,30,30,133,48,19,良,239.6452,9,2017-08
45,95,胶州,0.7,155,44,36,150,65,25,良,284.8333,12,2017-09
46,74,胶州,0.697,142,32,44,111,74,36,良,221.9677,13,2017-10
47,76,胶州,0.753,129,40,49,79,94,45,良,187.3667,19,2017-11
48,91,胶州,1.384,160,54,60,33,105,60,良,175.3871,27,2017-12
49,100,胶州,1.274,244,38,53,62,113,71,轻度污染,198.4839,26,2018-01
50,71,胶州,0.889,122,43,37,85,76,47,良,150.8929,21,2018-02
51,77,胶州,0.677,127,46,46,104,80,49,良,184.5000,18,2018-03
52,87,胶州,0.547,175,39,45,126,96,40,良,193.9667,16,2018-04
53,84,胶州,0.629,146,50,37,137,65,35,良,211.0667,13,2018-05
54,74,胶州,0.483,133,38,28,127,46,29,良,164.9000,11,2018-06
55,51,胶州,0.403,99,24,25,89,41,23,良,132.4839,7,2018-07
56,66,胶州,0.468,133,24,24,115,43,21,良,183.7742,10,2018-08
57,76,胶州,0.563,122,38,40,123,65,27,良,261.1111,9,2018-09
58,78,胶州,0.629,108,42,52,108,97,43,良,246.7742,11,2018-10
59,118,胶州,1.087,345,37,61,76,154,78,轻度污染,294.9667,15,2018-11
60,95,胶州,1.145,284,46,53,54,120,64,良,238.3600,21,2018-12
61,205,胶州,2.35,249,138,86,55,217,159,重度污染,334.0000,47,2019-01
