index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,145,茂名,1.1,145,145,42,157,149,111,轻度污染,137.0000,27,2013-12
1,119,茂名,1.213,328,63,27,127,120,90,轻度污染,87.3548,22,2014-01
2,57,茂名,1.0,99,28,20,66,53,38,良,45.1071,10,2014-02
3,52,茂名,0.981,91,28,24,64,52,35,良,25.2903,15,2014-03
4,49,茂名,1.103,111,23,18,82,46,27,优,22.5333,14,2014-04
5,40,茂名,0.761,72,19,11,73,34,21,优,16.2581,13,2014-05
6,45,茂名,0.887,143,20,12,84,35,20,优,26.6000,8,2014-06
7,37,茂名,0.716,101,19,11,60,36,20,优,22.8387,13,2014-07
8,33,茂名,0.774,49,17,11,59,32,16,优,15.0323,15,2014-08
9,46,茂名,0.783,104,20,11,79,44,26,优,41.4333,15,2014-09
10,85,茂名,0.91,131,50,16,128,84,56,良,92.1613,27,2014-10
11,68,茂名,0.957,120,29,15,100,62,45,良,55.3333,19,2014-11
12,81,茂名,1.061,142,20,21,87,79,60,良,83.7742,23,2014-12
13,83,茂名,1.045,145,33,23,104,84,61,良,152.8065,19,2015-01
14,81,茂名,1.093,204,21,18,86,80,60,良,156.9286,12,2015-02
15,49,茂名,0.835,97,17,15,75,46,29,优,79.0645,10,2015-03
16,52,茂名,0.887,95,18,13,87,46,27,良,81.7667,12,2015-04
17,34,茂名,0.677,50,21,9,68,27,16,优,21.4516,7,2015-05
18,31,茂名,0.657,51,18,7,61,23,12,优,30.4333,7,2015-06
19,40,茂名,0.974,69,22,11,75,32,21,优,64.2258,12,2015-07
20,51,茂名,0.948,145,21,12,90,44,26,良,110.7742,14,2015-08
21,46,茂名,0.834,90,20,11,79,40,25,优,105.7241,10,2015-09
22,70,茂名,0.923,162,22,17,112,66,44,良,150.4839,17,2015-10
23,53,茂名,0.87,100,25,17,89,55,32,良,108.3333,19,2015-11
24,49,茂名,1.006,95,24,20,60,49,31,优,62.1613,21,2015-12
25,53,茂名,1.006,110,21,23,62,53,35,良,72.7742,16,2016-01
26,59,茂名,0.931,158,22,16,66,61,41,良,114.7931,11,2016-02
27,50,茂名,0.813,110,19,18,72,48,32,优,62.8065,12,2016-03
28,43,茂名,0.797,68,25,12,73,41,26,优,38.0667,8,2016-04
29,42,茂名,0.871,96,21,11,77,33,20,优,54.3548,9,2016-05
30,37,茂名,0.87,65,22,10,70,29,15,优,49.6000,9,2016-06
31,34,茂名,0.694,56,22,10,60,33,16,优,52.2581,11,2016-07
32,43,茂名,0.739,91,21,12,78,40,23,优,81.2581,13,2016-08
33,52,茂名,0.87,83,22,14,91,52,32,良,122.6333,18,2016-09
34,49,茂名,0.913,74,23,12,81,51,32,优,139.2581,17,2016-10
35,51,茂名,0.917,88,18,14,73,51,32,良,84.1333,15,2016-11
36,76,茂名,1.065,122,47,23,102,85,53,良,135.0968,20,2016-12
37,71,茂名,1.123,132,29,21,94,76,51,良,128.7419,12,2017-01
38,61,茂名,0.964,125,26,14,90,59,42,良,105.7857,10,2017-02
39,53,茂名,0.994,87,33,16,74,56,33,良,102.5484,10,2017-03
40,53,茂名,0.87,111,29,13,88,45,27,良,74.6000,10,2017-04
41,53,茂名,0.835,142,22,12,94,41,25,良,78.4839,11,2017-05
42,33,茂名,0.72,58,23,11,65,24,13,优,45.1000,8,2017-06
43,35,茂名,0.748,77,21,10,68,25,17,优,55.8387,9,2017-07
44,37,茂名,0.677,77,19,11,74,28,15,优,77.6452,8,2017-08
45,44,茂名,0.837,77,16,14,82,37,21,优,88.8667,13,2017-09
46,59,茂名,0.955,133,20,14,99,58,36,良,138.7742,19,2017-10
47,64,茂名,1.063,117,25,19,85,65,44,良,132.4333,25,2017-11
48,80,茂名,1.106,166,32,24,66,89,58,良,148.3226,27,2017-12
49,66,茂名,0.903,124,23,20,92,66,43,良,117.7742,16,2018-01
50,69,茂名,0.839,149,25,16,91,74,49,良,139.8214,13,2018-02
51,57,茂名,0.745,109,27,13,97,52,30,良,100.0323,10,2018-03
52,52,茂名,0.753,90,27,11,83,52,28,良,85.2000,10,2018-04
53,37,茂名,0.481,74,24,9,73,27,13,优,47.8387,7,2018-05
54,46,茂名,0.663,129,23,11,87,31,15,优,71.7000,11,2018-06
55,35,茂名,0.542,75,20,9,67,25,12,优,74.8710,7,2018-07
56,46,茂名,0.761,95,21,12,84,36,20,优,110.8065,12,2018-08
57,46,茂名,0.65,78,21,11,85,38,22,优,118.3667,12,2018-09
58,69,茂名,0.829,120,27,15,114,58,34,良,168.3871,16,2018-10
59,58,茂名,0.803,86,34,16,94,56,34,良,151.7000,16,2018-11
60,48,茂名,0.842,73,26,16,65,49,28,优,96.4839,18,2018-12
61,47,茂名,0.95,54,38,18,43,49,30,优,81.7500,25,2019-01
