index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,169,荆州,1.6,169,169,72,67,210,128,中度污染,164.0000,176,2013-12
1,248,荆州,2.371,450,135,60,63,330,191,重度污染,162.2581,94,2014-01
2,153,荆州,1.879,255,78,34,54,196,115,中度污染,148.2143,53,2014-02
3,124,荆州,1.394,257,87,40,87,163,93,轻度污染,138.5484,51,2014-03
4,88,荆州,1.337,160,43,36,105,112,63,良,100.8333,38,2014-04
5,138,荆州,1.432,312,51,41,108,184,100,轻度污染,137.6129,35,2014-05
6,108,荆州,1.29,247,39,32,105,140,81,轻度污染,136.1333,19,2014-06
7,76,荆州,1.255,136,36,26,91,91,53,良,92.0968,21,2014-07
8,74,荆州,1.094,117,51,25,114,77,48,良,104.7742,24,2014-08
9,83,荆州,1.447,229,30,29,71,97,59,良,105.9667,23,2014-09
10,121,荆州,1.5,287,51,48,113,158,92,轻度污染,142.8710,48,2014-10
11,107,荆州,1.36,218,52,46,67,121,79,轻度污染,121.1667,54,2014-11
12,119,荆州,1.287,249,62,52,56,136,88,轻度污染,137.8387,65,2014-12
13,174,荆州,1.574,302,73,57,60,198,133,中度污染,306.1613,55,2015-01
14,138,荆州,1.557,202,69,45,74,157,104,轻度污染,295.9286,41,2015-02
15,96,荆州,1.229,201,59,36,85,114,69,良,238.9032,32,2015-03
16,80,荆州,1.043,127,23,34,105,86,51,良,212.8667,25,2015-04
17,102,荆州,1.097,165,64,31,142,99,63,轻度污染,279.5484,21,2015-05
18,76,荆州,1.133,152,34,26,102,78,51,良,227.1333,14,2015-06
19,66,荆州,0.865,131,38,21,108,61,44,良,185.8065,9,2015-07
20,82,荆州,0.971,136,36,25,130,75,49,良,231.8710,12,2015-08
21,103,荆州,1.06,167,46,32,150,95,62,轻度污染,312.3333,20,2015-09
22,107,荆州,1.197,166,41,48,144,126,71,轻度污染,277.8065,27,2015-10
23,71,荆州,1.32,119,33,37,54,77,51,良,184.6000,26,2015-11
24,127,荆州,1.223,276,50,45,54,146,94,轻度污染,242.1290,35,2015-12
25,137,荆州,1.448,272,73,44,55,157,103,轻度污染,280.6774,37,2016-01
26,107,荆州,1.183,222,51,36,92,132,76,轻度污染,266.9310,31,2016-02
27,109,荆州,1.235,222,61,40,99,137,79,轻度污染,253.9032,31,2016-03
28,75,荆州,1.183,129,35,38,112,87,46,良,194.9000,26,2016-04
29,75,荆州,0.91,115,45,27,121,77,42,良,200.7419,16,2016-05
30,63,荆州,0.93,99,44,24,107,58,32,良,172.9667,14,2016-06
31,55,荆州,0.919,95,29,21,95,51,27,良,159.1935,14,2016-07
32,82,荆州,0.948,143,30,22,133,69,39,良,247.3548,14,2016-08
33,111,荆州,1.067,156,52,34,164,105,61,轻度污染,316.2333,24,2016-09
34,67,荆州,1.0,112,29,32,86,70,43,良,203.4839,16,2016-10
35,94,荆州,1.237,222,37,39,61,107,69,良,218.0000,23,2016-11
36,140,荆州,1.487,274,75,51,57,154,106,轻度污染,278.6774,28,2016-12
37,144,荆州,1.71,325,43,45,63,153,110,轻度污染,275.5806,29,2017-01
38,105,荆州,1.089,178,60,40,77,112,79,轻度污染,230.3929,27,2017-02
39,90,荆州,1.061,214,53,41,92,106,64,良,222.1935,25,2017-03
40,73,荆州,1.137,101,48,33,105,80,43,良,172.6667,23,2017-04
41,88,荆州,0.994,160,39,33,129,72,41,良,185.0323,19,2017-05
42,66,荆州,0.9,101,34,25,109,62,36,良,194.1000,9,2017-06
43,58,荆州,0.906,108,27,21,102,52,28,良,171.3871,8,2017-07
44,58,荆州,1.013,85,35,22,104,53,30,良,199.5484,9,2017-08
45,67,荆州,1.19,123,28,30,103,61,34,良,178.3333,11,2017-09
46,59,荆州,1.203,98,26,37,76,72,39,良,181.5161,12,2017-10
47,107,荆州,1.307,218,56,53,74,138,78,轻度污染,248.1333,20,2017-11
48,121,荆州,1.41,223,53,58,39,131,81,轻度污染,228.0968,27,2017-12
49,122,荆州,1.468,284,66,43,57,130,92,轻度污染,258.7419,18,2018-01
50,89,荆州,1.486,165,0,39,83,106,65,良,215.3571,19,2018-02
51,72,荆州,1.219,112,45,34,88,77,47,良,174.9032,17,2018-03
52,63,荆州,1.037,110,0,32,113,69,36,良,146.5667,17,2018-04
53,70,荆州,1.032,130,0,27,117,69,35,良,174.4516,13,2018-05
54,85,荆州,0.99,145,37,28,138,56,31,良,191.6000,12,2018-06
55,64,荆州,0.997,97,26,22,111,49,28,良,186.6774,7,2018-07
56,84,荆州,1.09,121,40,20,140,51,26,良,198.9032,11,2018-08
57,67,荆州,1.15,116,43,30,110,56,29,良,219.5667,14,2018-09
58,72,荆州,1.19,126,52,44,106,78,39,良,232.0968,18,2018-10
59,80,荆州,1.343,242,23,40,71,106,56,良,215.7000,18,2018-11
60,104,荆州,1.323,221,54,36,42,137,73,轻度污染,267.1935,18,2018-12
61,97,荆州,1.15,113,82,40,34,123,72,良,197.5000,14,2019-01
