index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,114,荆门,0.7,114,114,32,76,177,39,轻度污染,278.0000,32,2014-12
1,188,荆门,1.61,273,90,50,60,223,145,中度污染,319.0645,53,2015-01
2,153,荆门,1.132,221,94,39,72,172,116,中度污染,317.0357,38,2015-02
3,108,荆门,0.961,226,62,31,91,139,75,轻度污染,265.4516,35,2015-03
4,81,荆门,0.857,132,38,34,110,102,46,良,218.1667,30,2015-04
5,102,荆门,0.939,199,55,29,135,112,62,轻度污染,273.0645,24,2015-05
6,69,荆门,0.79,109,30,24,99,78,43,良,200.4000,12,2015-06
7,63,荆门,0.635,91,31,21,95,65,36,良,173.6452,13,2015-07
8,66,荆门,0.713,113,34,24,82,73,43,良,177.8065,16,2015-08
9,89,荆门,0.777,158,51,24,110,96,65,良,278.0667,20,2015-09
10,99,荆门,0.823,183,39,32,103,113,71,良,249.8387,21,2015-10
11,72,荆门,0.96,119,29,32,47,77,51,良,179.7000,19,2015-11
12,128,荆门,0.987,260,52,44,50,145,92,轻度污染,250.1290,26,2015-12
13,150,荆门,1.187,319,80,45,51,171,113,中度污染,298.2581,27,2016-01
14,105,荆门,0.886,168,54,34,87,133,71,轻度污染,264.0345,27,2016-02
15,112,荆门,0.803,194,64,37,97,146,76,轻度污染,265.0000,30,2016-03
16,71,荆门,0.833,104,32,30,104,90,40,良,176.9333,26,2016-04
17,79,荆门,0.694,132,40,28,113,92,44,良,208.5161,21,2016-05
18,62,荆门,0.817,92,38,24,97,63,36,良,170.6333,15,2016-06
19,50,荆门,0.887,69,28,19,68,53,26,良,135.2903,17,2016-07
20,70,荆门,0.806,111,27,29,95,83,42,良,221.3548,15,2016-08
21,85,荆门,0.87,170,39,41,125,90,54,良,254.3667,23,2016-09
22,57,荆门,0.726,98,24,28,68,58,33,良,159.0968,14,2016-10
23,92,荆门,0.873,261,43,41,48,94,65,良,208.0667,16,2016-11
24,122,荆门,1.371,269,65,62,46,125,90,轻度污染,242.2258,19,2016-12
25,130,荆门,1.355,242,53,51,61,120,95,轻度污染,257.7097,22,2017-01
26,91,荆门,1.1,140,52,41,80,101,64,良,188.3571,19,2017-02
27,74,荆门,0.99,113,40,48,98,90,44,良,173.1290,21,2017-03
28,76,荆门,0.927,109,32,37,114,79,34,良,154.5333,19,2017-04
29,94,荆门,0.848,218,37,35,141,78,32,良,159.9677,18,2017-05
30,66,荆门,0.92,109,41,27,112,66,32,良,182.2333,14,2017-06
31,57,荆门,0.868,95,24,23,93,56,26,良,158.6774,10,2017-07
32,62,荆门,0.9,95,39,24,111,60,29,良,183.0000,11,2017-08
33,63,荆门,0.887,118,24,26,102,55,29,良,147.8667,15,2017-09
34,53,荆门,0.897,95,24,28,82,55,34,良,138.7742,14,2017-10
35,107,荆门,1.053,229,55,51,86,105,79,轻度污染,234.4000,22,2017-11
36,124,荆门,1.281,279,63,64,41,125,99,轻度污染,212.7742,28,2017-12
37,144,荆门,1.419,274,68,50,66,105,110,轻度污染,275.0000,20,2018-01
38,108,荆门,1.243,200,0,41,93,100,80,轻度污染,243.8571,20,2018-02
39,86,荆门,1.065,142,54,36,98,81,61,良,231.2581,16,2018-03
40,61,荆门,0.867,112,0,32,118,69,33,良,145.6000,18,2018-04
41,77,荆门,0.816,130,29,25,115,70,32,良,191.0645,13,2018-05
42,81,荆门,0.807,147,41,23,135,58,29,良,185.7667,12,2018-06
43,54,荆门,0.819,96,25,21,94,50,27,良,158.2581,11,2018-07
44,70,荆门,0.955,117,46,17,121,60,31,良,192.7419,12,2018-08
45,62,荆门,0.887,110,32,25,104,55,28,良,192.1000,12,2018-09
46,77,荆门,0.758,135,50,38,112,76,42,良,210.0323,18,2018-10
47,106,荆门,1.0,320,30,40,78,93,79,轻度污染,266.7333,17,2018-11
48,144,荆门,1.203,295,62,45,50,109,107,轻度污染,313.8065,12,2018-12
49,158,荆门,1.1,204,135,46,44,119,120,中度污染,275.5000,12,2019-01
