index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,74,莆田,1.7,74,74,50,24,99,47,良,141.0000,6,2014-12
1,70,莆田,0.91,140,28,31,68,73,48,良,101.0645,8,2015-01
2,60,莆田,0.954,106,27,25,72,62,42,良,93.2143,5,2015-02
3,54,莆田,0.755,122,27,25,72,52,34,良,85.1935,5,2015-03
4,57,莆田,0.793,99,27,25,83,56,34,良,91.5000,6,2015-04
5,50,莆田,0.819,77,24,20,72,50,30,良,81.0968,5,2015-05
6,44,莆田,0.617,68,24,16,78,40,22,优,88.8667,6,2015-06
7,44,莆田,0.59,90,20,13,79,39,22,优,84.5161,6,2015-07
8,46,莆田,0.61,95,25,15,82,38,23,优,91.2903,6,2015-08
9,61,莆田,0.623,86,32,16,110,41,26,良,173.5000,6,2015-09
10,57,莆田,0.597,122,25,15,101,47,29,良,109.6774,7,2015-10
11,45,莆田,0.62,77,28,20,77,41,24,优,73.3667,6,2015-11
12,48,莆田,0.655,82,22,24,59,46,30,优,65.0968,7,2015-12
13,56,莆田,0.71,119,25,27,54,50,37,良,80.6452,7,2016-01
14,60,莆田,0.562,158,28,19,77,59,41,良,101.6207,7,2016-02
15,70,莆田,0.684,132,33,30,97,62,46,良,134.2903,10,2016-03
16,65,莆田,0.603,119,40,23,95,54,39,良,145.0333,10,2016-04
17,54,莆田,0.539,85,24,16,88,49,30,良,93.1613,8,2016-05
18,49,莆田,0.54,92,28,14,86,39,24,优,108.4667,8,2016-06
19,52,莆田,0.555,125,23,11,92,41,25,良,132.9677,7,2016-07
20,52,莆田,0.632,112,21,13,94,38,22,良,126.8065,6,2016-08
21,53,莆田,0.493,89,22,11,95,35,22,良,118.5333,6,2016-09
22,48,莆田,0.552,84,24,13,90,32,18,优,128.1290,6,2016-10
23,50,莆田,0.76,153,24,21,82,45,28,良,73.4667,9,2016-11
24,50,莆田,0.755,83,30,24,86,48,30,良,46.4194,9,2016-12
25,55,莆田,0.806,80,33,24,85,45,34,良,85.4194,9,2017-01
26,64,莆田,0.771,106,31,21,107,46,36,良,92.7857,9,2017-02
27,66,莆田,0.768,108,37,28,112,51,37,良,118.8387,11,2017-03
28,82,莆田,0.777,151,45,26,128,57,36,良,123.8667,13,2017-04
29,71,莆田,0.703,146,37,19,124,44,25,良,81.3548,10,2017-05
30,48,莆田,0.66,95,24,16,92,31,18,优,66.2000,9,2017-06
31,60,莆田,0.639,131,28,14,108,38,19,良,86.2581,9,2017-07
32,74,莆田,0.658,141,24,17,125,44,26,良,121.1613,9,2017-08
33,81,莆田,0.65,149,40,16,137,42,26,良,91.7000,10,2017-09
34,65,莆田,0.587,115,27,15,116,40,22,良,78.1290,10,2017-10
35,55,莆田,0.657,138,26,21,97,39,24,良,53.7667,8,2017-11
36,51,莆田,0.684,88,23,24,56,49,31,良,48.0968,9,2017-12
37,47,莆田,0.642,82,27,25,78,37,25,优,56.3226,8,2018-01
38,69,莆田,0.679,182,44,20,106,58,42,良,137.1786,8,2018-02
39,73,莆田,0.71,149,33,25,110,48,38,良,164.5484,8,2018-03
40,85,莆田,0.66,146,45,24,135,69,40,良,209.7333,8,2018-04
41,74,莆田,0.619,146,27,21,124,49,27,良,176.9677,9,2018-05
42,67,莆田,0.677,130,26,16,116,34,19,良,138.8000,8,2018-06
43,57,莆田,0.629,117,21,15,100,41,22,良,138.1935,9,2018-07
44,62,莆田,0.59,114,26,15,110,34,20,良,81.6129,9,2018-08
45,60,莆田,0.56,111,27,15,107,37,19,良,123.4333,10,2018-09
46,74,莆田,0.571,125,37,17,127,44,24,良,122.5161,8,2018-10
47,42,莆田,0.623,76,25,20,80,34,20,优,74.2000,8,2018-11
48,45,莆田,0.658,97,23,23,73,40,24,优,78.2903,8,2018-12
49,32,莆田,0.775,35,29,19,58,22,13,优,16.7500,6,2019-01
