index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,168,莱州,1.7,168,168,75,32,286,93,中度污染,162.0000,104,2013-12
1,138,莱州,1.268,314,50,43,44,159,103,轻度污染,89.1290,78,2014-01
2,98,莱州,0.804,206,35,33,82,100,70,良,89.0714,46,2014-02
3,116,莱州,0.871,210,56,31,106,156,80,轻度污染,129.2258,46,2014-03
4,101,莱州,0.643,208,44,40,130,132,63,轻度污染,122.5333,33,2014-04
5,104,莱州,0.584,155,49,29,149,138,52,轻度污染,122.9355,36,2014-05
6,91,莱州,0.648,195,45,24,142,91,48,良,108.1724,27,2014-06
7,98,莱州,0.735,201,44,23,145,100,51,良,125.2581,24,2014-07
8,86,莱州,0.816,140,33,28,136,85,45,良,123.8710,21,2014-08
9,67,莱州,0.76,122,31,31,98,77,41,良,93.3000,18,2014-09
10,71,莱州,0.735,142,25,34,83,85,45,良,58.3548,19,2014-10
11,110,莱州,1.197,245,39,46,46,127,80,轻度污染,115.2667,33,2014-11
12,104,莱州,1.424,270,34,39,34,118,73,轻度污染,95.0690,62,2014-12
13,103,莱州,1.529,273,34,38,39,116,74,轻度污染,166.9032,40,2015-01
14,107,莱州,1.357,200,45,34,54,138,73,轻度污染,219.4643,38,2015-02
15,98,莱州,1.065,195,43,33,76,133,64,良,247.4194,33,2015-03
16,86,莱州,0.733,126,46,23,92,113,49,良,236.2667,13,2015-04
17,77,莱州,0.652,115,49,28,105,102,37,良,200.7419,18,2015-05
18,73,莱州,0.647,131,38,20,69,95,37,良,215.3333,23,2015-06
19,61,莱州,0.723,114,38,20,56,73,32,良,160.5806,13,2015-07
20,73,莱州,0.845,122,37,27,109,81,39,良,207.3871,21,2015-08
21,68,莱州,0.85,120,37,23,117,72,31,良,201.4000,15,2015-09
22,93,莱州,1.042,155,40,30,101,120,59,良,246.3226,23,2015-10
23,90,莱州,1.213,175,36,31,62,99,64,良,231.7333,21,2015-11
24,141,莱州,1.781,357,36,49,44,157,107,轻度污染,239.5806,49,2015-12
25,109,莱州,1.59,270,32,40,43,125,78,轻度污染,206.5484,49,2016-01
26,84,莱州,1.393,147,33,32,62,98,58,良,187.4828,40,2016-02
27,91,莱州,1.194,147,48,26,90,125,53,良,216.4839,27,2016-03
28,102,莱州,1.127,179,55,24,117,152,49,轻度污染,266.7333,23,2016-04
29,80,莱州,1.11,120,50,25,94,105,39,良,215.8387,22,2016-05
30,64,莱州,0.93,91,36,13,61,79,30,良,177.5000,13,2016-06
31,69,莱州,0.952,108,36,10,115,66,26,良,223.1935,10,2016-07
32,64,莱州,1.006,144,41,13,95,66,24,良,192.5806,12,2016-08
33,76,莱州,0.757,142,38,20,117,81,34,良,203.8667,14,2016-09
34,65,莱州,0.942,102,38,27,71,79,34,良,211.5161,13,2016-10
35,85,莱州,1.117,186,0,34,50,109,57,良,199.4667,18,2016-11
36,106,莱州,1.41,272,35,34,50,126,76,轻度污染,179.3548,21,2016-12
37,97,莱州,1.577,235,0,35,47,108,68,良,167.7097,20,2017-01
38,88,莱州,1.375,180,50,30,71,106,58,良,194.7143,23,2017-02
39,81,莱州,0.858,175,48,27,111,98,53,良,212.8387,23,2017-03
40,87,莱州,0.783,143,57,22,130,104,46,良,238.0667,19,2017-04
41,109,莱州,0.723,182,45,22,161,95,33,轻度污染,250.3871,22,2017-05
42,94,莱州,0.607,201,39,21,150,70,27,良,241.3667,11,2017-06
43,69,莱州,0.777,128,33,16,117,65,27,良,186.6774,11,2017-07
44,56,莱州,0.584,110,24,16,100,45,18,良,158.0645,7,2017-08
45,82,莱州,0.697,140,37,22,137,68,24,良,243.7333,8,2017-09
46,61,莱州,0.61,127,29,29,92,70,28,良,173.8387,11,2017-10
47,69,莱州,0.887,128,34,34,72,88,32,良,152.1667,16,2017-11
48,78,莱州,1.281,211,23,46,31,95,45,良,136.2903,25,2017-12
49,96,莱州,1.555,419,32,51,50,128,54,良,177.4194,25,2018-01
50,75,莱州,1.125,124,33,45,69,88,42,良,170.3214,21,2018-02
51,79,莱州,0.948,122,47,26,93,103,45,良,199.1000,13,2018-03
52,88,莱州,0.687,142,46,21,123,115,36,良,208.0333,14,2018-04
53,85,莱州,0.697,139,42,20,132,99,30,良,209.6000,14,2018-05
54,84,莱州,0.58,154,42,12,139,70,24,良,196.9333,11,2018-06
55,56,莱州,0.539,99,28,10,93,55,19,良,163.4194,9,2018-07
56,59,莱州,0.894,95,32,11,103,47,16,良,152.3548,9,2018-08
57,72,莱州,0.817,170,38,24,124,42,18,良,216.4444,10,2018-09
58,66,莱州,0.739,109,33,28,114,56,26,良,183.6774,12,2018-10
59,91,莱州,1.19,416,34,38,84,111,49,良,216.4333,16,2018-11
60,70,莱州,1.652,149,34,41,59,85,43,良,160.3200,23,2018-12
61,154,莱州,2.825,198,89,72,58,173,115,中度污染,274.6667,54,2019-01
