index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,197,莱芜,2.337,358,86,87,28,227,156,中度污染,84.2000,227,2013-12
1,178,莱芜,2.103,281,57,75,38,198,137,中度污染,128.9355,170,2014-01
2,126,莱芜,1.518,250,48,64,55,125,94,轻度污染,122.9286,114,2014-02
3,134,莱芜,1.423,227,78,67,90,157,99,轻度污染,140.4516,111,2014-03
4,131,莱芜,1.363,239,40,56,91,148,98,轻度污染,141.9000,93,2014-04
5,107,莱芜,1.248,184,49,52,140,147,72,轻度污染,124.3871,69,2014-05
6,109,莱芜,1.353,162,45,42,137,110,78,轻度污染,138.7000,58,2014-06
7,111,莱芜,1.397,189,48,37,148,117,76,轻度污染,146.0968,55,2014-07
8,105,莱芜,1.587,143,40,40,141,118,74,轻度污染,156.4194,76,2014-08
9,112,莱芜,1.57,239,29,42,104,115,83,轻度污染,156.6333,68,2014-09
10,111,莱芜,1.842,193,51,46,81,129,82,轻度污染,128.3871,72,2014-10
11,151,莱芜,2.377,320,54,67,43,158,114,中度污染,153.9000,94,2014-11
12,158,莱芜,1.91,348,62,71,32,171,122,中度污染,160.7419,134,2014-12
13,160,莱芜,2.21,352,70,69,26,160,125,中度污染,273.8387,124,2015-01
14,132,莱芜,1.725,268,53,55,36,141,99,轻度污染,265.7500,92,2015-02
15,126,莱芜,1.716,215,60,52,52,156,90,轻度污染,298.2903,68,2015-03
16,106,莱芜,1.237,222,51,45,76,124,76,轻度污染,268.8000,54,2015-04
17,101,莱芜,1.287,156,43,44,99,125,71,轻度污染,275.4839,48,2015-05
18,101,莱芜,1.383,189,42,34,138,127,68,轻度污染,289.6000,40,2015-06
19,101,莱芜,1.5,226,41,28,138,115,65,轻度污染,283.5161,25,2015-07
20,91,莱芜,1.368,133,42,35,123,100,61,良,262.3871,27,2015-08
21,87,莱芜,1.267,159,47,44,111,101,61,良,265.4667,37,2015-09
22,128,莱芜,1.726,236,59,61,92,149,93,轻度污染,300.4516,48,2015-10
23,131,莱芜,1.927,298,39,51,35,139,99,轻度污染,278.3000,56,2015-11
24,182,莱芜,2.235,379,53,65,28,211,141,中度污染,297.2903,94,2015-12
25,165,莱芜,2.3,344,56,71,23,181,127,中度污染,302.7097,96,2016-01
26,120,莱芜,2.01,277,35,58,40,141,89,轻度污染,268.0345,69,2016-02
27,124,莱芜,1.348,239,66,61,89,158,90,轻度污染,293.4516,50,2016-03
28,134,莱芜,1.34,267,63,45,146,188,96,轻度污染,328.4000,42,2016-04
29,106,莱芜,1.194,188,65,39,143,132,59,轻度污染,296.3226,40,2016-05
30,110,莱芜,1.37,147,74,29,168,104,54,轻度污染,319.6333,29,2016-06
31,84,莱芜,1.219,153,51,24,131,94,47,良,265.0323,16,2016-07
32,75,莱芜,1.045,149,37,31,118,72,34,良,227.1935,20,2016-08
33,96,莱芜,1.263,167,57,46,136,125,59,良,284.8000,34,2016-09
34,80,莱芜,1.303,163,40,43,68,102,54,良,269.0323,30,2016-10
35,118,莱芜,1.627,198,39,51,47,149,86,轻度污染,281.5000,45,2016-11
36,159,莱芜,1.865,368,54,56,41,183,123,中度污染,281.2903,58,2016-12
37,157,莱芜,1.665,356,50,50,46,192,122,中度污染,271.5484,61,2017-01
38,124,莱芜,1.021,237,56,45,74,150,92,轻度污染,251.3214,54,2017-02
39,99,莱芜,1.139,172,59,47,85,130,72,良,254.3226,40,2017-03
40,91,莱芜,1.663,184,52,39,108,125,58,良,243.9333,25,2017-04
41,119,莱芜,1.3,332,43,35,149,88,38,轻度污染,243.0323,29,2017-05
42,107,莱芜,1.2,182,41,33,161,108,47,轻度污染,260.8000,20,2017-06
43,87,莱芜,0.887,160,38,25,133,81,43,良,239.7742,8,2017-07
44,97,莱芜,0.952,166,33,30,153,65,35,良,207.6774,15,2017-08
45,97,莱芜,1.04,175,38,39,153,86,40,良,232.5333,19,2017-09
46,86,莱芜,1.261,161,27,50,89,107,60,良,235.3226,22,2017-10
47,101,莱芜,1.35,181,50,56,62,138,72,轻度污染,244.7333,33,2017-11
48,142,莱芜,1.697,264,30,68,27,162,105,轻度污染,251.9355,42,2017-12
49,143,莱芜,1.455,336,46,62,57,156,110,轻度污染,255.9355,33,2018-01
50,109,莱芜,1.229,189,52,42,84,127,79,轻度污染,245.8929,31,2018-02
51,101,莱芜,1.052,162,48,46,119,117,71,轻度污染,264.4516,25,2018-03
52,98,莱芜,0.947,188,0,38,143,116,52,良,252.2333,23,2018-04
53,105,莱芜,0.897,166,49,35,162,99,44,轻度污染,269.2581,17,2018-05
54,137,莱芜,0.97,201,61,26,200,91,42,轻度污染,291.0667,15,2018-06
55,95,莱芜,1.006,200,28,23,150,63,35,良,269.1935,11,2018-07
56,93,莱芜,1.016,161,18,22,147,55,33,良,189.2903,12,2018-08
57,75,莱芜,1.077,105,35,33,119,76,37,良,260.4000,14,2018-09
58,86,莱芜,0.971,138,53,49,109,112,53,良,271.9677,16,2018-10
59,139,莱芜,1.357,345,52,56,66,177,98,轻度污染,328.5667,20,2018-11
60,116,莱芜,1.413,251,52,52,47,148,83,轻度污染,278.3226,25,2018-12
61,200,莱芜,2.325,254,128,78,40,247,156,中度污染,320.7500,47,2019-01
