index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,134,莱西,0.8,134,134,57,40,218,76,轻度污染,110.0000,79,2013-12
1,150,莱西,0.926,353,49,45,52,162,116,轻度污染,98.0323,84,2014-01
2,98,莱西,0.793,203,37,29,90,101,70,良,88.4074,48,2014-02
3,98,莱西,0.768,150,55,46,113,128,67,良,108.0000,42,2014-03
4,92,莱西,0.553,146,56,25,142,98,54,良,109.2667,22,2014-04
5,112,莱西,0.523,202,53,28,172,78,53,轻度污染,130.2903,20,2014-05
6,102,莱西,0.293,170,62,21,158,56,44,轻度污染,130.1667,12,2014-06
7,110,莱西,0.558,182,49,18,167,68,49,轻度污染,141.1290,10,2014-07
8,80,莱西,0.529,133,27,25,133,55,37,良,113.5484,19,2014-08
9,68,莱西,0.473,121,35,26,118,50,32,良,96.7667,17,2014-09
10,75,莱西,0.558,131,41,28,116,77,45,良,67.5806,18,2014-10
11,119,莱西,1.007,279,37,34,71,127,89,轻度污染,123.4667,31,2014-11
12,114,莱西,1.242,340,42,41,49,120,83,轻度污染,102.7419,58,2014-12
13,112,莱西,1.342,311,32,32,55,109,84,轻度污染,169.0000,50,2015-01
14,109,莱西,1.318,208,40,31,74,115,78,轻度污染,221.9643,45,2015-02
15,95,莱西,0.926,180,39,31,94,119,68,良,237.2581,34,2015-03
16,83,莱西,0.653,154,47,24,127,92,49,良,210.0000,18,2015-04
17,79,莱西,0.494,109,50,22,131,75,38,良,203.9032,13,2015-05
18,90,莱西,0.46,138,48,18,146,67,37,良,267.8667,12,2015-06
19,69,莱西,0.345,116,33,16,120,48,28,良,186.8710,13,2015-07
20,74,莱西,0.539,142,23,22,125,59,35,良,213.7742,10,2015-08
21,81,莱西,0.513,151,42,26,134,57,33,良,247.9333,15,2015-09
22,89,莱西,0.732,167,42,34,118,100,58,良,234.5806,18,2015-10
23,85,莱西,0.953,198,29,30,64,83,62,良,203.0667,22,2015-11
24,125,莱西,1.635,362,30,40,52,134,95,轻度污染,220.0645,48,2015-12
25,113,莱西,1.465,302,32,41,58,120,84,轻度污染,201.0645,55,2016-01
26,89,莱西,1.262,195,33,30,79,92,64,良,194.8621,43,2016-02
27,85,莱西,0.974,164,41,26,113,99,51,良,186.1935,28,2016-03
28,117,莱西,0.64,390,62,30,152,128,52,轻度污染,286.6667,19,2016-04
29,101,莱西,0.561,159,49,24,156,81,40,轻度污染,271.3548,14,2016-05
30,91,莱西,0.46,155,47,20,148,56,28,良,270.8000,9,2016-06
31,76,莱西,0.606,110,38,13,126,51,24,良,237.5484,10,2016-07
32,69,莱西,0.59,181,27,20,118,42,18,良,198.2258,10,2016-08
33,84,莱西,0.64,173,35,25,138,57,31,良,236.1000,13,2016-09
34,58,莱西,0.703,84,36,28,94,61,34,良,181.1290,11,2016-10
35,82,莱西,1.15,150,33,38,63,98,58,良,191.4333,22,2016-11
36,106,莱西,1.348,246,32,46,51,117,78,轻度污染,181.4194,33,2016-12
37,109,莱西,1.613,259,36,40,56,114,81,轻度污染,195.9355,35,2017-01
38,86,莱西,1.096,200,0,32,83,90,60,良,174.0000,25,2017-02
39,61,莱西,0.623,122,0,25,88,66,41,良,161.5806,15,2017-03
40,82,莱西,0.687,126,0,27,133,82,39,良,230.4667,13,2017-04
41,109,莱西,0.497,185,48,20,158,93,36,轻度污染,248.2581,10,2017-05
42,96,莱西,0.45,203,49,20,153,62,30,良,247.1000,9,2017-06
43,82,莱西,0.413,149,42,14,135,61,37,良,231.9677,7,2017-07
44,64,莱西,0.5,128,34,15,111,44,25,良,193.0323,6,2017-08
45,91,莱西,0.557,135,43,21,146,64,35,良,273.5667,10,2017-09
46,63,莱西,0.61,127,30,24,99,64,39,良,180.4516,11,2017-10
47,76,莱西,0.92,156,32,33,70,90,48,良,173.4333,17,2017-11
48,91,莱西,1.348,232,30,46,34,111,65,良,186.5484,28,2017-12
49,89,莱西,1.335,222,31,40,57,103,63,良,168.9032,24,2018-01
50,78,莱西,1.325,134,42,26,78,85,53,良,168.7143,24,2018-02
51,73,莱西,0.752,129,39,24,105,86,47,良,155.4333,13,2018-03
52,83,莱西,0.663,150,46,26,124,94,37,良,176.0000,11,2018-04
53,83,莱西,0.577,143,46,18,139,70,33,良,202.4333,8,2018-05
54,92,莱西,0.547,166,46,17,148,51,30,良,214.0000,9,2018-06
55,52,莱西,0.4,99,23,11,92,40,21,良,138.7742,5,2018-07
56,63,莱西,0.529,121,31,11,109,41,20,良,162.3548,5,2018-08
57,78,莱西,0.623,133,40,20,130,53,28,良,253.8519,7,2018-09
58,69,莱西,0.732,132,33,28,113,68,37,良,192.9032,9,2018-10
59,108,莱西,1.203,330,34,37,82,123,69,轻度污染,260.3000,12,2018-11
60,86,莱西,1.2,196,32,35,59,96,59,良,194.1200,19,2018-12
61,165,莱西,2.1,236,82,55,63,168,127,中度污染,276.0000,35,2019-01
