index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,255,菏泽,2.8,456,114,74,55,291,210,重度污染,92.8333,108,2013-12
1,241,菏泽,2.326,405,93,68,74,281,196,重度污染,159.0000,96,2014-01
2,174,菏泽,1.643,327,72,45,99,175,136,中度污染,155.5000,86,2014-02
3,134,菏泽,1.384,359,78,44,140,167,90,轻度污染,141.2903,58,2014-03
4,123,菏泽,1.383,292,53,41,131,152,88,轻度污染,144.8000,44,2014-04
5,108,菏泽,1.248,151,76,29,149,155,66,轻度污染,132.8065,41,2014-05
6,115,菏泽,1.24,235,60,26,148,125,78,轻度污染,144.6333,40,2014-06
7,100,菏泽,1.294,158,51,24,154,90,56,良,132.8387,27,2014-07
8,95,菏泽,1.284,146,45,27,141,98,65,良,142.1290,29,2014-08
9,93,菏泽,1.46,193,34,34,107,97,66,良,140.0333,30,2014-09
10,148,菏泽,1.484,265,69,53,107,177,112,轻度污染,162.2903,45,2014-10
11,173,菏泽,1.833,448,84,60,64,204,134,中度污染,167.9667,57,2014-11
12,150,菏泽,2.0,244,91,58,58,205,109,中度污染,169.0323,81,2014-12
13,188,菏泽,2.152,378,95,59,53,223,148,中度污染,313.1935,75,2015-01
14,154,菏泽,2.125,237,83,40,70,188,116,中度污染,312.5714,57,2015-02
15,130,菏泽,1.719,227,70,38,93,173,93,轻度污染,313.3226,45,2015-03
16,103,菏泽,1.62,160,56,32,114,127,69,轻度污染,277.5667,33,2015-04
17,122,菏泽,1.455,201,73,27,170,123,79,轻度污染,319.7419,37,2015-05
18,113,菏泽,1.31,226,49,29,148,130,75,轻度污染,306.7000,27,2015-06
19,95,菏泽,1.403,140,44,29,140,93,61,良,281.5806,21,2015-07
20,74,菏泽,1.384,148,52,28,115,81,50,良,218.7097,22,2015-08
21,95,菏泽,1.617,155,45,37,107,119,68,良,283.0000,31,2015-09
22,144,菏泽,1.555,232,76,55,94,187,105,轻度污染,338.1290,46,2015-10
23,145,菏泽,1.843,288,27,42,60,160,112,轻度污染,301.4667,36,2015-11
24,197,菏泽,2.426,500,73,61,61,249,154,中度污染,314.5484,51,2015-12
25,183,菏泽,2.155,467,76,53,66,219,141,中度污染,322.0968,58,2016-01
26,141,菏泽,1.797,298,60,35,121,172,102,轻度污染,308.4828,44,2016-02
27,145,菏泽,1.403,249,67,42,167,194,97,轻度污染,329.5806,39,2016-03
28,134,菏泽,1.393,268,83,31,153,170,82,轻度污染,329.3667,32,2016-04
29,97,菏泽,1.171,252,59,27,134,113,53,良,260.5484,30,2016-05
30,105,菏泽,1.127,157,60,27,164,97,47,轻度污染,307.3333,27,2016-06
31,85,菏泽,1.184,132,48,18,129,75,46,良,274.5806,24,2016-07
32,81,菏泽,1.132,130,35,23,123,79,46,良,265.4194,24,2016-08
33,111,菏泽,1.267,176,64,39,157,125,67,轻度污染,321.8667,36,2016-09
34,78,菏泽,1.232,140,44,41,77,90,51,良,275.6452,27,2016-10
35,124,菏泽,1.57,221,36,44,58,153,92,轻度污染,283.7000,35,2016-11
36,192,菏泽,2.084,453,83,56,53,215,152,中度污染,315.0645,41,2016-12
37,159,菏泽,2.258,254,60,49,60,186,119,中度污染,284.1613,36,2017-01
38,140,菏泽,1.614,277,64,44,95,172,105,轻度污染,282.1071,39,2017-02
39,105,菏泽,1.452,178,70,44,113,141,73,轻度污染,258.8065,37,2017-03
40,97,菏泽,1.253,145,64,35,121,126,61,良,249.6667,25,2017-04
41,137,菏泽,0.984,500,61,31,156,112,45,轻度污染,263.0323,21,2017-05
42,117,菏泽,1.167,200,52,31,174,110,51,轻度污染,280.6667,18,2017-06
43,85,菏泽,1.206,128,37,22,137,70,39,良,219.5161,11,2017-07
44,87,菏泽,1.126,173,35,26,139,73,38,良,256.1613,13,2017-08
45,96,菏泽,1.13,169,40,36,147,101,51,良,279.0000,14,2017-09
46,92,菏泽,1.352,205,28,46,90,119,63,良,242.9355,17,2017-10
47,109,菏泽,1.363,174,58,54,78,158,73,轻度污染,257.7333,20,2017-11
48,145,菏泽,2.287,333,72,58,34,191,109,轻度污染,255.0323,20,2017-12
49,147,菏泽,1.881,366,55,49,62,175,111,轻度污染,259.9032,15,2018-01
50,118,菏泽,1.593,222,74,34,92,152,80,轻度污染,270.0357,18,2018-02
51,93,菏泽,1.31,202,52,33,114,117,56,良,239.6774,11,2018-03
52,105,菏泽,1.167,190,34,32,131,141,41,轻度污染,249.7000,12,2018-04
53,105,菏泽,1.1,192,53,33,155,115,43,轻度污染,260.5161,13,2018-05
54,141,菏泽,1.02,203,47,34,203,96,38,轻度污染,293.6667,10,2018-06
55,95,菏泽,1.023,184,46,26,150,68,34,良,255.1935,9,2018-07
56,87,菏泽,1.045,165,27,25,141,66,35,良,234.6452,9,2018-08
57,77,菏泽,0.9,115,39,33,119,77,34,良,279.1667,12,2018-09
58,91,菏泽,0.952,151,62,46,114,118,51,良,278.2581,17,2018-10
59,124,菏泽,1.133,313,45,43,69,157,93,轻度污染,302.5333,12,2018-11
60,142,菏泽,1.2,275,61,52,41,180,104,轻度污染,317.2903,18,2018-12
61,227,菏泽,1.625,317,183,61,55,233,179,重度污染,329.2500,20,2019-01
