index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,83,萍乡,1.3,83,83,44,59,117,58,良,171.0000,45,2014-12
1,142,萍乡,1.626,259,34,40,35,162,108,轻度污染,260.8065,41,2015-01
2,107,萍乡,1.382,201,21,26,41,119,80,轻度污染,214.1429,25,2015-02
3,62,萍乡,1.123,95,35,21,37,72,42,良,132.9032,19,2015-03
4,69,萍乡,1.087,119,24,21,73,84,47,良,150.2667,24,2015-04
5,68,萍乡,1.084,139,31,12,81,77,47,良,147.2258,25,2015-05
6,48,萍乡,0.897,80,24,9,67,49,28,优,104.0333,21,2015-06
7,49,萍乡,0.832,72,29,12,69,53,30,优,101.5806,21,2015-07
8,63,萍乡,0.823,114,34,16,91,66,39,良,167.0000,26,2015-08
9,74,萍乡,0.827,100,32,17,110,77,49,良,233.4667,27,2015-09
10,89,萍乡,1.003,152,34,20,109,112,64,良,237.2258,40,2015-10
11,69,萍乡,1.357,120,35,18,30,74,49,良,178.2667,27,2015-11
12,106,萍乡,1.361,198,35,24,23,114,79,轻度污染,220.0645,27,2015-12
13,112,萍乡,1.542,232,50,24,32,119,84,轻度污染,244.1290,26,2016-01
14,110,萍乡,1.417,362,35,17,81,123,83,轻度污染,255.1034,27,2016-02
15,95,萍乡,1.384,170,26,27,93,114,69,良,219.8387,36,2016-03
16,66,萍乡,1.253,114,32,21,82,73,46,良,154.9667,28,2016-04
17,72,萍乡,1.435,127,36,19,93,74,47,良,178.8387,28,2016-05
18,61,萍乡,1.42,103,34,13,98,56,33,良,156.5000,29,2016-06
19,55,萍乡,1.597,109,32,13,80,51,29,良,158.9355,29,2016-07
20,60,萍乡,1.252,107,31,15,90,61,36,良,164.4516,32,2016-08
21,80,萍乡,1.41,147,25,23,110,86,55,良,223.4333,37,2016-09
22,71,萍乡,1.377,129,19,23,49,79,48,良,234.6452,26,2016-10
23,80,萍乡,1.427,172,25,25,33,91,58,良,184.4333,29,2016-11
24,129,萍乡,1.781,215,46,33,44,149,97,轻度污染,261.4839,36,2016-12
25,130,萍乡,1.723,284,51,26,43,114,82,轻度污染,250.8387,24,2017-01
26,100,萍乡,1.586,253,32,25,56,110,75,良,200.0000,22,2017-02
27,76,萍乡,1.381,226,28,24,47,81,54,良,154.0000,19,2017-03
28,69,萍乡,1.383,116,22,22,75,86,43,良,162.9333,25,2017-04
29,72,萍乡,1.174,172,35,19,87,74,41,良,181.8710,24,2017-05
30,48,萍乡,1.233,105,29,23,73,42,27,优,123.0667,17,2017-06
31,48,萍乡,1.042,89,22,20,80,52,23,优,151.4194,13,2017-07
32,51,萍乡,1.068,97,29,18,85,52,23,良,178.7097,15,2017-08
33,78,萍乡,1.167,161,45,22,117,74,40,良,215.2000,24,2017-09
34,63,萍乡,1.116,109,21,30,81,74,42,良,169.7097,24,2017-10
35,88,萍乡,1.46,129,43,45,61,100,65,良,207.4667,29,2017-11
36,121,萍乡,1.89,210,39,47,30,137,91,轻度污染,233.5161,36,2017-12
37,112,萍乡,1.645,292,33,37,33,121,85,轻度污染,226.5806,30,2018-01
38,98,萍乡,1.496,275,33,32,72,113,73,良,217.1786,19,2018-02
39,61,萍乡,1.506,109,0,30,76,66,42,良,140.1290,22,2018-03
40,58,萍乡,1.297,94,0,25,94,64,37,良,127.7333,19,2018-04
41,55,萍乡,1.132,90,0,20,98,44,27,良,114.2581,16,2018-05
42,58,萍乡,1.257,132,28,17,99,38,24,良,101.3333,11,2018-06
43,51,萍乡,1.342,79,25,21,90,46,21,良,155.1935,18,2018-07
44,62,萍乡,1.039,111,26,16,110,45,20,良,158.3871,17,2018-08
45,60,萍乡,1.253,93,26,18,102,55,26,良,206.1000,17,2018-09
46,73,萍乡,1.313,120,32,30,104,73,40,良,206.7742,19,2018-10
47,60,萍乡,1.6,107,26,31,54,69,40,良,150.1667,19,2018-11
48,82,萍乡,1.665,213,27,29,26,82,59,良,190.2903,16,2018-12
49,61,萍乡,1.275,75,30,18,16,56,44,良,139.2500,9,2019-01
