index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,92,葫芦岛,2.53,206,34,40,51,116,66,良,28.8000,98,2013-12
1,109,葫芦岛,3.116,200,43,43,49,129,80,轻度污染,72.2581,110,2014-01
2,113,葫芦岛,2.264,293,34,45,66,130,83,轻度污染,110.5714,110,2014-02
3,91,葫芦岛,1.613,186,47,46,85,110,63,良,86.1613,63,2014-03
4,91,葫芦岛,1.897,163,60,45,98,120,55,良,107.4000,34,2014-04
5,84,葫芦岛,1.29,149,48,40,112,101,48,良,84.2258,27,2014-05
6,71,葫芦岛,0.743,179,25,34,103,76,44,良,75.7333,19,2014-06
7,98,葫芦岛,0.845,196,52,32,138,96,60,良,123.6129,17,2014-07
8,84,葫芦岛,0.948,172,36,36,138,82,39,良,121.0323,22,2014-08
9,71,葫芦岛,0.927,115,39,43,118,66,26,良,102.3333,30,2014-09
10,95,葫芦岛,1.571,205,42,44,88,137,53,良,97.4194,45,2014-10
11,88,葫芦岛,2.163,177,51,47,47,116,57,良,94.5333,77,2014-11
12,81,葫芦岛,2.235,249,22,42,36,102,58,良,58.5484,88,2014-12
13,93,葫芦岛,1.958,188,44,42,34,126,60,良,167.1290,94,2015-01
14,111,葫芦岛,1.796,231,47,39,45,147,76,轻度污染,225.6429,80,2015-02
15,101,葫芦岛,1.652,188,39,42,54,141,63,轻度污染,253.8387,53,2015-03
16,91,葫芦岛,1.408,158,41,40,81,122,56,良,238.0833,35,2015-04
17,100,葫芦岛,1.126,202,38,33,137,87,45,轻度污染,235.2903,28,2015-05
18,88,葫芦岛,0.877,174,45,26,143,58,41,良,259.7333,22,2015-06
19,83,葫芦岛,0.887,126,45,22,136,62,43,良,253.8065,17,2015-07
20,90,葫芦岛,1.116,180,38,26,137,73,50,良,242.7419,24,2015-08
21,71,葫芦岛,1.093,127,29,33,113,62,34,良,214.9000,30,2015-09
22,67,葫芦岛,1.361,127,34,38,97,62,34,良,136.2258,30,2015-10
23,86,葫芦岛,2.153,195,33,45,60,98,58,良,198.1667,69,2015-11
24,111,葫芦岛,2.629,308,36,53,45,125,78,轻度污染,203.0645,103,2015-12
25,80,葫芦岛,1.835,129,43,44,59,97,51,良,182.7419,94,2016-01
26,79,葫芦岛,1.545,258,39,36,76,91,50,良,170.3103,68,2016-02
27,100,葫芦岛,1.435,216,38,45,87,131,63,轻度污染,202.9677,56,2016-03
28,96,葫芦岛,0.957,393,50,35,115,122,41,良,229.7333,31,2016-04
29,108,葫芦岛,1.165,196,59,32,166,81,33,轻度污染,281.7419,29,2016-05
30,104,葫芦岛,1.153,160,65,25,162,59,38,轻度污染,297.5000,20,2016-06
31,88,葫芦岛,0.984,134,48,21,143,67,40,良,280.9677,14,2016-07
32,83,葫芦岛,1.026,148,34,29,137,50,29,良,252.4516,25,2016-08
33,77,葫芦岛,1.157,150,31,31,127,53,32,良,206.9333,26,2016-09
34,67,葫芦岛,1.352,144,35,34,85,70,40,良,202.6774,37,2016-10
35,92,葫芦岛,1.527,192,52,48,60,102,65,良,224.6333,76,2016-11
36,114,葫芦岛,2.006,347,37,49,53,129,82,轻度污染,186.3871,89,2016-12
37,113,葫芦岛,2.181,353,42,47,59,120,84,轻度污染,201.4516,100,2017-01
38,96,葫芦岛,1.646,291,43,37,77,97,68,良,170.0357,76,2017-02
39,77,葫芦岛,1.242,177,40,39,91,84,52,良,192.5806,56,2017-03
40,83,葫芦岛,1.153,165,52,33,111,101,45,良,207.5333,31,2017-04
41,101,葫芦岛,1.216,200,50,23,143,68,32,轻度污染,181.8065,18,2017-05
42,110,葫芦岛,1.21,205,39,32,168,70,43,轻度污染,240.3667,26,2017-06
43,120,葫芦岛,0.897,206,53,23,180,60,42,轻度污染,236.3548,18,2017-07
44,70,葫芦岛,0.913,137,33,24,121,46,26,良,179.3548,23,2017-08
45,78,葫芦岛,0.997,140,35,32,129,65,32,良,194.2667,32,2017-09
46,76,葫芦岛,1.332,205,26,39,77,81,47,良,205.4194,33,2017-10
47,67,葫芦岛,1.393,134,35,40,65,73,34,良,136.9333,54,2017-11
48,81,葫芦岛,1.677,160,44,46,32,91,55,良,150.6774,76,2017-12
49,78,葫芦岛,1.597,149,44,44,61,86,53,良,161.2581,74,2018-01
50,90,葫芦岛,1.557,208,39,37,78,94,64,良,187.0714,68,2018-02
51,93,葫芦岛,1.384,213,0,39,105,90,63,良,213.8387,60,2018-03
52,75,葫芦岛,1.017,165,0,30,133,71,33,良,176.0667,30,2018-04
53,82,葫芦岛,0.984,150,0,26,142,69,31,良,207.2903,27,2018-05
54,103,葫芦岛,0.907,201,60,22,161,52,32,轻度污染,228.7333,16,2018-06
55,61,葫芦岛,0.806,110,34,17,107,42,28,良,193.2903,10,2018-07
56,67,葫芦岛,0.884,108,24,26,114,44,23,良,182.7742,25,2018-08
57,56,葫芦岛,0.757,102,31,26,98,44,23,良,182.3000,20,2018-09
58,64,葫芦岛,1.0,149,28,34,80,66,36,良,177.7742,21,2018-10
59,93,葫芦岛,1.337,249,39,43,52,107,63,良,244.7333,45,2018-11
60,74,葫芦岛,1.206,175,38,40,50,82,48,良,190.1290,48,2018-12
61,113,葫芦岛,2.0,147,89,55,48,118,85,轻度污染,253.5000,64,2019-01
