index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,117,蓬莱,0.6,117,117,35,49,184,60,轻度污染,78.0000,24,2013-12
1,98,蓬莱,1.661,263,35,35,62,120,72,良,54.4839,46,2014-01
2,84,蓬莱,1.8,197,37,25,86,90,57,良,73.9286,28,2014-02
3,93,蓬莱,2.09,218,51,30,98,123,63,良,93.1290,21,2014-03
4,92,蓬莱,1.35,153,57,31,130,112,53,良,105.0667,20,2014-04
5,95,蓬莱,1.055,170,51,40,149,95,45,良,108.0000,17,2014-05
6,78,蓬莱,1.473,138,42,34,128,62,36,良,90.8000,11,2014-06
7,103,蓬莱,2.065,171,41,28,162,64,39,轻度污染,138.0323,12,2014-07
8,89,蓬莱,2.597,143,30,26,145,57,35,良,127.4516,12,2014-08
9,77,蓬莱,3.173,172,40,25,131,48,32,良,114.1333,11,2014-09
10,73,蓬莱,2.626,134,38,26,116,59,42,良,64.7742,13,2014-10
11,93,蓬莱,2.023,247,38,37,77,83,66,良,79.7333,28,2014-11
12,74,蓬莱,2.4,218,29,39,59,66,50,良,57.8710,38,2014-12
13,77,蓬莱,2.49,275,27,34,56,69,55,良,101.1290,30,2015-01
14,77,蓬莱,1.05,192,37,37,75,89,50,良,139.4643,28,2015-02
15,80,蓬莱,1.281,187,38,38,93,102,49,良,184.7742,25,2015-03
16,74,蓬莱,1.097,149,40,31,114,80,40,良,171.0667,18,2015-04
17,80,蓬莱,0.797,144,39,37,133,70,33,良,195.3548,16,2015-05
18,89,蓬莱,0.787,162,46,23,145,64,35,良,259.3000,11,2015-06
19,71,蓬莱,0.835,124,38,26,122,53,31,良,194.5484,10,2015-07
20,81,蓬莱,0.842,155,36,24,134,62,37,良,229.0968,10,2015-08
21,82,蓬莱,0.797,139,39,27,137,50,27,良,261.9333,12,2015-09
22,76,蓬莱,0.997,148,34,26,108,80,43,良,177.9032,15,2015-10
23,90,蓬莱,0.997,218,35,31,69,81,65,良,225.6000,17,2015-11
24,103,蓬莱,1.39,301,30,41,53,103,77,轻度污染,184.4839,26,2015-12
25,78,蓬莱,1.329,208,32,38,64,79,51,良,136.1613,28,2016-01
26,65,蓬莱,1.455,137,42,31,81,67,41,良,127.4828,26,2016-02
27,80,蓬莱,1.803,149,41,30,105,96,51,良,166.0323,22,2016-03
28,94,蓬莱,1.647,187,53,29,124,115,52,良,244.6000,15,2016-04
29,81,蓬莱,0.932,144,49,28,132,74,40,良,211.2581,13,2016-05
30,77,蓬莱,0.773,131,41,20,131,51,29,良,217.4000,10,2016-06
31,61,蓬莱,0.855,115,28,19,110,43,24,良,181.7742,8,2016-07
32,69,蓬莱,0.603,137,35,18,120,37,20,良,206.0323,11,2016-08
33,84,蓬莱,0.85,173,43,19,139,46,26,良,236.7000,12,2016-09
34,53,蓬莱,0.935,97,35,22,92,50,27,良,144.1290,11,2016-10
35,69,蓬莱,1.193,152,33,30,66,78,46,良,144.5000,13,2016-11
36,79,蓬莱,1.387,198,32,28,62,81,54,良,110.9032,13,2016-12
37,83,蓬莱,1.797,246,33,27,61,84,59,良,132.4839,17,2017-01
38,72,蓬莱,1.732,169,36,27,75,80,48,良,125.8571,18,2017-02
39,64,蓬莱,1.2,107,40,30,99,74,38,良,134.8065,17,2017-03
40,88,蓬莱,1.18,139,47,27,142,83,43,良,237.3000,15,2017-04
41,97,蓬莱,1.003,201,42,21,145,86,42,良,204.9677,13,2017-05
42,94,蓬莱,0.913,201,40,18,147,59,38,良,229.3333,11,2017-06
43,82,蓬莱,0.777,189,36,14,136,47,29,良,216.3226,7,2017-07
44,53,蓬莱,0.648,107,23,14,96,32,19,良,129.0000,4,2017-08
45,110,蓬莱,0.887,202,43,15,169,53,29,轻度污染,305.8667,10,2017-09
46,56,蓬莱,0.881,98,36,19,100,47,27,良,164.3226,10,2017-10
47,52,蓬莱,1.173,97,33,23,73,56,27,良,79.1667,11,2017-11
48,58,蓬莱,1.442,118,18,26,34,60,38,良,71.9677,15,2017-12
49,65,蓬莱,1.6,175,30,30,60,71,40,良,98.1935,16,2018-01
50,61,蓬莱,1.943,137,38,20,85,60,37,良,102.9643,12,2018-02
51,82,蓬莱,0.952,146,43,25,130,66,44,良,187.7667,10,2018-03
52,75,蓬莱,1.097,139,42,24,119,77,32,良,151.8000,9,2018-04
53,75,蓬莱,0.745,143,41,23,125,66,31,良,167.0333,8,2018-05
54,79,蓬莱,0.713,140,40,18,131,47,28,良,179.2333,7,2018-06
55,53,蓬莱,0.706,120,26,16,92,41,24,良,143.8387,7,2018-07
56,82,蓬莱,0.632,146,36,15,135,42,22,良,239.1613,7,2018-08
57,70,蓬莱,0.8,146,37,19,120,40,21,良,210.1852,7,2018-09
58,61,蓬莱,0.848,102,32,22,104,51,30,良,155.1290,8,2018-10
59,77,蓬莱,1.017,369,34,31,84,90,45,良,177.9333,9,2018-11
60,58,蓬莱,1.152,127,36,28,66,60,35,良,120.4400,12,2018-12
61,87,蓬莱,1.9,134,53,52,68,98,63,良,153.6667,21,2019-01
