index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,72,蚌埠,0.7,72,72,26,61,93,24,良,131.0000,18,2014-12
1,101,蚌埠,1.348,205,36,46,51,105,75,轻度污染,182.4516,33,2015-01
2,99,蚌埠,1.45,191,29,30,62,96,73,良,191.9643,26,2015-02
3,77,蚌埠,1.326,121,32,37,75,77,54,良,178.5484,22,2015-03
4,78,蚌埠,1.153,130,45,39,90,90,55,良,193.6000,18,2015-04
5,89,蚌埠,0.887,142,66,25,101,100,65,良,249.4516,22,2015-05
6,73,蚌埠,0.717,148,28,28,98,78,50,良,201.9667,30,2015-06
7,67,蚌埠,0.658,152,32,25,91,64,48,良,182.7419,29,2015-07
8,69,蚌埠,0.739,104,23,28,103,74,48,良,197.8065,17,2015-08
9,78,蚌埠,0.76,134,50,33,118,77,53,良,248.6667,22,2015-09
10,105,蚌埠,0.939,233,44,43,126,119,76,轻度污染,273.0000,29,2015-10
11,106,蚌埠,1.117,218,36,35,72,100,79,轻度污染,264.3333,28,2015-11
12,118,蚌埠,1.384,288,41,37,58,113,88,轻度污染,217.3548,34,2015-12
13,132,蚌埠,1.052,286,49,27,53,127,100,轻度污染,265.0323,23,2016-01
14,98,蚌埠,1.0,175,32,32,78,102,72,良,227.4483,24,2016-02
15,96,蚌埠,0.926,186,34,35,93,98,70,良,208.7742,23,2016-03
16,88,蚌埠,0.787,129,35,50,126,104,59,良,247.8000,23,2016-04
17,87,蚌埠,0.674,129,50,37,132,81,53,良,236.1935,20,2016-05
18,72,蚌埠,0.663,114,38,34,112,66,42,良,207.2333,19,2016-06
19,59,蚌埠,0.6,100,36,28,86,61,39,良,178.1613,19,2016-07
20,63,蚌埠,0.671,106,34,30,105,59,34,良,188.2903,22,2016-08
21,91,蚌埠,0.767,135,34,34,139,84,48,良,270.1333,23,2016-09
22,61,蚌埠,0.694,108,33,36,65,66,40,良,192.5806,16,2016-10
23,94,蚌埠,0.917,250,39,50,66,110,68,良,226.7667,20,2016-11
24,132,蚌埠,1.265,234,47,57,61,144,99,轻度污染,246.9677,24,2016-12
25,120,蚌埠,1.271,238,42,49,64,121,90,轻度污染,231.2581,28,2017-01
26,116,蚌埠,1.021,188,54,46,91,122,88,轻度污染,243.6429,24,2017-02
27,92,蚌埠,0.884,152,41,45,108,113,67,良,241.5484,22,2017-03
28,98,蚌埠,0.887,142,51,37,134,112,58,良,253.5000,20,2017-04
29,125,蚌埠,0.752,500,55,33,158,88,42,轻度污染,233.7742,20,2017-05
30,103,蚌埠,0.733,162,44,27,162,91,50,轻度污染,269.5000,16,2017-06
31,68,蚌埠,0.629,116,28,23,114,63,36,良,210.2258,11,2017-07
32,67,蚌埠,0.716,106,32,24,117,53,34,良,209.0000,14,2017-08
33,72,蚌埠,0.797,130,32,31,115,60,38,良,188.7000,18,2017-09
34,74,蚌埠,0.794,190,30,45,104,76,49,良,190.9032,19,2017-10
35,96,蚌埠,0.907,180,37,57,77,121,70,良,223.6667,23,2017-11
36,137,蚌埠,1.2,279,52,62,33,144,98,轻度污染,242.0645,26,2017-12
37,130,蚌埠,1.142,229,42,51,68,124,98,轻度污染,236.9677,22,2018-01
38,92,蚌埠,0.818,180,43,40,82,90,60,良,209.5000,16,2018-02
39,88,蚌埠,0.771,168,43,39,111,92,63,良,232.5484,15,2018-03
40,85,蚌埠,0.667,149,0,36,137,95,50,良,224.8333,17,2018-04
41,76,蚌埠,0.677,134,0,31,139,62,40,良,195.8710,14,2018-05
42,116,蚌埠,0.667,202,55,27,176,69,40,轻度污染,264.0667,16,2018-06
43,73,蚌埠,0.526,131,26,24,121,54,30,良,215.0000,13,2018-07
44,77,蚌埠,0.61,162,31,26,128,48,29,良,187.9355,13,2018-08
45,70,蚌埠,0.617,105,46,33,117,60,32,良,224.7333,15,2018-09
46,84,蚌埠,0.623,162,50,43,125,85,44,良,219.7097,17,2018-10
47,98,蚌埠,0.833,233,26,45,79,100,72,良,244.6000,15,2018-11
48,99,蚌埠,0.877,201,46,48,53,108,71,良,247.6129,14,2018-12
49,147,蚌埠,1.075,175,112,54,55,149,111,轻度污染,281.2500,18,2019-01
