index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,227,衡水,1.896,495,103,77,32,304,180,重度污染,90.9630,98,2013-12
1,240,衡水,2.429,417,83,67,39,301,193,重度污染,155.6129,90,2014-01
2,188,衡水,1.671,407,45,44,68,216,145,中度污染,157.7143,67,2014-02
3,166,衡水,1.239,324,82,45,94,229,118,中度污染,164.0000,52,2014-03
4,128,衡水,0.877,231,82,37,122,182,85,轻度污染,159.2333,30,2014-04
5,136,衡水,0.748,203,62,33,176,199,66,轻度污染,162.9677,33,2014-05
6,138,衡水,0.777,204,93,29,192,128,69,轻度污染,170.7667,23,2014-06
7,117,衡水,0.852,225,54,26,149,131,81,轻度污染,147.1935,14,2014-07
8,120,衡水,0.913,188,52,27,167,134,77,轻度污染,166.9677,17,2014-08
9,124,衡水,1.123,242,53,36,123,132,88,轻度污染,168.1000,24,2014-09
10,157,衡水,1.119,255,66,55,107,198,116,中度污染,156.4194,35,2014-10
11,161,衡水,1.514,356,60,57,57,216,119,中度污染,156.4138,39,2014-11
12,161,衡水,1.881,277,74,62,40,228,115,中度污染,168.2258,79,2014-12
13,190,衡水,2.59,490,74,70,45,251,144,中度污染,301.2903,78,2015-01
14,156,衡水,2.1,323,66,46,76,213,115,中度污染,295.7500,55,2015-02
15,143,衡水,1.11,331,61,42,112,213,87,轻度污染,323.4516,40,2015-03
16,109,衡水,0.89,172,66,30,143,147,70,轻度污染,301.3000,29,2015-04
17,110,衡水,0.971,160,57,28,158,135,63,轻度污染,296.9032,23,2015-05
18,120,衡水,0.847,169,68,27,173,131,68,轻度污染,330.9333,19,2015-06
19,116,衡水,0.942,202,76,25,150,112,79,轻度污染,323.7419,16,2015-07
20,107,衡水,1.061,212,51,29,112,107,76,轻度污染,291.9355,16,2015-08
21,105,衡水,1.317,213,45,42,132,124,72,轻度污染,288.6333,22,2015-09
22,129,衡水,1.184,319,64,52,103,181,89,轻度污染,293.0645,32,2015-10
23,148,衡水,1.75,390,36,50,53,179,114,轻度污染,307.3667,36,2015-11
24,241,衡水,3.265,500,53,82,38,306,206,重度污染,318.6774,69,2015-12
25,170,衡水,2.248,420,64,63,50,184,134,中度污染,302.4194,63,2016-01
26,122,衡水,1.997,252,41,51,78,131,91,轻度污染,268.6552,55,2016-02
27,136,衡水,1.794,270,61,48,103,179,95,轻度污染,303.0968,34,2016-03
28,112,衡水,0.82,198,59,39,133,145,73,轻度污染,301.8000,28,2016-04
29,107,衡水,0.732,182,58,32,160,100,56,轻度污染,289.2903,21,2016-05
30,127,衡水,0.71,201,85,26,184,91,59,轻度污染,341.6667,18,2016-06
31,118,衡水,0.823,195,42,30,144,108,84,轻度污染,327.0323,15,2016-07
32,93,衡水,0.816,135,43,31,124,75,56,良,292.2581,17,2016-08
33,114,衡水,0.917,211,58,44,159,103,48,轻度污染,312.8667,19,2016-09
34,105,衡水,1.1,207,60,50,81,125,75,轻度污染,319.4194,17,2016-10
35,154,衡水,1.63,350,43,61,47,211,115,中度污染,313.2333,32,2016-11
36,206,衡水,2.168,468,77,64,35,268,159,重度污染,326.4516,37,2016-12
37,198,衡水,2.581,395,65,57,40,268,153,中度污染,303.1290,42,2017-01
38,144,衡水,1.379,289,57,54,77,171,109,轻度污染,250.9286,37,2017-02
39,105,衡水,0.894,187,59,51,100,134,74,轻度污染,255.9677,23,2017-03
40,104,衡水,0.8,206,73,40,117,146,63,轻度污染,272.9667,22,2017-04
41,150,衡水,0.777,500,68,28,173,134,46,轻度污染,273.2258,16,2017-05
42,131,衡水,0.75,190,53,27,193,113,58,轻度污染,282.8000,13,2017-06
43,108,衡水,0.839,180,54,22,145,85,62,轻度污染,261.4516,10,2017-07
44,89,衡水,0.752,153,42,25,133,78,50,良,255.7742,9,2017-08
45,99,衡水,0.767,135,50,32,151,102,54,良,260.4000,11,2017-09
46,99,衡水,1.032,244,30,43,72,107,73,良,237.8065,7,2017-10
47,104,衡水,1.047,204,52,51,54,129,74,轻度污染,231.5667,16,2017-11
48,134,衡水,1.6,311,51,55,26,143,97,轻度污染,216.3226,22,2017-12
49,120,衡水,1.381,303,42,48,52,135,90,轻度污染,230.3548,22,2018-01
50,123,衡水,1.3,315,0,33,87,133,93,轻度污染,219.7143,24,2018-02
51,103,衡水,1.032,247,0,37,113,118,73,轻度污染,244.3871,13,2018-03
52,93,衡水,0.673,177,0,29,138,103,49,良,227.1333,12,2018-04
53,98,衡水,0.577,154,61,22,151,83,44,良,268.4194,11,2018-05
54,134,衡水,0.643,191,53,23,196,79,41,轻度污染,109.3667,13,2018-06
55,95,衡水,0.571,164,40,15,145,63,46,良,281.9677,8,2018-07
56,91,衡水,0.752,138,26,20,144,53,37,良,215.1290,10,2018-08
57,74,衡水,0.75,110,51,29,114,62,36,良,227.0333,12,2018-09
58,82,衡水,0.823,155,51,41,102,93,53,良,231.0000,12,2018-10
59,123,衡水,1.083,285,52,45,61,147,90,轻度污染,307.4333,14,2018-11
60,114,衡水,1.381,253,52,50,44,143,82,轻度污染,285.0000,21,2018-12
61,234,衡水,2.275,318,186,79,36,240,185,重度污染,345.0000,39,2019-01
