index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,110,衡阳,0.8,110,110,52,112,170,83,轻度污染,268.0000,35,2014-12
1,133,衡阳,1.274,278,20,45,56,145,100,轻度污染,246.5484,39,2015-01
2,116,衡阳,1.35,216,24,37,67,122,86,轻度污染,218.1786,27,2015-02
3,68,衡阳,1.181,140,35,32,52,73,48,良,151.2258,20,2015-03
4,71,衡阳,0.953,104,28,27,101,78,47,良,167.1333,21,2015-04
5,76,衡阳,1.029,131,42,21,107,80,52,良,188.8710,15,2015-05
6,51,衡阳,0.88,108,34,15,89,47,28,良,117.5000,15,2015-06
7,57,衡阳,0.958,94,31,18,97,58,35,良,139.4516,12,2015-07
8,68,衡阳,0.935,129,33,18,107,69,39,良,192.5161,14,2015-08
9,74,衡阳,0.97,113,34,24,110,80,48,良,231.9000,14,2015-09
10,90,衡阳,1.155,137,32,37,107,108,65,良,234.5806,18,2015-10
11,55,衡阳,1.37,104,28,34,32,56,35,良,114.2667,11,2015-11
12,91,衡阳,1.239,198,34,40,32,94,66,良,175.4194,17,2015-12
13,98,衡阳,1.442,203,44,40,37,99,71,良,210.5161,18,2016-01
14,97,衡阳,1.234,329,34,36,72,104,72,良,232.5517,21,2016-02
15,87,衡阳,1.219,163,31,40,71,95,64,良,194.1613,19,2016-03
16,62,衡阳,1.14,128,30,31,65,63,42,良,126.4333,13,2016-04
17,60,衡阳,0.958,100,32,24,86,64,40,良,123.8387,11,2016-05
18,57,衡阳,0.823,107,31,19,98,53,29,良,134.9667,11,2016-06
19,53,衡阳,0.777,94,24,18,91,49,25,良,140.4516,11,2016-07
20,68,衡阳,0.981,137,33,20,110,61,36,良,194.4839,13,2016-08
21,86,衡阳,0.993,166,31,23,131,88,54,良,245.4333,18,2016-09
22,67,衡阳,0.994,117,21,25,68,67,47,良,205.9677,13,2016-10
23,76,衡阳,1.18,147,20,35,42,77,55,良,165.8000,15,2016-11
24,124,衡阳,1.555,216,38,47,52,125,93,轻度污染,243.7419,26,2016-12
25,126,衡阳,1.713,266,37,35,55,118,96,轻度污染,244.9032,21,2017-01
26,93,衡阳,1.539,217,38,30,72,87,70,良,183.9643,18,2017-02
27,67,衡阳,1.203,203,28,31,59,60,47,良,143.4194,14,2017-03
28,64,衡阳,1.143,104,23,30,101,63,39,良,163.1667,14,2017-04
29,77,衡阳,1.126,169,37,24,121,57,35,良,163.7742,10,2017-05
30,46,衡阳,1.103,85,25,20,81,38,24,优,103.5000,8,2017-06
31,49,衡阳,0.752,95,23,17,91,38,20,优,114.3226,11,2017-07
32,48,衡阳,0.803,86,28,18,88,40,21,优,129.4516,13,2017-08
33,72,衡阳,1.043,132,33,21,119,63,36,良,175.8333,16,2017-09
34,63,衡阳,0.977,116,20,25,92,67,43,良,160.0645,15,2017-10
35,93,衡阳,1.22,188,37,40,64,92,69,良,223.1333,21,2017-11
36,118,衡阳,1.429,238,33,51,34,109,85,轻度污染,216.6452,30,2017-12
37,95,衡阳,1.21,239,32,41,43,85,70,良,185.9032,21,2018-01
38,102,衡阳,1.214,213,29,41,66,103,75,轻度污染,219.4286,19,2018-02
39,66,衡阳,1.132,109,26,38,77,72,46,良,143.1290,18,2018-03
40,62,衡阳,0.99,123,0,30,90,70,36,良,127.0000,19,2018-04
41,52,衡阳,0.858,92,0,19,96,53,29,良,100.4516,15,2018-05
42,53,衡阳,0.883,125,28,20,95,44,24,良,92.7333,12,2018-06
43,50,衡阳,0.845,76,26,16,92,40,20,优,133.9677,13,2018-07
44,60,衡阳,0.806,109,28,18,107,46,25,良,126.4516,14,2018-08
45,59,衡阳,0.843,92,27,20,96,53,31,良,179.3667,14,2018-09
46,68,衡阳,0.971,132,29,33,101,65,41,良,174.9677,17,2018-10
47,63,衡阳,1.063,120,25,37,56,62,43,良,154.9667,14,2018-11
48,87,衡阳,1.194,231,32,36,29,81,63,良,202.1290,12,2018-12
49,70,衡阳,1.05,104,47,34,27,51,47,良,144.2500,9,2019-01
