index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,69,西双版纳州,0.9,69,69,33,85,87,43,良,118.0000,19,2014-12
1,68,西双版纳州,0.981,93,40,26,78,82,46,良,108.0000,15,2015-01
2,84,西双版纳州,0.971,187,60,27,115,96,57,良,177.6429,14,2015-02
3,97,西双版纳州,1.348,163,46,40,135,122,64,良,241.6129,15,2015-03
4,68,西双版纳州,0.813,106,46,26,112,79,28,良,144.2333,16,2015-04
5,68,西双版纳州,0.661,134,27,20,112,72,26,良,165.5161,11,2015-05
6,37,西双版纳州,0.613,55,23,11,62,36,20,优,54.8333,10,2015-06
7,27,西双版纳州,0.632,50,12,11,43,25,10,优,20.1290,7,2015-07
8,27,西双版纳州,0.616,41,13,11,36,26,11,优,14.1935,10,2015-08
9,39,西双版纳州,0.628,54,16,12,40,39,16,优,58.3103,9,2015-09
10,47,西双版纳州,0.777,61,22,15,47,50,26,优,75.8065,9,2015-10
11,49,西双版纳州,0.783,58,24,18,43,52,22,优,101.7000,6,2015-11
12,53,西双版纳州,0.897,77,26,21,40,60,32,良,88.0323,5,2015-12
13,55,西双版纳州,0.906,76,19,24,51,63,33,良,106.0323,5,2016-01
14,57,西双版纳州,0.748,92,20,20,70,66,36,良,113.8621,6,2016-02
15,80,西双版纳州,1.052,125,52,34,99,108,55,良,186.0968,7,2016-03
16,86,西双版纳州,1.11,132,40,31,113,114,55,良,230.3333,10,2016-04
17,48,西双版纳州,0.719,77,21,16,80,51,18,优,73.1935,9,2016-05
18,24,西双版纳州,0.49,36,16,9,42,23,8,优,9.8333,8,2016-06
19,21,西双版纳州,0.568,36,13,9,32,20,8,优,8.0323,4,2016-07
20,28,西双版纳州,0.69,52,12,10,46,23,9,优,23.4516,5,2016-08
21,33,西双版纳州,0.603,59,13,12,45,33,15,优,32.3667,6,2016-09
22,38,西双版纳州,0.723,53,24,14,53,38,21,优,65.7742,7,2016-10
23,40,西双版纳州,0.817,56,18,15,51,40,22,优,49.2667,8,2016-11
24,52,西双版纳州,0.887,62,29,20,57,55,33,良,61.1935,7,2016-12
25,46,西双版纳州,0.871,92,21,17,62,49,27,优,54.2258,10,2017-01
26,56,西双版纳州,1.136,68,39,23,93,63,34,良,123.1429,8,2017-02
27,86,西双版纳州,0.974,148,40,30,134,95,58,良,209.0968,10,2017-03
28,74,西双版纳州,0.87,161,29,22,120,68,40,良,161.9667,7,2017-04
29,64,西双版纳州,0.848,119,27,17,113,53,29,良,134.4194,10,2017-05
30,36,西双版纳州,0.61,60,23,11,59,34,13,优,106.0333,8,2017-06
31,32,西双版纳州,0.681,45,23,10,41,31,10,优,113.0968,8,2017-07
32,25,西双版纳州,0.652,42,16,10,47,21,8,优,60.8387,6,2017-08
33,30,西双版纳州,0.61,44,16,12,50,28,12,优,72.9000,7,2017-09
34,35,西双版纳州,0.616,61,14,16,56,34,18,优,118.1613,8,2017-10
35,43,西双版纳州,0.727,69,20,20,62,45,23,优,103.8667,7,2017-11
36,56,西双版纳州,0.91,96,28,25,37,55,33,良,126.5806,9,2017-12
37,48,西双版纳州,0.868,63,23,24,61,50,29,优,68.5161,8,2018-01
38,67,西双版纳州,0.9,130,26,22,90,68,47,良,141.6786,11,2018-02
39,80,西双版纳州,0.874,113,53,27,113,92,57,良,199.9677,7,2018-03
40,66,西双版纳州,0.767,100,32,20,115,71,39,良,148.3333,7,2018-04
41,49,西双版纳州,0.616,77,20,14,89,45,21,优,93.2903,7,2018-05
42,29,西双版纳州,0.567,50,15,11,49,27,10,优,19.6667,5,2018-06
43,30,西双版纳州,0.594,44,18,13,51,26,9,优,49.5161,6,2018-07
44,31,西双版纳州,0.635,54,20,12,52,27,10,优,117.8387,6,2018-08
45,29,西双版纳州,0.64,44,16,12,53,25,11,优,95.4667,6,2018-09
46,33,西双版纳州,0.552,58,17,15,56,32,16,优,86.9677,5,2018-10
47,49,西双版纳州,0.553,64,38,21,59,50,24,优,108.9000,6,2018-11
48,45,西双版纳州,0.665,62,24,22,50,46,21,优,105.3548,6,2018-12
49,31,西双版纳州,0.8,43,26,18,44,31,16,优,35.7500,6,2019-01
