index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,104,西宁,2.71,171,49,57,23,128,78,轻度污染,43.6333,85,2013-12
1,116,西宁,2.21,203,64,45,31,155,83,轻度污染,87.4839,78,2014-01
2,113,西宁,1.493,179,74,28,45,147,80,轻度污染,121.3571,44,2014-02
3,105,西宁,1.265,190,76,35,41,159,61,轻度污染,121.0323,29,2014-03
4,116,西宁,1.02,458,50,27,58,156,68,轻度污染,109.2000,29,2014-04
5,91,西宁,0.98,187,66,25,69,130,54,良,98.4667,34,2014-05
6,70,西宁,0.897,102,34,27,70,82,48,良,81.1333,29,2014-06
7,64,西宁,0.929,92,33,27,75,77,45,良,74.9677,30,2014-07
8,71,西宁,0.99,121,41,29,89,85,50,良,97.6774,29,2014-08
9,69,西宁,0.867,104,29,30,79,85,48,良,103.1000,26,2014-09
10,74,西宁,1.048,120,24,34,64,91,52,良,71.3226,25,2014-10
11,99,西宁,1.593,179,39,44,47,108,73,良,114.2000,35,2014-11
12,96,西宁,2.045,130,66,48,38,120,69,良,112.7742,53,2014-12
13,88,西宁,1.984,142,58,42,50,113,63,良,161.6129,38,2015-01
14,92,西宁,1.275,154,55,29,72,116,60,良,203.4286,24,2015-02
15,104,西宁,1.235,361,70,26,79,150,53,轻度污染,258.0323,22,2015-03
16,82,西宁,1.043,165,54,26,100,112,45,良,194.0667,17,2015-04
17,88,西宁,1.026,432,50,23,116,104,43,良,208.2581,18,2015-05
18,79,西宁,1.087,96,60,24,129,75,37,良,252.1333,21,2015-06
19,66,西宁,1.129,91,46,33,114,72,31,良,188.4839,26,2015-07
20,70,西宁,1.132,176,42,35,105,82,33,良,199.0323,27,2015-08
21,59,西宁,1.22,87,34,37,79,66,30,良,166.9333,22,2015-09
22,70,西宁,1.5,101,43,43,69,89,39,良,177.2258,26,2015-10
23,91,西宁,2.38,156,50,60,43,123,62,良,259.1000,47,2015-11
24,105,西宁,2.465,152,48,60,43,135,76,轻度污染,223.4516,55,2015-12
25,90,西宁,2.277,122,50,52,44,111,62,良,209.4194,50,2016-01
26,105,西宁,1.71,377,51,38,59,133,60,轻度污染,247.3448,29,2016-02
27,104,西宁,1.242,183,53,40,70,156,57,轻度污染,234.6452,25,2016-03
28,75,西宁,0.857,130,42,38,79,100,36,良,199.7667,25,2016-04
29,77,西宁,0.881,159,37,35,97,103,37,良,192.1613,20,2016-05
30,72,西宁,0.923,116,52,32,118,83,33,良,212.6000,30,2016-06
31,76,西宁,0.932,111,35,34,126,78,33,良,239.8387,34,2016-07
32,70,西宁,0.8,113,35,29,117,76,36,良,217.8387,34,2016-08
33,65,西宁,1.053,85,41,36,94,76,35,良,183.3667,25,2016-09
34,73,西宁,1.165,110,43,46,72,94,41,良,254.2903,18,2016-10
35,115,西宁,2.237,225,74,59,55,174,71,轻度污染,289.2333,33,2016-11
36,115,西宁,3.316,215,78,67,38,152,83,轻度污染,234.0968,53,2016-12
37,121,西宁,2.352,500,53,49,52,113,49,轻度污染,209.2581,33,2017-01
38,92,西宁,2.161,134,57,43,72,92,41,良,202.9286,28,2017-02
39,80,西宁,1.448,260,50,38,91,86,33,良,184.6129,20,2017-03
40,83,西宁,1.173,500,40,39,99,82,25,良,153.3000,23,2017-04
41,71,西宁,1.016,114,51,35,117,76,23,良,142.9032,16,2017-05
42,87,西宁,0.747,131,57,36,144,56,21,良,133.7000,17,2017-06
43,91,西宁,1.045,158,43,33,146,61,24,良,165.1290,21,2017-07
44,50,西宁,0.855,81,30,15,94,41,19,良,140.6774,11,2017-08
45,60,西宁,1.023,75,41,26,100,55,21,良,127.6667,18,2017-09
46,65,西宁,1.526,96,36,40,77,71,28,良,164.5484,22,2017-10
47,87,西宁,1.947,132,68,59,65,118,55,良,204.8333,36,2017-11
48,127,西宁,2.042,667,65,64,29,70,43,轻度污染,205.3548,38,2017-12
49,97,西宁,2.026,206,0,47,65,121,70,良,221.1613,30,2018-01
50,78,西宁,1.893,118,0,33,88,107,51,良,205.5714,24,2018-02
51,55,西宁,1.661,115,0,37,106,74,29,良,145.3226,19,2018-03
52,61,西宁,1.233,99,0,34,101,78,34,良,159.5000,15,2018-04
53,80,西宁,1.194,131,0,31,119,106,40,良,224.1290,15,2018-05
54,80,西宁,1.25,125,56,28,134,73,33,良,71.3333,20,2018-06
55,76,西宁,1.284,129,43,33,125,58,29,良,215.8387,17,2018-07
56,63,西宁,1.184,93,32,32,109,45,26,良,138.5484,11,2018-08
57,48,西宁,1.027,72,33,29,84,41,21,优,136.4333,11,2018-09
58,58,西宁,1.313,114,37,35,73,64,32,良,151.2903,16,2018-10
59,97,西宁,1.94,500,38,54,57,119,47,良,218.3000,26,2018-11
60,101,西宁,2.235,318,60,56,47,120,63,轻度污染,257.7419,24,2018-12
61,88,西宁,2.525,139,61,55,54,96,65,良,193.2500,46,2019-01
