index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,156,西安,2.942,481,66,64,26,202,122,中度污染,59.3750,79,2013-12
1,175,西安,3.037,352,72,72,27,229,133,中度污染,124.3000,85,2014-01
2,218,西安,2.507,432,83,53,32,241,173,重度污染,175.7143,65,2014-02
3,134,西安,2.242,250,74,50,52,188,85,轻度污染,140.9677,37,2014-03
4,101,西安,1.697,181,55,46,66,149,64,轻度污染,123.1000,17,2014-04
5,100,西安,1.529,221,58,32,81,149,55,良,115.3871,16,2014-05
6,78,西安,1.42,136,53,34,110,97,46,良,97.4333,13,2014-06
7,82,西安,1.058,110,27,34,135,87,36,良,109.5806,9,2014-07
8,74,西安,1.219,114,33,39,108,93,44,良,103.3548,11,2014-08
9,61,西安,1.383,113,18,38,65,76,39,良,79.8333,11,2014-09
10,111,西安,1.51,251,44,48,56,152,78,轻度污染,123.4516,20,2014-10
11,118,西安,1.883,239,53,48,29,155,84,轻度污染,131.6000,37,2014-11
12,104,西安,2.035,182,60,48,26,152,67,轻度污染,115.3871,53,2014-12
13,132,西安,2.897,242,61,51,25,188,95,轻度污染,234.7419,55,2015-01
14,104,西安,2.482,200,67,38,47,147,65,轻度污染,230.9286,38,2015-02
15,93,西安,1.787,177,53,40,59,132,60,良,234.9032,26,2015-03
16,78,西安,1.743,138,43,36,82,106,40,良,197.4667,17,2015-04
17,78,西安,1.532,103,60,36,114,101,40,良,209.8065,17,2015-05
18,70,西安,1.27,101,32,32,97,82,36,良,211.3667,11,2015-06
19,95,西安,1.032,142,61,36,149,98,41,良,289.8065,9,2015-07
20,90,西安,1.023,169,35,43,127,102,43,良,272.7742,10,2015-08
21,70,西安,1.143,102,37,42,89,84,42,良,225.0333,13,2015-09
22,104,西安,1.452,202,31,53,56,153,63,轻度污染,256.8710,21,2015-10
23,91,西安,2.06,265,38,49,24,126,59,良,235.0000,25,2015-11
24,152,西安,2.784,317,63,63,30,212,111,中度污染,279.4516,44,2015-12
25,154,西安,3.013,333,63,60,36,207,113,中度污染,280.4516,39,2016-01
26,108,西安,1.817,251,52,47,61,146,69,轻度污染,253.1034,28,2016-02
27,125,西安,1.887,192,58,63,69,188,78,轻度污染,286.4839,27,2016-03
28,96,西安,1.4,148,61,58,102,138,55,良,274.8333,17,2016-04
29,87,西安,1.113,168,47,47,120,105,44,良,234.5806,13,2016-05
30,101,西安,1.1,179,46,38,157,76,32,轻度污染,284.5000,8,2016-06
31,83,西安,0.926,168,35,32,136,59,27,良,245.3871,6,2016-07
32,83,西安,0.952,121,36,34,136,71,36,良,273.0323,8,2016-08
33,91,西安,1.217,130,47,56,112,104,53,良,272.9667,14,2016-09
34,79,西安,1.355,153,39,51,55,98,53,良,252.2903,12,2016-10
35,169,西安,2.18,304,44,70,29,221,124,中度污染,324.5667,26,2016-11
36,214,西安,2.497,458,71,77,31,233,173,重度污染,324.0323,35,2016-12
37,229,西安,2.613,499,63,73,45,260,186,重度污染,312.0000,37,2017-01
38,172,西安,2.143,307,57,75,71,201,131,中度污染,296.0000,33,2017-02
39,100,西安,1.5,145,48,63,81,120,69,轻度污染,268.4194,23,2017-03
40,93,西安,1.327,298,41,62,99,95,43,良,242.0667,15,2017-04
41,114,西安,1.103,500,50,55,136,76,32,轻度污染,225.3226,13,2017-05
42,110,西安,1.067,172,46,42,165,72,33,轻度污染,203.1667,11,2017-06
43,122,西安,1.152,201,37,40,181,72,32,轻度污染,217.3871,8,2017-07
44,99,西安,1.161,202,35,41,148,70,35,良,228.6129,9,2017-08
45,77,西安,1.31,123,40,53,95,90,44,良,240.0667,12,2017-09
46,75,西安,1.465,116,30,50,41,91,50,良,208.3226,12,2017-10
47,129,西安,1.773,292,66,74,38,159,94,轻度污染,267.9333,22,2017-11
48,172,西安,2.006,402,72,80,22,181,109,中度污染,272.0968,32,2017-12
49,183,西安,2.058,341,67,76,46,191,141,中度污染,296.6452,28,2018-01
50,112,西安,1.543,282,0,60,82,125,81,轻度污染,251.1071,25,2018-02
51,116,西安,1.503,236,0,67,98,143,84,轻度污染,266.3871,16,2018-03
52,81,西安,1.137,197,0,57,108,112,40,良,210.8667,13,2018-04
53,80,西安,0.968,163,0,50,122,95,35,良,210.3548,11,2018-05
54,112,西安,1.037,171,40,39,170,68,30,轻度污染,88.1333,9,2018-06
55,79,西安,1.013,144,35,29,131,55,28,良,208.3226,7,2018-07
56,109,西安,1.019,152,43,37,168,66,33,轻度污染,220.9032,9,2018-08
57,61,西安,0.943,95,33,40,85,48,21,良,199.3667,9,2018-09
58,80,西安,1.087,103,50,60,73,92,43,良,248.8710,11,2018-10
59,130,西安,1.373,425,45,65,36,159,81,轻度污染,297.5333,14,2018-11
60,139,西安,1.458,461,56,63,30,173,91,轻度污染,306.0323,20,2018-12
61,261,西安,2.1,346,132,75,27,256,213,重度污染,339.1250,16,2019-01
