index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,89,贵港,1.4,89,89,29,68,95,66,良,192.0000,17,2014-12
1,99,贵港,1.194,184,20,33,58,105,74,良,188.7097,17,2015-01
2,113,贵港,1.254,243,35,22,71,110,84,轻度污染,222.5000,17,2015-02
3,56,贵港,1.232,105,18,18,55,59,40,良,104.1935,17,2015-03
4,70,贵港,1.293,115,27,16,110,69,41,良,166.3333,20,2015-04
5,53,贵港,0.961,73,35,17,94,48,29,良,93.7742,23,2015-05
6,42,贵港,0.797,63,27,17,76,38,22,优,76.8333,24,2015-06
7,50,贵港,0.826,98,23,13,85,45,29,优,104.9677,19,2015-07
8,65,贵港,0.942,140,29,20,100,67,42,良,177.4516,22,2015-08
9,51,贵港,0.98,84,26,18,87,50,31,良,127.9000,19,2015-09
10,69,贵港,1.023,113,21,23,113,73,45,良,160.0968,24,2015-10
11,51,贵港,1.03,88,30,22,66,53,31,良,107.5667,32,2015-11
12,51,贵港,0.945,125,25,23,54,51,32,良,67.7419,28,2015-12
13,57,贵港,1.239,112,26,23,42,59,40,良,90.8065,27,2016-01
14,82,贵港,1.038,326,26,19,68,81,61,良,179.8621,29,2016-02
15,67,贵港,1.048,118,25,25,66,73,48,良,131.5484,22,2016-03
16,60,贵港,1.13,113,42,20,85,60,38,良,117.3000,19,2016-04
17,56,贵港,1.132,93,35,22,90,54,31,良,98.5806,12,2016-05
18,42,贵港,0.997,70,31,17,79,32,19,优,69.5667,18,2016-06
19,44,贵港,1.119,85,26,19,79,37,23,优,100.3871,16,2016-07
20,57,贵港,1.142,109,28,18,104,42,27,良,156.0645,11,2016-08
21,65,贵港,1.053,112,28,23,113,48,34,良,181.1333,15,2016-09
22,58,贵港,0.777,95,22,21,96,52,34,良,185.8387,15,2016-10
23,59,贵港,0.857,128,18,25,72,62,40,良,109.4000,20,2016-11
24,86,贵港,0.997,127,30,34,101,90,62,良,158.5161,25,2016-12
25,97,贵港,1.216,236,25,31,85,98,74,良,181.5484,15,2017-01
26,78,贵港,1.014,142,40,27,94,80,57,良,170.6071,12,2017-02
27,57,贵港,1.148,113,23,27,59,62,39,良,136.1613,12,2017-03
28,69,贵港,1.077,125,42,25,95,67,42,良,171.5667,11,2017-04
29,70,贵港,0.971,173,37,26,117,51,32,良,128.6452,10,2017-05
30,45,贵港,0.863,85,28,21,75,39,22,优,114.6333,7,2017-06
31,50,贵港,0.858,121,27,24,86,49,29,良,152.3871,6,2017-07
32,50,贵港,0.842,81,26,25,87,44,22,良,160.1935,6,2017-08
33,68,贵港,0.91,131,33,28,117,60,33,良,185.1000,8,2017-09
34,69,贵港,0.829,126,27,26,118,66,40,良,178.9032,11,2017-10
35,68,贵港,0.907,138,20,26,72,77,48,良,153.8667,11,2017-11
36,91,贵港,1.013,170,23,34,52,100,66,良,179.9355,18,2017-12
37,88,贵港,1.013,178,21,34,77,99,64,良,178.1290,16,2018-01
38,91,贵港,0.889,183,23,24,85,88,67,良,194.4286,14,2018-02
39,76,贵港,0.881,113,43,28,93,81,52,良,197.0645,16,2018-03
40,69,贵港,0.853,108,38,25,90,68,40,良,157.6667,13,2018-04
41,47,贵港,0.635,72,35,19,81,45,26,优,73.6452,11,2018-05
42,54,贵港,0.663,118,29,16,91,41,24,良,93.2000,10,2018-06
43,48,贵港,0.671,129,26,16,83,44,27,优,134.2903,11,2018-07
44,61,贵港,0.813,113,30,19,105,47,29,良,182.2581,11,2018-08
45,55,贵港,0.743,95,23,17,97,46,28,良,164.1333,11,2018-09
46,68,贵港,0.881,137,20,22,104,61,36,良,168.7742,11,2018-10
47,59,贵港,0.9,100,23,26,78,63,39,良,152.2333,11,2018-11
48,52,贵港,0.894,118,18,24,44,52,36,良,113.0323,10,2018-12
49,35,贵港,0.7,42,28,16,33,28,22,优,37.0000,6,2019-01
