index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,116,贵阳,1.003,200,42,40,57,110,88,轻度污染,49.0333,59,2013-12
1,123,贵阳,1.258,190,53,44,69,109,93,轻度污染,92.3226,64,2014-01
2,68,贵阳,0.946,114,23,23,57,57,50,良,65.4286,34,2014-02
3,62,贵阳,0.919,118,30,30,70,67,44,良,41.7097,26,2014-03
4,65,贵阳,0.757,92,36,26,82,74,43,良,56.0333,14,2014-04
5,67,贵阳,0.735,121,30,28,76,78,44,良,56.0645,17,2014-05
6,57,贵阳,0.673,92,26,24,72,60,38,良,51.1333,12,2014-06
7,44,贵阳,0.545,70,21,23,69,45,24,优,35.5484,10,2014-07
8,47,贵阳,0.542,65,27,22,72,49,26,优,41.3548,8,2014-08
9,50,贵阳,0.573,90,27,21,69,51,30,优,50.5333,9,2014-09
10,73,贵阳,0.668,131,31,28,81,79,53,良,62.6452,11,2014-10
11,55,贵阳,0.727,99,25,26,47,58,38,良,35.0000,18,2014-11
12,86,贵阳,0.845,169,48,35,58,94,63,良,87.0968,40,2014-12
13,90,贵阳,0.958,156,39,34,60,91,67,良,158.6452,40,2015-01
14,73,贵阳,0.85,139,23,24,74,68,54,良,139.2857,30,2015-02
15,62,贵阳,0.784,103,29,25,81,63,44,良,125.1935,22,2015-03
16,66,贵阳,0.613,95,43,27,98,75,40,良,140.3000,13,2015-04
17,54,贵阳,0.603,78,37,24,92,52,31,良,95.6774,10,2015-05
18,39,贵阳,0.633,68,24,22,68,38,20,优,60.4333,8,2015-06
19,57,贵阳,0.581,94,28,26,96,52,29,良,139.5806,8,2015-07
20,51,贵阳,0.619,94,22,27,83,46,27,良,125.0000,8,2015-08
21,46,贵阳,0.647,83,27,25,67,45,29,优,89.4333,8,2015-09
22,62,贵阳,0.69,88,30,33,78,69,43,良,132.0645,11,2015-10
23,53,贵阳,0.81,78,28,28,45,57,33,良,116.6667,14,2015-11
24,62,贵阳,0.732,117,29,28,49,66,42,良,103.7742,26,2015-12
25,59,贵阳,0.965,97,38,29,48,64,41,良,110.7742,28,2016-01
26,79,贵阳,0.817,238,37,27,92,84,56,良,181.8276,34,2016-02
27,65,贵阳,0.777,104,37,33,93,73,42,良,120.4839,15,2016-03
28,61,贵阳,0.647,98,46,31,89,67,36,良,130.3667,8,2016-04
29,62,贵阳,0.594,94,25,26,101,64,30,良,134.5161,6,2016-05
30,54,贵阳,0.553,101,29,23,87,50,22,良,127.7667,7,2016-06
31,42,贵阳,0.494,58,25,22,73,41,17,优,91.1935,6,2016-07
32,57,贵阳,0.645,101,29,27,93,55,30,良,152.9032,6,2016-08
33,72,贵阳,0.643,93,41,28,113,72,42,良,212.7333,8,2016-09
34,55,贵阳,0.706,112,23,27,75,55,31,良,158.8387,7,2016-10
35,54,贵阳,0.84,83,26,31,57,58,35,良,96.6667,14,2016-11
36,80,贵阳,0.994,180,34,39,64,92,58,良,138.0323,27,2016-12
37,65,贵阳,1.035,121,27,28,54,63,46,良,111.9355,22,2017-01
38,59,贵阳,0.929,119,26,27,79,61,42,良,102.2500,22,2017-02
39,56,贵阳,0.887,98,33,31,71,57,37,良,139.4516,17,2017-03
40,63,贵阳,0.743,95,33,27,110,55,32,良,119.3667,10,2017-04
41,64,贵阳,0.665,119,29,24,111,43,26,良,103.3871,7,2017-05
42,42,贵阳,0.697,104,25,24,70,31,19,优,85.7333,6,2017-06
43,41,贵阳,0.668,74,20,24,76,37,19,优,118.2903,6,2017-07
44,43,贵阳,0.652,124,25,22,79,38,19,优,146.4839,6,2017-08
45,43,贵阳,0.66,76,24,21,76,42,20,优,128.5000,7,2017-09
46,43,贵阳,0.629,80,23,21,68,43,23,优,95.8387,8,2017-10
47,67,贵阳,0.807,143,30,32,67,80,47,良,153.5667,16,2017-11
48,74,贵阳,0.91,123,25,38,46,89,53,良,144.0968,28,2017-12
49,57,贵阳,0.942,102,28,29,48,59,39,良,100.6452,23,2018-01
50,74,贵阳,0.796,119,31,25,81,80,53,良,164.4643,23,2018-02
51,66,贵阳,0.69,99,28,30,95,69,42,良,150.4839,12,2018-03
52,64,贵阳,0.607,94,31,25,103,72,37,良,140.8667,7,2018-04
53,54,贵阳,0.568,99,30,20,97,53,27,良,106.6129,6,2018-05
54,50,贵阳,0.567,100,23,23,85,42,21,优,19.8000,5,2018-06
55,44,贵阳,0.526,70,28,19,78,42,20,优,125.3548,5,2018-07
56,52,贵阳,0.574,95,32,22,92,47,24,良,194.4194,5,2018-08
57,39,贵阳,0.54,69,22,19,67,34,18,优,124.1000,5,2018-09
58,47,贵阳,0.565,69,25,23,62,49,28,优,112.9677,7,2018-10
59,50,贵阳,0.637,104,23,29,55,56,32,良,103.2000,12,2018-11
60,47,贵阳,0.726,90,18,25,41,50,31,优,80.2903,16,2018-12
61,41,贵阳,0.763,49,29,22,31,40,25,优,65.3750,16,2019-01
