index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,105,贺州,2.6,105,105,49,89,142,79,轻度污染,254.0000,8,2014-12
1,103,贺州,1.484,199,30,27,70,113,77,轻度污染,189.0645,19,2015-01
2,103,贺州,1.575,233,36,20,41,108,77,轻度污染,206.8571,10,2015-02
3,59,贺州,0.9,115,24,13,30,62,43,良,112.1935,11,2015-03
4,74,贺州,0.663,114,33,14,73,83,52,良,178.5667,15,2015-04
5,53,贺州,0.865,73,29,10,51,57,33,良,91.2581,15,2015-05
6,45,贺州,0.763,58,33,7,51,46,26,优,95.8333,13,2015-06
7,49,贺州,1.116,103,28,8,69,51,31,优,103.0323,17,2015-07
8,56,贺州,0.984,98,26,9,74,54,35,良,138.2581,18,2015-08
9,56,贺州,0.903,119,24,9,91,46,31,良,144.5667,17,2015-09
10,60,贺州,0.768,92,23,21,91,56,41,良,120.8710,24,2015-10
11,37,贺州,0.987,60,20,19,49,30,21,优,36.6000,19,2015-11
12,35,贺州,0.997,61,18,22,45,30,16,优,20.5806,16,2015-12
13,47,贺州,0.971,90,27,27,44,46,31,优,65.5161,16,2016-01
14,58,贺州,0.828,144,20,22,64,60,40,良,93.4828,17,2016-02
15,53,贺州,0.9,124,19,17,55,53,37,良,63.3226,21,2016-03
16,47,贺州,0.837,100,28,14,52,48,29,优,62.5000,20,2016-04
17,49,贺州,0.739,82,31,14,64,50,31,优,67.0645,21,2016-05
18,41,贺州,0.68,87,24,10,61,37,19,优,62.9667,22,2016-06
19,42,贺州,0.819,72,24,8,62,43,24,优,90.3871,22,2016-07
20,48,贺州,0.9,88,23,13,77,45,26,优,106.2258,19,2016-08
21,65,贺州,0.763,94,28,8,95,67,46,良,180.1667,15,2016-09
22,58,贺州,0.835,99,29,10,71,56,38,良,177.8710,14,2016-10
23,53,贺州,0.857,115,18,17,59,58,36,良,85.9667,12,2016-11
24,86,贺州,1.2,149,30,26,87,97,63,良,155.3226,15,2016-12
25,94,贺州,1.242,292,25,23,79,111,71,良,178.0645,13,2017-01
26,72,贺州,0.975,124,28,21,91,76,52,良,165.7500,13,2017-02
27,50,贺州,1.019,101,23,24,57,51,35,良,131.1290,9,2017-03
28,59,贺州,0.887,92,30,21,79,62,41,良,183.1333,9,2017-04
29,68,贺州,0.845,111,37,18,111,60,36,良,183.5806,7,2017-05
30,41,贺州,0.983,67,22,15,68,40,22,优,138.0333,9,2017-06
31,47,贺州,0.952,99,23,14,84,44,27,优,149.1613,9,2017-07
32,46,贺州,0.997,73,27,13,80,44,25,优,207.9677,11,2017-08
33,63,贺州,1.023,110,35,14,109,63,39,良,215.0333,11,2017-09
34,63,贺州,1.081,112,21,15,103,67,42,良,202.1613,9,2017-10
35,70,贺州,1.27,162,28,23,75,74,52,良,179.5333,13,2017-11
36,89,贺州,1.023,149,28,31,55,98,65,良,181.0323,10,2017-12
37,84,贺州,1.055,158,25,27,63,85,61,良,163.5806,10,2018-01
38,91,贺州,1.064,358,25,19,77,93,68,良,189.5714,11,2018-02
39,65,贺州,0.926,108,23,21,86,68,45,良,138.3226,13,2018-03
40,70,贺州,0.92,109,36,20,82,79,47,良,164.0000,19,2018-04
41,50,贺州,0.697,78,0,14,82,49,32,优,92.3226,18,2018-05
42,48,贺州,0.887,103,28,10,91,34,22,优,77.8333,9,2018-06
43,47,贺州,0.819,102,26,11,85,40,26,优,157.0645,20,2018-07
44,51,贺州,0.926,85,26,12,91,44,26,良,172.1935,13,2018-08
45,47,贺州,0.73,89,20,11,87,40,24,优,159.1000,13,2018-09
46,63,贺州,0.861,111,21,19,99,51,32,良,166.3548,12,2018-10
47,52,贺州,0.817,93,18,21,72,52,34,良,117.2333,15,2018-11
48,44,贺州,0.994,82,16,21,35,41,30,优,73.4516,12,2018-12
49,33,贺州,0.6,42,20,10,31,29,23,优,43.7500,11,2019-01
