index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,52,赣州,1.5,52,52,30,94,50,37,良,52.0000,50,2014-12
1,70,赣州,1.768,108,22,36,69,70,51,良,99.6774,55,2015-01
2,67,赣州,1.686,101,20,26,68,61,49,良,116.7143,29,2015-02
3,46,赣州,1.555,83,21,20,60,47,32,优,58.2581,29,2015-03
4,64,赣州,1.437,104,25,21,89,67,43,良,124.8667,32,2015-04
5,59,赣州,1.145,164,32,17,72,56,42,良,107.4839,18,2015-05
6,44,赣州,1.073,54,31,13,69,44,29,优,91.2667,16,2015-06
7,53,赣州,1.116,84,29,12,80,53,36,良,122.2903,16,2015-07
8,65,赣州,1.248,104,37,15,99,64,44,良,183.7419,22,2015-08
9,66,赣州,1.24,93,38,20,93,63,45,良,197.4667,30,2015-09
10,65,赣州,1.213,97,35,27,97,61,40,良,140.5161,43,2015-10
11,52,赣州,1.4,107,31,23,50,52,35,良,100.0333,26,2015-11
12,59,赣州,1.303,115,26,26,49,59,41,良,95.3548,27,2015-12
13,64,赣州,1.387,132,32,29,54,64,45,良,109.9355,26,2016-01
14,69,赣州,1.2,182,36,24,85,73,50,良,146.7586,24,2016-02
15,77,赣州,1.326,124,34,35,87,81,54,良,159.6452,30,2016-03
16,59,赣州,1.29,107,39,21,80,58,41,良,113.8333,25,2016-04
17,60,赣州,1.323,102,32,22,85,63,39,良,118.7097,23,2016-05
18,54,赣州,1.317,114,33,18,92,46,29,良,126.8667,24,2016-06
19,56,赣州,1.339,111,30,17,94,52,32,良,150.9032,22,2016-07
20,57,赣州,1.239,115,31,18,91,55,34,良,150.4194,24,2016-08
21,70,赣州,1.33,115,33,17,105,70,48,良,190.5000,32,2016-09
22,62,赣州,1.323,100,35,18,58,63,44,良,205.8065,24,2016-10
23,68,赣州,1.213,138,26,30,61,77,49,良,141.5667,25,2016-11
24,108,赣州,1.761,180,46,40,73,121,80,轻度污染,212.3226,40,2016-12
25,101,赣州,1.816,234,46,33,71,92,64,轻度污染,198.0000,29,2017-01
26,80,赣州,1.546,123,38,29,84,83,58,良,164.9286,28,2017-02
27,69,赣州,1.413,135,32,32,63,75,49,良,176.2258,31,2017-03
28,69,赣州,1.07,124,29,28,105,72,45,良,170.6000,31,2017-04
29,85,赣州,1.129,148,35,31,128,81,52,良,228.5484,39,2017-05
30,49,赣州,0.923,83,30,19,74,49,31,优,168.3667,20,2017-06
31,46,赣州,0.761,103,22,16,76,45,26,优,164.8387,20,2017-07
32,59,赣州,0.765,104,27,17,104,50,32,良,190.1290,15,2017-08
33,72,赣州,0.98,142,36,20,122,63,41,良,209.4333,19,2017-09
34,66,赣州,1.219,118,30,22,106,65,43,良,196.5806,20,2017-10
35,77,赣州,1.567,132,33,33,74,86,57,良,189.0333,25,2017-11
36,91,赣州,1.723,139,35,41,52,99,65,良,168.8387,30,2017-12
37,83,赣州,1.806,162,29,35,62,90,60,良,166.6129,23,2018-01
38,78,赣州,1.414,158,38,29,87,81,56,良,163.4643,15,2018-02
39,69,赣州,1.471,132,30,36,93,79,48,良,150.4194,18,2018-03
40,78,赣州,1.547,116,39,29,107,92,51,良,196.0667,23,2018-04
41,72,赣州,1.406,125,42,16,118,58,39,良,170.6452,19,2018-05
42,61,赣州,1.427,130,31,16,101,44,31,良,127.1667,16,2018-06
43,56,赣州,1.458,106,36,16,102,45,28,良,168.0000,17,2018-07
44,70,赣州,1.603,130,28,17,119,47,28,良,158.0323,16,2018-08
45,58,赣州,1.12,94,24,14,106,45,28,良,173.3333,16,2018-09
46,71,赣州,1.277,126,35,25,111,60,34,良,163.5161,17,2018-10
47,52,赣州,1.26,89,30,25,67,53,31,良,113.2000,15,2018-11
48,50,赣州,1.313,110,22,28,37,53,31,良,100.5161,12,2018-12
49,39,赣州,1.1,46,32,24,23,36,26,优,63.2500,12,2019-01
