index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,102,赤峰,0.5,102,102,18,27,153,12,轻度污染,56.0000,73,2013-12
1,111,赤峰,0.784,377,54,29,26,151,75,轻度污染,75.3548,111,2014-01
2,124,赤峰,0.789,423,43,29,42,159,89,轻度污染,112.5357,89,2014-02
3,99,赤峰,0.561,394,54,27,69,139,48,良,94.0323,68,2014-03
4,91,赤峰,0.873,281,52,23,80,128,37,良,100.1667,35,2014-04
5,70,赤峰,0.913,149,39,19,86,90,26,良,60.5806,25,2014-05
6,58,赤峰,0.747,92,23,18,70,68,24,良,58.8000,15,2014-06
7,78,赤峰,0.9,131,38,18,114,89,45,良,96.4194,20,2014-07
8,61,赤峰,0.81,91,38,22,93,69,30,良,76.3226,25,2014-08
9,69,赤峰,0.767,102,40,25,76,88,28,良,104.3000,31,2014-09
10,100,赤峰,0.926,240,39,29,60,141,61,良,101.1935,40,2014-10
11,86,赤峰,1.057,152,31,28,43,122,55,良,90.8667,88,2014-11
12,78,赤峰,1.406,170,33,31,35,95,51,良,70.3871,122,2014-12
13,85,赤峰,1.774,211,34,36,29,108,60,良,139.4194,138,2015-01
14,87,赤峰,1.425,346,36,30,34,105,58,良,154.7857,91,2015-02
15,88,赤峰,1.213,182,31,30,40,127,43,良,202.3871,44,2015-03
16,66,赤峰,0.813,102,27,24,56,82,34,良,129.4667,27,2015-04
17,62,赤峰,0.777,109,28,15,81,74,28,良,129.5806,13,2015-05
18,73,赤峰,0.65,143,37,20,124,53,27,良,204.3333,14,2015-06
19,55,赤峰,0.748,96,29,21,92,57,27,良,127.0323,14,2015-07
20,47,赤峰,0.748,105,32,18,68,51,19,优,94.6452,14,2015-08
21,50,赤峰,0.663,94,23,18,69,55,24,良,112.3667,16,2015-09
22,64,赤峰,0.848,111,28,25,59,81,32,良,131.6452,27,2015-10
23,102,赤峰,1.163,212,42,29,46,116,71,轻度污染,251.1333,86,2015-11
24,103,赤峰,1.477,203,36,31,41,120,73,轻度污染,198.8710,100,2015-12
25,72,赤峰,1.142,134,32,24,41,79,46,良,141.4194,77,2016-01
26,62,赤峰,0.986,149,28,18,57,69,39,良,102.3793,49,2016-02
27,74,赤峰,0.984,202,29,21,69,94,41,良,113.0968,38,2016-03
28,78,赤峰,1.043,142,43,16,97,102,28,良,188.4000,18,2016-04
29,77,赤峰,0.787,145,43,15,117,81,27,良,185.6452,13,2016-05
30,69,赤峰,0.823,119,41,15,121,58,25,良,196.2000,14,2016-06
31,66,赤峰,1.039,128,30,17,112,56,28,良,184.2581,12,2016-07
32,56,赤峰,0.965,80,37,17,100,49,18,良,158.7419,12,2016-08
33,47,赤峰,0.937,92,24,17,75,50,22,优,88.3333,14,2016-09
34,63,赤峰,0.994,111,30,18,84,71,36,良,196.1290,20,2016-10
35,87,赤峰,1.55,183,40,23,62,99,60,良,205.8333,54,2016-11
36,97,赤峰,2.01,226,37,24,53,102,70,良,158.8710,66,2016-12
37,96,赤峰,2.287,277,39,21,55,97,69,良,158.0323,62,2017-01
38,74,赤峰,1.768,203,36,19,72,75,50,良,130.6071,40,2017-02
39,59,赤峰,1.506,114,39,20,89,65,36,良,131.7419,26,2017-03
40,71,赤峰,1.483,136,44,16,100,93,27,良,168.6667,14,2017-04
41,99,赤峰,1.297,500,28,16,115,84,27,良,182.7097,12,2017-05
42,70,赤峰,1.243,150,27,20,120,55,24,良,190.0333,14,2017-06
43,72,赤峰,1.077,119,45,17,124,61,28,良,195.9355,12,2017-07
44,51,赤峰,0.771,85,28,16,93,44,20,良,135.5484,11,2017-08
45,59,赤峰,0.827,105,34,21,98,64,25,良,182.7000,12,2017-09
46,57,赤峰,0.771,92,25,24,68,66,32,良,160.6452,14,2017-10
47,57,赤峰,0.93,161,28,20,59,58,25,良,79.0000,19,2017-11
48,60,赤峰,1.381,198,20,26,26,67,39,良,69.8710,37,2017-12
49,52,赤峰,1.155,94,27,24,54,56,29,良,75.2258,32,2018-01
50,64,赤峰,1.168,122,30,21,60,72,39,良,118.9643,32,2018-02
51,69,赤峰,1.026,155,0,29,79,88,43,良,163.9032,25,2018-03
52,45,赤峰,0.593,97,0,23,100,53,17,优,90.0333,12,2018-04
53,66,赤峰,0.545,105,0,28,113,79,26,良,158.8065,13,2018-05
54,73,赤峰,0.53,115,34,25,122,61,22,良,155.5000,12,2018-06
55,62,赤峰,0.674,98,26,21,110,51,25,良,205.0645,11,2018-07
56,48,赤峰,0.603,75,30,23,86,44,19,优,175.4194,13,2018-08
57,44,赤峰,0.48,63,22,24,71,43,16,优,159.2667,12,2018-09
58,58,赤峰,0.652,102,19,29,61,70,26,良,173.4516,15,2018-10
59,83,赤峰,1.043,250,24,39,44,108,48,良,229.8000,28,2018-11
60,58,赤峰,0.816,126,27,25,47,69,30,良,127.4194,25,2018-12
61,65,赤峰,1.225,95,31,34,44,76,45,良,139.0000,38,2019-01
