index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,33,辽源,0.5,33,33,13,58,33,19,优,6.0000,7,2014-12
1,109,辽源,1.371,215,35,43,66,108,82,轻度污染,198.5806,58,2015-01
2,116,辽源,1.711,320,35,32,75,119,79,轻度污染,205.5357,43,2015-02
3,72,辽源,1.235,111,40,26,93,79,50,良,167.0323,26,2015-03
4,74,辽源,0.72,107,40,23,99,75,47,良,180.2000,16,2015-04
5,71,辽源,0.59,139,28,19,111,61,32,良,150.3548,13,2015-05
6,51,辽源,0.77,111,24,23,77,47,30,良,114.5000,7,2015-06
7,51,辽源,0.942,124,21,11,63,47,35,良,104.0645,7,2015-07
8,55,辽源,0.894,153,19,16,66,49,38,良,121.9355,7,2015-08
9,55,辽源,0.94,89,34,25,92,52,35,良,140.8000,15,2015-09
10,104,辽源,1.19,218,24,29,69,96,76,轻度污染,214.9032,16,2015-10
11,126,辽源,1.253,411,49,26,59,117,98,轻度污染,270.1333,38,2015-11
12,127,辽源,1.419,264,40,39,50,118,96,轻度污染,235.0968,57,2015-12
13,96,辽源,1.287,150,50,33,56,89,71,良,218.7419,54,2016-01
14,70,辽源,1.731,155,35,25,73,62,49,良,143.4828,39,2016-02
15,83,辽源,1.432,168,36,26,97,83,57,良,167.2903,32,2016-03
16,68,辽源,0.957,133,42,24,113,61,31,良,154.3000,22,2016-04
17,95,辽源,0.761,146,47,25,152,46,27,良,257.3871,14,2016-05
18,97,辽源,0.9,195,43,32,155,40,27,良,273.6333,12,2016-06
19,77,辽源,0.884,131,30,24,131,38,28,良,235.2903,11,2016-07
20,64,辽源,0.81,119,15,20,112,34,23,良,195.0968,10,2016-08
21,56,辽源,0.937,89,21,26,93,43,31,良,137.2667,13,2016-09
22,82,辽源,1.11,158,29,33,75,77,58,良,244.4839,19,2016-10
23,77,辽源,0.947,142,33,30,66,71,56,良,173.6667,30,2016-11
24,123,辽源,1.406,226,39,45,64,111,92,轻度污染,224.8710,41,2016-12
25,112,辽源,1.432,282,40,39,72,103,86,轻度污染,204.3871,52,2017-01
26,79,辽源,1.261,165,38,28,88,72,58,良,168.6071,34,2017-02
27,82,辽源,1.258,171,41,33,107,76,61,良,232.3871,25,2017-03
28,77,辽源,1.06,158,41,27,114,70,46,良,185.8333,16,2017-04
29,93,辽源,0.884,351,37,26,131,56,29,良,131.5161,12,2017-05
30,75,辽源,1.047,169,37,35,125,37,24,良,122.5333,12,2017-06
31,82,辽源,1.039,125,45,24,139,33,25,良,144.0645,9,2017-07
32,49,辽源,1.039,83,28,21,92,23,15,优,79.9032,7,2017-08
33,58,辽源,1.05,99,36,22,107,32,22,良,102.5667,9,2017-09
34,92,辽源,1.281,275,33,35,100,82,66,良,268.0000,13,2017-10
35,61,辽源,1.03,213,26,28,68,55,43,良,138.6000,13,2017-11
36,74,辽源,1.413,175,25,36,30,66,54,良,133.1290,22,2017-12
37,77,辽源,1.452,122,40,39,54,69,56,良,160.7419,22,2018-01
38,74,辽源,1.132,129,36,30,71,66,53,良,163.2857,22,2018-02
39,82,辽源,1.148,209,42,28,104,74,58,良,190.6774,20,2018-03
40,67,辽源,0.893,102,0,23,118,59,35,良,148.5333,12,2018-04
41,80,辽源,0.755,136,50,26,134,46,25,良,198.7419,10,2018-05
42,101,辽源,1.007,185,48,26,159,33,23,轻度污染,219.0667,11,2018-06
43,63,辽源,1.023,130,32,24,110,27,19,良,154.3226,9,2018-07
44,53,辽源,1.023,171,32,22,97,23,14,良,80.1290,11,2018-08
45,41,辽源,0.917,87,22,20,78,24,15,优,121.2000,9,2018-09
46,42,辽源,0.858,75,24,28,70,36,23,优,135.4516,9,2018-10
47,59,辽源,0.843,95,30,30,57,56,41,良,153.0000,10,2018-11
48,63,辽源,0.832,134,28,22,60,59,43,良,145.6129,13,2018-12
49,73,辽源,1.025,89,50,28,63,68,53,良,184.2500,17,2019-01
