index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,109,辽阳,1.6,109,109,15,41,169,21,轻度污染,266.0000,21,2014-12
1,114,辽阳,2.574,353,43,43,35,117,86,轻度污染,188.5161,75,2015-01
2,119,辽阳,2.178,465,40,36,47,128,90,轻度污染,211.3704,57,2015-02
3,89,辽阳,1.939,147,47,28,64,111,59,良,223.4194,37,2015-03
4,92,辽阳,1.975,117,67,32,90,117,57,良,250.8750,27,2015-04
5,78,辽阳,1.219,152,37,23,116,85,36,良,190.8710,21,2015-05
6,93,辽阳,0.947,143,58,20,151,61,34,良,279.8667,13,2015-06
7,76,辽阳,0.977,127,37,20,127,65,35,良,220.1935,12,2015-07
8,70,辽阳,1.081,127,40,20,117,62,34,良,206.5161,11,2015-08
9,70,辽阳,1.087,104,41,31,101,78,34,良,221.4000,18,2015-09
10,81,辽阳,1.261,230,46,33,85,96,49,良,191.1290,18,2015-10
11,138,辽阳,2.017,500,50,49,48,155,114,轻度污染,285.9667,50,2015-11
12,120,辽阳,2.284,275,41,42,43,129,90,轻度污染,204.6452,63,2015-12
13,99,辽阳,1.674,209,41,40,48,112,72,良,222.6774,62,2016-01
14,70,辽阳,1.172,172,46,28,78,83,43,良,159.9310,44,2016-02
15,88,辽阳,1.345,298,38,30,103,118,48,良,185.9677,31,2016-03
16,84,辽阳,1.12,119,61,25,115,101,38,良,232.3333,17,2016-04
17,95,辽阳,1.874,163,50,25,149,74,32,良,254.8065,15,2016-05
18,96,辽阳,2.177,130,55,19,152,53,28,良,284.6000,13,2016-06
19,74,辽阳,1.239,130,31,18,119,63,35,良,228.6129,9,2016-07
20,72,辽阳,0.877,155,26,24,116,67,35,良,220.4516,14,2016-08
21,60,辽阳,0.887,87,28,26,94,59,35,良,150.1667,17,2016-09
22,74,辽阳,0.903,230,34,35,64,80,52,良,224.7742,23,2016-10
23,95,辽阳,1.03,262,35,39,53,102,69,良,219.0000,38,2016-11
24,103,辽阳,1.248,254,51,41,50,105,75,轻度污染,174.5161,40,2016-12
25,117,辽阳,1.613,254,46,48,56,122,86,轻度污染,210.6452,49,2017-01
26,84,辽阳,1.146,182,40,34,80,85,60,良,188.5000,34,2017-02
27,109,辽阳,1.252,190,41,45,103,126,82,轻度污染,266.9677,37,2017-03
28,81,辽阳,0.923,140,48,29,111,100,43,良,216.6667,21,2017-04
29,94,辽阳,0.694,158,50,22,137,72,27,良,177.0000,11,2017-05
30,98,辽阳,0.873,213,44,26,156,67,32,良,213.8333,17,2017-06
31,89,辽阳,0.768,175,49,20,143,55,29,良,192.8710,11,2017-07
32,55,辽阳,0.748,111,28,20,99,42,20,良,133.1935,11,2017-08
33,62,辽阳,0.95,96,38,26,106,59,29,良,173.0000,16,2017-09
34,73,辽阳,1.068,137,32,36,71,77,47,良,206.1613,19,2017-10
35,64,辽阳,0.95,154,35,29,58,69,41,良,156.4000,24,2017-11
36,101,辽阳,1.732,242,33,42,26,100,65,轻度污染,167.0645,39,2017-12
37,73,辽阳,1.297,143,39,40,53,78,51,良,141.3871,36,2018-01
38,85,辽阳,1.346,163,51,33,76,88,59,良,191.0357,31,2018-02
39,82,辽阳,1.239,160,0,33,106,78,56,良,199.2903,27,2018-03
40,81,辽阳,0.847,136,48,25,122,85,39,良,197.6667,18,2018-04
41,83,辽阳,0.89,137,46,26,133,75,31,良,211.2581,20,2018-05
42,86,辽阳,0.913,202,29,20,140,47,25,良,188.4000,14,2018-06
43,60,辽阳,0.826,147,24,14,101,40,21,良,142.3548,10,2018-07
44,67,辽阳,0.887,139,21,25,109,52,24,良,199.4516,17,2018-08
45,48,辽阳,0.917,81,31,25,76,48,20,优,179.9000,15,2018-09
46,61,辽阳,0.994,109,32,30,69,67,35,良,179.3226,19,2018-10
47,81,辽阳,1.203,185,37,38,46,86,55,良,218.0000,21,2018-11
48,73,辽阳,1.232,147,36,34,46,80,47,良,186.1935,23,2018-12
49,96,辽阳,1.675,115,75,40,42,98,71,良,182.7500,31,2019-01
