index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,173,达州,1.5,173,173,37,38,166,131,中度污染,348.0000,5,2014-12
1,188,达州,1.781,373,32,43,34,190,147,中度污染,299.1613,18,2015-01
2,121,达州,1.482,246,31,39,34,120,92,轻度污染,243.3929,10,2015-02
3,86,达州,1.065,144,27,37,46,88,63,良,210.8065,10,2015-03
4,68,达州,0.817,128,20,35,54,75,48,良,143.9000,6,2015-04
5,71,达州,1.084,123,35,34,57,80,49,良,170.7097,8,2015-05
6,59,达州,0.787,97,28,33,65,60,41,良,156.9667,9,2015-06
7,78,达州,0.703,123,40,40,121,67,43,良,234.3548,11,2015-07
8,71,达州,0.842,120,29,36,99,72,47,良,203.0000,15,2015-08
9,69,达州,0.857,105,39,36,71,69,48,良,211.1333,11,2015-09
10,82,达州,0.877,139,39,44,61,84,58,良,208.8387,10,2015-10
11,68,达州,1.29,122,50,46,33,71,44,良,182.7333,13,2015-11
12,100,达州,1.345,201,47,43,35,109,73,良,208.4194,10,2015-12
13,129,达州,1.468,256,56,37,27,138,97,轻度污染,261.8387,10,2016-01
14,114,达州,1.293,242,33,50,51,121,86,轻度污染,275.2069,15,2016-02
15,88,达州,0.994,129,45,57,77,98,63,良,198.9677,17,2016-03
16,67,达州,1.06,128,40,41,69,75,46,良,149.1000,13,2016-04
17,69,达州,0.768,138,37,38,95,76,44,良,159.0323,13,2016-05
18,59,达州,0.91,85,35,36,97,57,31,良,152.8667,11,2016-06
19,51,达州,0.716,73,28,29,90,48,27,良,137.6452,10,2016-07
20,57,达州,0.806,104,35,33,97,56,34,良,156.4839,10,2016-08
21,80,达州,1.107,127,50,45,84,84,57,良,233.8000,10,2016-09
22,56,达州,0.948,109,30,37,52,57,34,良,155.5806,10,2016-10
23,75,达州,1.333,122,30,42,42,88,52,良,177.4333,14,2016-11
24,135,达州,1.729,219,62,51,46,151,102,轻度污染,273.6774,14,2016-12
25,127,达州,1.552,287,38,41,52,137,97,轻度污染,239.3871,14,2017-01
26,91,达州,1.386,182,29,38,57,98,68,良,193.4286,11,2017-02
27,69,达州,1.035,104,34,42,74,77,43,良,186.9032,7,2017-03
28,64,达州,0.97,87,38,38,95,71,38,良,195.0333,8,2017-04
29,68,达州,0.89,105,38,38,103,69,42,良,208.4194,10,2017-05
30,61,达州,1.017,87,43,38,91,56,38,良,209.9000,10,2017-06
31,62,达州,0.694,115,30,34,107,43,26,良,202.4516,11,2017-07
32,57,达州,0.668,103,27,30,106,37,25,良,196.5484,12,2017-08
33,47,达州,0.797,81,26,33,66,41,25,优,133.6333,10,2017-09
34,53,达州,0.977,92,28,37,57,51,31,良,129.5161,12,2017-10
35,77,达州,1.073,113,43,46,49,86,55,良,179.0333,13,2017-11
36,140,达州,1.581,266,62,57,40,151,107,轻度污染,255.1935,19,2017-12
37,113,达州,1.474,198,38,49,61,118,84,轻度污染,225.8387,15,2018-01
38,106,达州,1.586,235,39,46,64,108,79,轻度污染,240.8214,13,2018-02
39,76,达州,1.161,150,35,47,82,81,52,良,176.9677,12,2018-03
40,68,达州,0.77,131,41,41,110,69,37,良,145.4000,10,2018-04
41,65,达州,0.774,104,40,38,103,64,35,良,150.5484,8,2018-05
42,75,达州,0.853,137,49,35,125,45,28,良,174.4667,9,2018-06
43,71,达州,0.684,124,40,36,123,44,20,良,211.6129,11,2018-07
44,86,达州,0.713,132,44,37,142,53,31,良,243.2903,9,2018-08
45,55,达州,0.707,102,38,31,95,40,23,良,167.1333,9,2018-09
46,67,达州,0.819,119,35,38,75,73,46,良,223.6452,7,2018-10
47,61,达州,0.97,98,25,33,53,65,40,良,157.9000,7,2018-11
48,104,达州,1.248,272,47,39,43,113,75,轻度污染,249.0000,10,2018-12
49,124,达州,1.3,137,113,43,41,132,94,轻度污染,259.7500,7,2019-01
