index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,195,连云港,2.127,414,66,66,38,245,156,中度污染,78.9667,74,2013-12
1,150,连云港,1.752,271,44,50,50,172,114,轻度污染,107.7419,52,2014-01
2,102,连云港,1.061,315,29,33,76,109,74,轻度污染,91.9286,34,2014-02
3,110,连云港,0.974,284,70,44,103,147,77,轻度污染,118.6129,37,2014-03
4,91,连云港,0.783,204,49,37,121,113,58,良,102.2000,29,2014-04
5,101,连云港,0.848,178,45,32,146,131,62,轻度污染,111.2581,33,2014-05
6,105,连云港,0.97,245,46,29,150,103,61,轻度污染,124.0000,20,2014-06
7,74,连云港,0.8,126,39,24,108,87,41,良,86.6774,11,2014-07
8,72,连云港,0.842,183,29,27,114,72,41,良,89.6452,15,2014-08
9,55,连云港,0.77,80,41,27,96,53,25,良,64.1333,16,2014-09
10,69,连云港,0.819,111,34,31,98,84,37,良,56.1290,22,2014-10
11,95,连云港,1.147,234,36,44,73,123,62,良,96.2000,33,2014-11
12,122,连云港,1.3,302,61,46,51,151,90,轻度污染,129.1613,53,2014-12
13,122,连云港,1.181,317,32,42,58,135,90,轻度污染,196.7419,44,2015-01
14,107,连云港,0.929,204,40,30,75,119,76,轻度污染,221.1071,31,2015-02
15,82,连云港,0.777,251,49,29,89,107,43,良,183.0000,25,2015-03
16,82,连云港,0.873,141,43,25,121,96,42,良,212.5333,23,2015-04
17,80,连云港,0.803,125,44,22,132,82,39,良,208.3226,20,2015-05
18,87,连云港,0.8,189,40,19,142,81,43,良,248.6667,17,2015-06
19,72,连云港,0.7,170,36,18,121,59,36,良,190.4194,12,2015-07
20,78,连云港,0.739,140,26,21,130,62,38,良,217.4839,16,2015-08
21,80,连云港,0.72,120,50,26,133,56,32,良,259.5333,23,2015-09
22,89,连云港,0.835,145,45,29,124,100,55,良,229.2258,28,2015-10
23,80,连云港,1.067,204,30,31,69,82,57,良,197.8333,29,2015-11
24,135,连云港,1.481,302,49,42,51,152,102,轻度污染,250.3871,48,2015-12
25,124,连云港,1.313,262,39,37,61,135,92,轻度污染,242.9355,48,2016-01
26,86,连云港,1.048,173,38,28,91,108,59,良,202.4828,41,2016-02
27,89,连云港,0.868,148,52,31,116,120,56,良,216.6452,34,2016-03
28,100,连云港,0.993,150,49,32,146,119,53,良,275.0000,25,2016-04
29,83,连云港,0.652,167,50,25,132,86,43,良,220.4194,22,2016-05
30,81,连云港,0.613,150,49,18,133,65,30,良,225.4333,16,2016-06
31,62,连云港,0.716,116,32,16,107,55,26,良,183.3871,12,2016-07
32,65,连云港,0.671,152,26,19,111,41,20,良,166.7742,13,2016-08
33,81,连云港,0.81,156,30,30,134,69,36,良,222.3000,19,2016-09
34,56,连云港,0.677,81,31,32,91,50,29,良,174.7419,15,2016-10
35,84,连云港,1.213,183,41,45,71,98,58,良,195.2333,26,2016-11
36,97,连云港,1.394,195,34,55,67,118,70,良,172.8387,33,2016-12
37,88,连云港,1.316,212,37,44,73,101,61,良,143.4194,33,2017-01
38,87,连云港,1.082,147,45,43,96,91,63,良,181.0357,29,2017-02
39,79,连云港,0.939,145,54,43,117,77,50,良,158.5484,24,2017-03
40,85,连云港,0.857,123,56,37,136,87,46,良,204.8000,20,2017-04
41,107,连云港,0.723,189,45,26,157,68,37,轻度污染,185.1935,16,2017-05
42,77,连云港,0.687,130,45,21,130,58,33,良,182.2000,11,2017-06
43,57,连云港,0.735,89,21,18,100,51,32,良,156.7419,5,2017-07
44,61,连云港,0.823,100,28,21,110,47,29,良,157.2258,8,2017-08
45,62,连云港,0.823,93,29,26,112,51,30,良,146.3000,12,2017-09
46,58,连云港,0.919,137,30,33,89,52,34,良,139.3871,14,2017-10
47,74,连云港,1.027,139,33,39,67,81,48,良,147.9667,15,2017-11
48,97,连云港,1.184,190,28,51,32,106,71,良,171.9355,27,2017-12
49,107,连云港,1.365,245,36,48,59,110,78,轻度污染,197.3548,27,2018-01
50,78,连云港,0.993,189,37,32,77,81,53,良,166.9286,22,2018-02
51,77,连云港,0.897,144,39,38,110,78,48,良,185.0968,17,2018-03
52,73,连云港,0.767,142,0,35,133,73,42,良,179.7333,18,2018-04
53,74,连云港,0.681,117,0,25,133,56,39,良,192.7419,11,2018-05
54,105,连云港,0.65,188,48,19,162,52,38,轻度污染,83.8333,9,2018-06
55,56,连云港,0.568,104,28,15,98,37,25,良,157.7742,7,2018-07
56,61,连云港,0.639,117,26,13,108,34,23,良,115.3226,8,2018-08
57,68,连云港,0.67,101,37,25,119,42,26,良,174.2000,12,2018-09
58,69,连云港,0.706,138,40,34,110,61,36,良,168.1935,15,2018-10
59,82,连云港,0.887,192,28,38,75,86,56,良,200.5000,14,2018-11
60,81,连云港,0.99,206,40,41,49,87,55,良,200.6452,19,2018-12
61,152,连云港,1.575,196,112,62,47,130,115,中度污染,263.5000,34,2019-01
