index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,112,那曲地区,2.1,112,112,29,63,137,85,轻度污染,274.0000,44,2014-12
1,99,那曲地区,2.987,172,42,29,67,104,73,良,189.2258,43,2015-01
2,70,那曲地区,4.089,109,45,26,61,84,44,良,134.5000,39,2015-02
3,76,那曲地区,2.016,113,44,24,69,102,40,良,183.2258,37,2015-03
4,79,那曲地区,1.323,124,59,28,80,109,35,良,204.7667,36,2015-04
5,73,那曲地区,1.816,117,50,22,102,90,31,良,187.5484,26,2015-05
6,72,那曲地区,0.817,168,37,17,98,81,27,良,199.4000,28,2015-06
7,84,那曲地区,0.945,109,40,13,90,112,42,良,255.9355,24,2015-07
8,77,那曲地区,1.119,140,31,14,80,105,38,良,222.6129,26,2015-08
9,77,那曲地区,1.21,110,57,15,71,103,45,良,256.3667,27,2015-09
10,106,那曲地区,2.423,173,59,18,63,156,69,轻度污染,279.8387,34,2015-10
11,132,那曲地区,3.393,208,82,22,50,188,98,轻度污染,321.9667,44,2015-11
12,141,那曲地区,2.97,309,67,25,45,191,99,轻度污染,273.0667,47,2015-12
13,115,那曲地区,1.794,252,51,23,37,120,85,轻度污染,234.9677,52,2016-01
14,96,那曲地区,1.438,159,49,19,42,117,68,良,239.1379,41,2016-02
15,85,那曲地区,1.217,144,45,26,62,94,61,良,201.1000,27,2016-03
16,112,那曲地区,1.783,161,73,28,80,174,50,轻度污染,311.3667,23,2016-04
17,100,那曲地区,1.819,198,0,18,81,138,47,轻度污染,259.7742,17,2016-05
18,59,那曲地区,1.723,106,0,21,19,24,7,良,161.5667,21,2016-06
19,69,那曲地区,0.519,119,25,16,29,91,27,良,209.3871,14,2016-07
20,74,那曲地区,0.794,112,39,17,30,98,33,良,243.8065,20,2016-08
21,65,那曲地区,1.393,102,32,19,28,79,35,良,184.7333,26,2016-09
22,150,那曲地区,1.584,324,45,28,47,217,63,轻度污染,332.4516,26,2016-10
23,113,那曲地区,1.773,172,59,35,49,87,85,轻度污染,267.5333,34,2016-11
24,118,那曲地区,1.768,203,30,29,51,89,89,轻度污染,232.6452,37,2016-12
25,51,那曲地区,1.281,83,0,25,48,54,40,良,72.3548,29,2017-01
26,54,那曲地区,1.143,90,31,23,60,66,42,良,167.8929,29,2017-02
27,69,那曲地区,1.374,147,32,22,62,79,44,良,169.8710,26,2017-03
28,94,那曲地区,1.56,139,58,22,68,111,49,良,253.7000,23,2017-04
29,91,那曲地区,0.965,154,50,16,70,105,39,良,205.7419,11,2017-05
30,93,那曲地区,0.823,178,26,13,69,106,29,良,224.5333,6,2017-06
31,94,那曲地区,0.929,195,42,13,61,100,32,良,258.6774,5,2017-07
32,65,那曲地区,0.855,100,31,14,66,74,28,良,220.9355,4,2017-08
33,63,那曲地区,0.853,94,0,14,63,74,34,良,186.8667,4,2017-09
34,59,那曲地区,1.171,87,38,16,80,64,34,良,220.3548,5,2017-10
35,66,那曲地区,1.36,88,46,18,67,81,44,良,194.1000,6,2017-11
36,91,那曲地区,2.148,186,51,20,40,101,62,良,261.9032,8,2017-12
37,69,那曲地区,1.29,100,0,14,68,88,47,良,160.2903,7,2018-01
38,57,那曲地区,0.946,97,0,8,74,65,36,良,112.3214,6,2018-02
39,65,那曲地区,0.89,152,37,8,77,73,44,良,136.1613,4,2018-03
40,68,那曲地区,0.837,122,46,9,88,85,43,良,153.2000,4,2018-04
41,64,那曲地区,0.655,91,0,8,96,83,37,良,161.5484,4,2018-05
42,52,那曲地区,0.617,72,37,6,90,50,20,良,92.4333,3,2018-06
43,55,那曲地区,0.661,87,26,6,70,63,24,良,182.2903,3,2018-07
44,42,那曲地区,0.584,66,22,4,50,45,19,优,154.1935,2,2018-08
45,40,那曲地区,0.593,57,25,4,58,37,14,优,153.2000,2,2018-09
46,46,那曲地区,0.665,82,30,6,59,48,22,优,126.4194,3,2018-10
47,48,那曲地区,1.04,61,26,6,52,50,28,优,100.8667,4,2018-11
48,48,那曲地区,1.294,77,31,7,63,48,28,优,116.2581,4,2018-12
49,37,那曲地区,1.3,39,35,6,68,33,18,优,42.2500,4,2019-01
