index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,246,邯郸,3.674,479,100,89,20,308,199,重度污染,88.1852,132,2013-12
1,245,邯郸,3.248,406,72,71,28,280,199,重度污染,158.3226,118,2014-01
2,208,邯郸,2.0,461,62,63,46,232,170,重度污染,162.6786,78,2014-02
3,164,邯郸,1.365,270,79,68,72,218,119,中度污染,160.2581,65,2014-03
4,136,邯郸,1.13,230,87,60,95,175,99,轻度污染,163.6667,43,2014-04
5,120,邯郸,1.329,167,74,53,144,174,66,轻度污染,147.1935,51,2014-05
6,114,邯郸,1.133,212,66,36,140,141,77,轻度污染,143.2333,34,2014-06
7,120,邯郸,1.158,207,56,25,128,140,88,轻度污染,149.6452,23,2014-07
8,106,邯郸,1.387,208,58,27,124,125,76,轻度污染,148.2258,22,2014-08
9,110,邯郸,1.037,221,44,30,76,136,81,轻度污染,150.4000,19,2014-09
10,176,邯郸,1.448,296,64,49,76,226,135,中度污染,164.2903,36,2014-10
11,154,邯郸,1.645,368,58,58,43,191,115,中度污染,149.0690,50,2014-11
12,165,邯郸,2.829,274,68,60,31,213,124,中度污染,168.0968,130,2014-12
13,193,邯郸,2.4,430,64,64,38,245,151,中度污染,302.1613,100,2015-01
14,147,邯郸,2.114,289,65,32,61,186,110,轻度污染,296.2143,66,2015-02
15,124,邯郸,1.365,194,63,41,73,180,84,轻度污染,308.1290,47,2015-03
16,110,邯郸,1.09,176,63,40,97,157,72,轻度污染,297.3667,35,2015-04
17,95,邯郸,0.948,152,56,41,104,125,63,良,260.9677,29,2015-05
18,103,邯郸,0.92,200,64,33,115,127,72,轻度污染,294.1667,30,2015-06
19,106,邯郸,1.161,176,55,34,104,137,77,轻度污染,304.0323,27,2015-07
20,105,邯郸,1.206,192,60,39,112,143,73,轻度污染,302.0968,34,2015-08
21,90,邯郸,1.163,150,30,44,107,115,59,良,271.1000,25,2015-09
22,101,邯郸,1.587,228,57,59,78,137,64,轻度污染,270.0323,35,2015-10
23,124,邯郸,1.823,347,42,55,41,157,91,轻度污染,278.1000,38,2015-11
24,223,邯郸,3.397,500,58,79,30,298,174,重度污染,316.6452,80,2015-12
25,151,邯郸,2.874,500,59,73,41,186,109,中度污染,275.8387,90,2016-01
26,105,邯郸,2.414,238,43,57,73,117,72,轻度污染,226.7931,50,2016-02
27,118,邯郸,1.565,310,49,60,88,167,75,轻度污染,266.7742,52,2016-03
28,122,邯郸,1.203,215,57,51,120,182,79,轻度污染,317.1333,37,2016-04
29,92,邯郸,1.171,152,44,44,137,97,42,良,242.3226,25,2016-05
30,100,邯郸,1.277,152,65,43,145,97,49,轻度污染,296.4000,23,2016-06
31,91,邯郸,1.252,125,35,36,124,92,55,良,283.7419,16,2016-07
32,71,邯郸,1.403,97,51,32,102,83,41,良,238.9355,20,2016-08
33,94,邯郸,1.56,266,47,40,120,114,56,良,253.3333,24,2016-09
34,94,邯郸,1.506,186,52,60,61,128,51,良,307.2581,30,2016-10
35,149,邯郸,2.117,329,50,70,40,214,108,轻度污染,310.4667,53,2016-11
36,265,邯郸,3.345,500,128,86,31,331,231,重度污染,354.3871,82,2016-12
37,218,邯郸,3.652,392,61,79,37,285,171,重度污染,320.6452,89,2017-01
38,147,邯郸,2.568,311,61,65,73,204,105,轻度污染,257.5000,82,2017-02
39,88,邯郸,1.419,138,55,55,100,121,49,良,224.0645,40,2017-03
40,114,邯郸,1.417,207,66,51,112,154,77,轻度污染,290.3000,43,2017-04
41,150,邯郸,1.181,500,69,42,175,133,55,轻度污染,274.0323,31,2017-05
42,139,邯郸,1.173,201,61,41,193,129,68,轻度污染,302.6000,22,2017-06
43,109,邯郸,1.077,186,52,28,144,108,66,轻度污染,280.0323,11,2017-07
44,101,邯郸,1.416,195,53,36,137,110,63,轻度污染,304.3548,18,2017-08
45,109,邯郸,1.35,158,63,45,143,136,74,轻度污染,303.0667,24,2017-09
46,112,邯郸,1.203,246,37,49,68,123,83,轻度污染,264.7419,10,2017-10
47,122,邯郸,1.387,235,64,59,53,156,91,轻度污染,259.2000,23,2017-11
48,155,邯郸,2.371,360,58,66,27,178,117,中度污染,258.5806,47,2017-12
49,159,邯郸,2.042,366,67,60,48,182,123,中度污染,279.2581,42,2018-01
50,137,邯郸,1.807,320,0,44,88,169,102,轻度污染,262.0357,47,2018-02
51,117,邯郸,1.048,247,0,35,120,138,83,轻度污染,269.0645,16,2018-03
52,104,邯郸,0.867,198,0,33,131,140,56,轻度污染,261.6000,17,2018-04
53,104,邯郸,0.871,163,62,31,155,113,49,轻度污染,278.6774,16,2018-05
54,151,邯郸,1.003,195,61,29,214,99,47,中度污染,114.2333,15,2018-06
55,99,邯郸,0.803,167,55,23,152,77,40,良,280.2903,9,2018-07
56,104,邯郸,0.871,181,31,28,161,78,39,轻度污染,262.5484,11,2018-08
57,84,邯郸,1.213,115,53,46,121,92,40,良,275.0000,19,2018-09
58,93,邯郸,1.326,138,61,61,112,128,53,良,268.1290,24,2018-10
59,151,邯郸,1.607,408,54,60,61,207,103,中度污染,330.0000,19,2018-11
60,133,邯郸,1.639,242,61,58,39,184,93,轻度污染,310.5806,29,2018-12
61,235,邯郸,2.8,287,166,84,31,285,187,重度污染,347.7500,47,2019-01
