index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,265,郑州,5.013,484,75,71,0,308,219,重度污染,,107,2013-01
1,195,郑州,3.314,405,84,45,0,216,151,中度污染,,67,2013-02
2,119,郑州,2.432,245,60,46,0,150,83,轻度污染,,51,2013-03
3,110,郑州,2.413,176,58,45,0,136,78,轻度污染,,49,2013-04
4,130,郑州,2.029,265,40,49,0,133,91,轻度污染,,33,2013-05
5,142,郑州,1.827,280,43,45,0,147,91,轻度污染,,30,2013-06
6,106,郑州,1.726,204,63,36,0,131,73,轻度污染,,21,2013-07
7,92,郑州,1.852,175,53,36,138,106,57,良,,27,2013-08
8,118,郑州,2.387,193,54,48,78,130,83,轻度污染,,39,2013-09
9,193,郑州,3.239,312,62,56,103,205,150,中度污染,,66,2013-10
10,113,郑州,2.703,228,65,59,54,142,78,轻度污染,,84,2013-11
11,179,郑州,3.094,457,67,78,52,206,140,中度污染,60.9333,119,2013-12
12,163,郑州,2.787,314,54,65,33,190,121,中度污染,118.2258,91,2014-01
13,146,郑州,1.996,258,25,43,42,140,111,轻度污染,136.6071,52,2014-02
14,120,郑州,1.952,196,67,55,67,159,88,轻度污染,130.6774,53,2014-03
15,112,郑州,2.133,176,77,56,72,140,79,轻度污染,138.2667,40,2014-04
16,105,郑州,1.539,163,54,46,78,138,72,轻度污染,122.8387,37,2014-05
17,106,郑州,1.507,211,54,38,105,111,78,轻度污染,127.6667,20,2014-06
18,90,郑州,1.106,133,52,41,127,106,53,良,115.6129,16,2014-07
19,86,郑州,1.161,175,42,40,86,99,58,良,114.2581,19,2014-08
20,85,郑州,1.45,170,38,43,66,98,57,良,125.9667,20,2014-09
21,149,郑州,1.948,242,65,55,58,171,111,轻度污染,150.9032,37,2014-10
22,171,郑州,2.17,420,57,65,42,191,131,中度污染,160.7333,50,2014-11
23,141,郑州,1.903,276,72,63,41,201,95,轻度污染,150.5806,75,2014-12
24,203,郑州,2.123,390,69,76,37,237,159,重度污染,323.0968,77,2015-01
25,174,郑州,1.707,333,80,54,54,197,133,中度污染,320.2500,58,2015-02
26,154,郑州,1.552,276,71,60,69,196,108,中度污染,331.5484,42,2015-03
27,131,郑州,1.407,250,53,54,106,175,87,轻度污染,322.7000,31,2015-04
28,128,郑州,1.529,196,68,48,136,153,91,轻度污染,325.3226,27,2015-05
29,117,郑州,1.213,186,47,45,153,146,76,轻度污染,313.2333,18,2015-06
30,94,郑州,1.01,151,68,42,131,126,60,良,289.2903,8,2015-07
31,94,郑州,1.103,148,53,46,132,112,60,良,276.6452,8,2015-08
32,101,郑州,1.317,200,52,57,113,132,69,轻度污染,298.1667,16,2015-09
33,109,郑州,1.271,227,55,65,79,149,69,轻度污染,278.2903,35,2015-10
34,129,郑州,2.047,439,42,63,32,148,97,轻度污染,276.6000,32,2015-11
35,187,郑州,2.113,411,42,75,35,238,142,中度污染,291.2258,46,2015-12
36,193,郑州,2.4,500,65,73,36,235,156,中度污染,303.1290,49,2016-01
37,119,郑州,1.669,243,38,52,75,149,83,轻度污染,245.2069,48,2016-02
38,133,郑州,1.574,293,62,67,99,202,81,轻度污染,304.5806,41,2016-03
