index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,92,郴州,4.2,92,92,46,89,134,68,良,206.0000,42,2014-12
1,101,郴州,3.506,196,23,38,56,129,74,轻度污染,184.9032,32,2015-01
2,90,郴州,1.539,166,16,31,52,100,66,良,177.0357,16,2015-02
3,56,郴州,1.223,100,30,23,45,59,40,良,105.3226,21,2015-03
4,70,郴州,1.633,124,29,25,91,71,48,良,159.0667,14,2015-04
5,59,郴州,1.194,89,40,18,86,51,38,良,112.0968,13,2015-05
6,41,郴州,1.217,54,24,15,72,39,23,优,73.2000,11,2015-06
7,55,郴州,1.11,98,31,19,78,54,35,良,133.8065,11,2015-07
8,72,郴州,0.977,175,40,22,116,66,37,良,204.3548,16,2015-08
9,73,郴州,1.06,112,35,24,105,78,44,良,223.2000,20,2015-09
10,84,郴州,0.997,113,28,32,104,109,59,良,226.0968,23,2015-10
11,56,郴州,1.26,92,26,28,30,63,34,良,128.9000,27,2015-11
12,76,郴州,1.071,147,25,33,31,89,54,良,150.3226,26,2015-12
13,72,郴州,1.261,129,38,32,36,80,50,良,147.9032,20,2016-01
14,77,郴州,0.962,255,33,26,75,87,53,良,167.6552,17,2016-02
15,66,郴州,1.065,127,28,34,71,80,45,良,115.6774,15,2016-03
16,52,郴州,1.18,94,37,22,75,53,29,良,74.8333,12,2016-04
17,60,郴州,1.1,111,35,22,93,61,34,良,121.5161,9,2016-05
18,54,郴州,1.323,103,32,16,98,48,25,良,125.5333,11,2016-06
19,54,郴州,1.239,107,33,19,93,50,23,良,148.9032,8,2016-07
20,56,郴州,1.145,104,30,21,98,52,29,良,150.0323,12,2016-08
21,77,郴州,1.487,110,31,29,117,83,50,良,224.9000,16,2016-09
22,66,郴州,1.303,122,23,30,61,74,44,良,207.8387,19,2016-10
23,59,郴州,1.327,128,28,31,51,67,38,良,109.3667,22,2016-11
24,98,郴州,1.381,182,28,39,54,116,73,良,189.4839,33,2016-12
25,101,郴州,1.671,243,34,32,45,114,74,轻度污染,188.5484,26,2017-01
26,70,郴州,1.393,208,29,26,67,79,49,良,141.0714,17,2017-02
27,49,郴州,1.255,93,24,26,59,52,29,优,86.8065,20,2017-03
28,61,郴州,1.04,133,29,23,104,54,27,良,113.3667,15,2017-04
29,73,郴州,1.181,148,35,24,116,54,26,良,130.7097,9,2017-05
30,49,郴州,1.407,97,34,16,89,39,16,优,104.9667,9,2017-06
31,61,郴州,1.368,117,33,17,110,44,16,良,139.2903,10,2017-07
32,70,郴州,1.503,102,45,20,124,53,18,良,211.7742,11,2017-08
33,117,郴州,1.5,202,57,22,177,74,38,轻度污染,224.4333,15,2017-09
34,67,郴州,1.316,118,29,26,87,76,40,良,196.3871,13,2017-10
35,70,郴州,1.583,123,35,32,60,80,47,良,153.3000,14,2017-11
36,96,郴州,1.645,165,32,42,36,108,68,良,184.5806,21,2017-12
37,80,郴州,1.526,166,30,35,40,91,57,良,153.7419,15,2018-01
38,83,郴州,1.389,180,25,28,64,91,59,良,175.2143,14,2018-02
39,57,郴州,1.077,85,25,29,81,62,33,良,98.7742,12,2018-03
40,64,郴州,1.11,110,29,27,97,71,31,良,131.3667,18,2018-04
41,59,郴州,1.358,110,35,19,100,58,21,良,125.5806,13,2018-05
42,55,郴州,1.33,124,35,20,94,45,18,良,106.0333,18,2018-06
43,51,郴州,1.09,77,30,20,93,46,14,良,152.3871,25,2018-07
44,56,郴州,1.419,100,30,19,96,41,17,良,150.1613,13,2018-08
45,57,郴州,1.253,90,26,20,97,50,24,良,182.7667,15,2018-09
46,67,郴州,1.123,118,28,29,98,61,32,良,171.6452,11,2018-10
47,51,郴州,1.267,87,25,28,57,53,28,良,106.3000,10,2018-11
48,52,郴州,1.361,107,23,29,30,54,31,良,103.0968,8,2018-12
49,43,郴州,1.15,49,37,25,22,41,28,优,84.5000,7,2019-01
