index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,52,鄂尔多斯,0.847,90,29,32,65,56,24,良,9.3333,26,2013-12
1,54,鄂尔多斯,0.803,111,30,31,70,61,23,良,15.8710,24,2014-01
2,82,鄂尔多斯,0.861,226,36,28,82,93,48,良,71.8571,30,2014-02
3,77,鄂尔多斯,0.623,268,42,27,110,91,27,良,57.3548,31,2014-03
4,95,鄂尔多斯,0.623,235,44,26,136,86,30,良,106.2667,20,2014-04
5,94,鄂尔多斯,0.584,169,48,17,136,107,31,良,98.9032,13,2014-05
6,87,鄂尔多斯,0.657,141,62,20,144,51,21,良,112.8333,17,2014-06
7,91,鄂尔多斯,0.603,136,39,20,147,51,23,良,117.2903,21,2014-07
8,80,鄂尔多斯,0.603,136,44,22,135,44,22,良,118.0000,17,2014-08
9,64,鄂尔多斯,0.753,114,43,28,112,55,25,良,92.1333,19,2014-09
10,64,鄂尔多斯,0.71,134,37,30,96,72,31,良,43.4194,20,2014-10
11,55,鄂尔多斯,0.727,155,33,32,68,62,25,良,34.9667,25,2014-11
12,59,鄂尔多斯,0.652,143,30,23,58,72,22,良,36.5161,25,2014-12
13,63,鄂尔多斯,0.877,175,30,37,54,75,33,良,79.4194,40,2015-01
14,77,鄂尔多斯,0.754,257,32,22,70,92,36,良,134.0000,31,2015-02
15,72,鄂尔多斯,0.606,137,35,19,82,94,26,良,156.8065,20,2015-03
16,77,鄂尔多斯,0.553,199,40,19,120,69,20,良,175.5333,14,2015-04
17,89,鄂尔多斯,0.519,153,65,16,143,73,23,良,245.7742,12,2015-05
18,88,鄂尔多斯,0.587,125,58,16,142,58,23,良,264.9667,12,2015-06
19,102,鄂尔多斯,0.639,150,61,20,161,54,24,轻度污染,306.0645,15,2015-07
20,82,鄂尔多斯,0.6,120,46,19,137,48,19,良,251.2258,13,2015-08
21,63,鄂尔多斯,0.653,88,41,19,113,46,22,良,189.0667,15,2015-09
22,57,鄂尔多斯,0.629,103,35,26,87,64,25,良,105.6452,15,2015-10
23,58,鄂尔多斯,0.977,122,32,33,59,63,35,良,128.3333,22,2015-11
24,77,鄂尔多斯,0.913,152,30,36,58,88,43,良,139.3548,27,2015-12
25,47,鄂尔多斯,0.661,72,35,25,73,45,17,优,55.6774,22,2016-01
26,65,鄂尔多斯,0.579,360,38,18,88,68,22,良,96.4828,18,2016-02
27,85,鄂尔多斯,0.655,459,42,25,103,103,33,良,130.5806,18,2016-03
28,72,鄂尔多斯,0.54,143,45,18,113,77,20,良,177.4667,12,2016-04
29,95,鄂尔多斯,0.529,343,54,16,136,82,26,良,230.0323,12,2016-05
30,82,鄂尔多斯,0.557,128,61,19,138,41,17,良,246.3000,10,2016-06
31,92,鄂尔多斯,0.665,138,47,19,149,48,24,良,287.1935,12,2016-07
32,77,鄂尔多斯,0.79,126,38,20,129,46,23,良,228.6774,12,2016-08
33,59,鄂尔多斯,0.657,82,44,24,110,41,20,良,148.7000,9,2016-09
34,55,鄂尔多斯,0.706,89,32,26,91,53,23,良,155.0968,13,2016-10
35,68,鄂尔多斯,0.823,121,34,31,77,84,26,良,145.4667,19,2016-11
36,62,鄂尔多斯,0.984,124,40,39,68,70,31,良,81.1290,28,2016-12
37,61,鄂尔多斯,0.958,166,40,31,83,68,27,良,88.5806,24,2017-01
38,63,鄂尔多斯,0.954,116,46,29,99,65,28,良,96.2143,22,2017-02
39,68,鄂尔多斯,0.932,116,49,28,117,56,26,良,104.8065,16,2017-03
40,79,鄂尔多斯,0.697,152,40,24,122,70,18,良,126.4000,11,2017-04
41,112,鄂尔多斯,0.645,500,53,24,131,74,21,轻度污染,149.9677,10,2017-05
42,91,鄂尔多斯,0.76,122,58,25,146,64,23,良,204.0667,10,2017-06
43,94,鄂尔多斯,0.816,161,44,24,151,74,28,良,225.8065,11,2017-07
44,79,鄂尔多斯,0.787,128,42,25,135,58,23,良,223.0000,10,2017-08
45,76,鄂尔多斯,0.76,117,49,27,127,60,23,良,202.1333,10,2017-09
46,57,鄂尔多斯,0.91,87,31,32,90,62,27,良,167.5161,13,2017-10
47,62,鄂尔多斯,0.763,105,38,31,81,75,21,良,126.3000,15,2017-11
48,58,鄂尔多斯,0.829,103,18,31,41,68,22,良,73.7419,17,2017-12
49,60,鄂尔多斯,0.881,105,0,29,76,68,25,良,110.0968,17,2018-01
50,55,鄂尔多斯,0.711,107,0,19,94,58,18,良,89.5357,15,2018-02
51,62,鄂尔多斯,0.777,127,0,29,113,76,25,良,152.0323,15,2018-03
52,59,鄂尔多斯,0.65,125,0,24,126,59,17,良,158.2333,12,2018-04
53,85,鄂尔多斯,0.655,167,0,23,147,80,26,良,225.9032,11,2018-05
54,101,鄂尔多斯,0.72,175,65,21,154,64,21,轻度污染,227.3000,10,2018-06
55,88,鄂尔多斯,0.881,135,45,20,144,51,24,良,245.3871,9,2018-07
56,85,鄂尔多斯,0.932,143,41,23,141,50,23,良,206.9677,10,2018-08
57,53,鄂尔多斯,0.69,94,31,22,91,45,16,良,153.0000,8,2018-09
58,55,鄂尔多斯,0.723,112,37,28,85,54,22,良,145.3871,11,2018-10
59,67,鄂尔多斯,0.733,355,28,33,73,79,25,良,154.2333,14,2018-11
60,64,鄂尔多斯,0.774,260,31,30,63,78,22,良,143.3871,16,2018-12
61,89,鄂尔多斯,1.275,133,52,46,48,110,61,良,192.7500,29,2019-01
